2022.09.19 19:37:17
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	598.61
22.1264	553.61
22.1409	518.17
22.1553	435.81
22.1697	525.59
22.1842	565.12
22.1986	560.15
22.2131	530.24
22.2275	534.46
22.2419	605.41
22.2564	660.57
22.2708	629.92
22.2853	573.80
22.2997	458.31
22.3141	589.95
22.3286	522.66
22.3430	612.27
22.3575	622.30
22.3719	629.82
22.3863	537.96
22.4008	600.38
22.4152	578.16
22.4297	608.08
22.4441	641.04
22.4585	599.99
22.4730	676.70
22.4874	634.19
22.5019	565.92
22.5163	574.18
22.5307	625.93
22.5452	519.45
22.5596	542.11
22.5741	553.93
22.5885	588.74
22.6029	599.59
22.6174	533.92
22.6318	565.10
22.6463	542.22
22.6607	486.88
22.6751	565.85
22.6896	613.61
22.7040	575.90
22.7185	529.09
22.7329	529.09
22.7473	529.09
22.7618	536.49
22.7762	575.56
22.7907	598.86
22.8051	541.09
22.8195	587.62
22.8340	530.64
22.8484	547.72
22.8629	542.10
22.8773	552.01
22.8917	556.54
22.9062	626.84
22.9206	506.03
22.9351	560.70
22.9495	575.03
22.9639	598.02
22.9784	595.57
22.9928	532.02
23.0073	516.32
23.0217	512.73
23.0361	555.44
23.0506	517.37
23.0650	518.29
23.0795	472.69
23.0939	515.08
23.1083	597.66
23.1228	538.92
23.1372	537.48
23.1517	549.75
23.1661	537.54
23.1806	521.47
23.1950	536.79
23.2094	544.62
23.2239	521.82
23.2383	502.15
23.2528	592.40
23.2672	534.89
23.2816	569.24
23.2961	604.85
23.3105	542.98
23.3250	616.07
23.3394	593.77
23.3538	574.53
23.3683	593.72
23.3827	508.87
23.3972	509.22
23.4116	563.91
23.4260	619.67
23.4405	558.98
23.4549	520.18
23.4694	584.87
23.4838	505.95
23.4982	530.69
23.5127	515.89
23.5271	500.46
23.5416	521.15
23.5560	566.90
23.5704	524.79
23.5849	537.09
23.5993	532.86
23.6138	573.70
23.6282	502.94
23.6426	568.12
23.6571	593.53
23.6715	534.30
23.6860	468.04
23.7004	535.28
23.7148	587.46
23.7293	614.51
23.7437	532.85
23.7582	505.87
23.7726	546.57
23.7870	595.42
23.8015	534.39
23.8159	535.16
23.8304	503.89
23.8448	556.11
23.8592	588.83
23.8737	621.16
23.8881	560.87
23.9026	553.24
23.9170	581.06
23.9314	553.98
23.9459	569.83
23.9603	513.38
23.9748	598.70
23.9892	524.07
24.0036	475.42
24.0181	547.11
24.0325	548.59
24.0470	604.18
24.0614	571.88
24.0758	549.28
24.0903	576.68
24.1047	586.34
24.1192	572.78
24.1336	539.42
24.1480	511.09
24.1625	575.84
24.1769	557.93
24.1914	581.79
24.2058	576.51
24.2202	594.23
24.2347	630.16
24.2491	595.64
24.2636	575.87
24.2780	576.04
24.2924	584.20
24.3069	557.92
24.3213	568.50
24.3358	574.57
24.3502	564.55
24.3646	526.89
24.3791	535.87
24.3935	523.01
24.4080	588.41
24.4224	528.00
24.4368	590.45
24.4513	561.87
24.4657	551.16
24.4802	522.36
24.4946	583.11
24.5090	535.55
24.5235	488.56
24.5379	474.21
24.5524	524.04
24.5668	530.00
24.5812	541.89
24.5957	584.30
24.6101	605.79
24.6246	549.63
24.6390	559.63
24.6534	553.46
24.6679	523.75
24.6823	559.84
24.6968	584.22
24.7112	608.57
24.7256	574.27
24.7401	540.10
24.7545	591.73
24.7690	517.63
24.7834	536.67
24.7978	538.41
24.8123	579.47
24.8267	613.98
24.8412	543.93
24.8556	573.67
24.8700	616.87
24.8845	539.82
24.8989	497.21
24.9134	525.87
24.9278	513.98
24.9422	526.75
24.9567	544.48
24.9711	552.28
24.9856	553.64
25.0000	534.26
25.0144	549.06
25.0289	528.72
25.0433	509.15
25.0578	520.21
25.0722	525.46
25.0866	575.75
25.1011	524.12
25.1155	554.65
25.1300	561.00
25.1444	517.84
25.1588	531.86
25.1733	523.65
25.1877	502.66
25.2022	545.42
25.2166	547.05
25.2310	527.61
25.2455	533.40
25.2599	500.29
25.2744	511.05
25.2888	538.72
25.3032	535.37
25.3177	533.12
25.3321	530.80
25.3466	571.54
25.3610	544.70
25.3754	537.26
25.3899	506.29
25.4043	501.91
25.4188	503.93
25.4332	571.00
25.4476	483.26
25.4621	519.06
25.4765	523.34
25.4910	550.46
25.5054	557.31
25.5198	573.12
25.5343	558.06
25.5487	571.61
25.5632	552.56
25.5776	539.90
25.5920	513.39
25.6065	579.51
25.6209	569.61
25.6354	539.81
25.6498	516.93
25.6642	574.45
25.6787	521.43
25.6931	536.60
25.7076	536.89
25.7220	538.53
25.7364	557.07
25.7509	535.83
25.7653	541.98
25.7798	536.45
25.7942	544.20
25.8086	542.64
25.8231	551.53
25.8375	579.95
25.8520	578.32
25.8664	589.78
25.8808	522.32
25.8953	513.74
25.9097	537.16
25.9242	524.55
25.9386	557.41
25.9530	521.17
25.9675	508.06
25.9819	580.46
25.9964	599.65
26.0108	536.64
26.0252	509.05
26.0397	513.42
26.0541	537.00
26.0686	518.95
26.0830	554.07
26.0974	500.37
26.1119	528.14
26.1263	549.57
26.1408	535.59
26.1552	536.81
26.1696	539.53
26.1841	525.48
26.1985	501.58
26.2130	536.54
26.2274	514.39
26.2418	517.53
26.2563	540.13
26.2707	544.93
26.2852	559.70
26.2996	555.42
26.3140	527.66
26.3285	510.84
26.3429	544.84
26.3574	521.44
26.3718	519.04
26.3862	514.11
26.4007	545.77
26.4151	524.16
26.4296	522.94
