2022.09.19 19:37:17
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	547.19
22.1264	506.92
22.1409	484.96
22.1553	513.72
22.1697	547.07
22.1842	609.93
22.1986	642.62
22.2131	524.10
22.2275	570.11
22.2419	597.71
22.2564	556.27
22.2708	525.71
22.2853	613.02
22.2997	572.02
22.3141	537.45
22.3286	499.65
22.3430	586.20
22.3575	593.94
22.3719	641.37
22.3863	583.52
22.4008	587.38
22.4152	610.35
22.4297	608.47
22.4441	652.16
22.4585	598.84
22.4730	659.11
22.4874	560.90
22.5019	575.46
22.5163	603.03
22.5307	626.50
22.5452	600.46
22.5596	575.09
22.5741	594.84
22.5885	608.90
22.6029	538.50
22.6174	650.77
22.6318	607.52
22.6463	576.88
22.6607	565.01
22.6751	525.61
22.6896	668.12
22.7040	645.83
22.7185	640.26
22.7329	536.81
22.7473	471.95
22.7618	514.97
22.7762	576.03
22.7907	649.15
22.8051	562.12
22.8195	560.77
22.8340	543.05
22.8484	532.82
22.8629	707.14
22.8773	620.98
22.8917	552.03
22.9062	503.21
22.9206	508.97
22.9351	530.32
22.9495	608.29
22.9639	582.10
22.9784	597.08
22.9928	537.41
23.0073	586.45
23.0217	612.23
23.0361	620.27
23.0506	560.82
23.0650	547.95
23.0795	555.43
23.0939	588.29
23.1083	531.67
23.1228	525.59
23.1372	606.06
23.1517	553.62
23.1661	569.89
23.1806	541.87
23.1950	584.74
23.2094	583.67
23.2239	565.82
23.2383	614.01
23.2528	538.98
23.2672	524.27
23.2816	550.35
23.2961	562.28
23.3105	597.55
23.3250	591.57
23.3394	561.72
23.3538	561.53
23.3683	595.77
23.3827	496.59
23.3972	572.67
23.4116	537.49
23.4260	566.96
23.4405	639.65
23.4549	600.91
23.4694	569.14
23.4838	530.20
23.4982	564.99
23.5127	557.96
23.5271	561.84
23.5416	506.50
23.5560	601.37
23.5704	516.63
23.5849	571.76
23.5993	528.98
23.6138	493.62
23.6282	525.68
23.6426	533.09
23.6571	539.22
23.6715	422.84
23.6860	517.39
23.7004	505.44
23.7148	516.93
23.7293	531.43
23.7437	578.18
23.7582	593.53
23.7726	566.20
23.7870	603.65
23.8015	564.19
23.8159	606.99
23.8304	503.77
23.8448	488.73
23.8592	537.74
23.8737	563.25
23.8881	495.65
23.9026	578.54
23.9170	579.70
23.9314	530.43
23.9459	512.18
23.9603	545.96
23.9748	571.75
23.9892	583.44
24.0036	579.75
24.0181	570.84
24.0325	556.06
24.0470	529.63
24.0614	577.55
24.0758	538.84
24.0903	550.60
24.1047	581.32
24.1192	601.32
24.1336	559.91
24.1480	539.38
24.1625	632.84
24.1769	601.74
24.1914	513.60
24.2058	559.86
24.2202	561.07
24.2347	640.42
24.2491	584.98
24.2636	557.20
24.2780	594.12
24.2924	535.97
24.3069	575.69
24.3213	597.93
24.3358	556.62
24.3502	565.59
24.3646	544.50
24.3791	563.15
24.3935	541.63
24.4080	548.02
24.4224	586.14
24.4368	560.74
24.4513	539.34
24.4657	546.95
24.4802	562.54
24.4946	512.20
24.5090	525.03
24.5235	497.03
24.5379	552.80
24.5524	531.54
24.5668	587.68
24.5812	631.59
24.5957	582.36
24.6101	555.25
24.6246	586.10
24.6390	547.76
24.6534	535.47
24.6679	565.10
24.6823	545.07
24.6968	543.45
24.7112	520.36
24.7256	505.66
24.7401	554.16
24.7545	556.72
24.7690	539.91
24.7834	535.81
24.7978	546.00
24.8123	538.40
24.8267	540.40
24.8412	534.20
24.8556	575.14
24.8700	550.26
24.8845	547.03
24.8989	567.22
24.9134	576.37
24.9278	477.31
24.9422	489.67
24.9567	549.91
24.9711	554.43
24.9856	568.93
25.0000	554.39
25.0144	597.37
25.0289	528.91
25.0433	570.07
25.0578	566.07
25.0722	549.45
25.0866	557.19
25.1011	523.43
25.1155	552.62
25.1300	580.04
25.1444	521.02
25.1588	533.00
25.1733	521.25
25.1877	555.40
25.2022	571.70
25.2166	555.43
25.2310	515.34
25.2455	502.84
25.2599	540.63
25.2744	560.08
25.2888	550.05
25.3032	587.75
25.3177	569.84
25.3321	574.70
25.3466	516.30
25.3610	494.58
25.3754	513.09
25.3899	537.19
25.4043	527.08
25.4188	524.73
25.4332	522.64
25.4476	508.10
25.4621	497.91
25.4765	498.19
25.4910	537.90
25.5054	509.38
25.5198	521.31
25.5343	528.13
25.5487	542.38
25.5632	583.87
25.5776	507.59
25.5920	535.35
25.6065	554.18
25.6209	521.31
25.6354	528.29
25.6498	545.40
25.6642	546.32
25.6787	506.38
25.6931	538.90
25.7076	577.21
25.7220	531.35
25.7364	516.31
25.7509	563.54
25.7653	523.19
25.7798	566.47
25.7942	571.70
25.8086	523.68
25.8231	521.02
25.8375	526.86
25.8520	529.99
25.8664	550.80
25.8808	491.29
25.8953	557.01
25.9097	570.29
25.9242	549.46
25.9386	545.78
25.9530	569.18
25.9675	574.65
25.9819	563.22
25.9964	554.17
26.0108	565.62
26.0252	510.20
26.0397	486.89
26.0541	528.09
26.0686	530.01
26.0830	543.93
26.0974	539.36
26.1119	542.14
26.1263	547.88
26.1408	504.80
26.1552	526.88
26.1696	529.58
26.1841	559.46
26.1985	529.52
26.2130	518.73
26.2274	512.76
26.2418	508.92
26.2563	524.59
26.2707	515.61
26.2852	523.15
26.2996	543.27
26.3140	535.74
26.3285	546.64
26.3429	561.17
26.3574	571.99
26.3718	502.78
26.3862	523.10
26.4007	515.21
26.4151	534.92
26.4296	503.49
