2022.09.19 19:37:17
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	616.53
22.1264	565.75
22.1409	470.75
22.1553	524.77
22.1697	616.81
22.1842	643.03
22.1986	558.19
22.2131	590.83
22.2275	496.90
22.2419	564.32
22.2564	509.97
22.2708	610.74
22.2853	619.61
22.2997	643.25
22.3141	546.34
22.3286	540.19
22.3430	552.55
22.3575	598.78
22.3719	524.53
22.3863	592.00
22.4008	626.06
22.4152	630.73
22.4297	693.15
22.4441	579.69
22.4585	603.07
22.4730	601.98
22.4874	514.52
22.5019	519.84
22.5163	559.37
22.5307	540.72
22.5452	518.45
22.5596	637.17
22.5741	640.74
22.5885	607.77
22.6029	566.91
22.6174	493.69
22.6318	469.99
22.6463	573.46
22.6607	597.22
22.6751	457.58
22.6896	526.51
22.7040	633.41
22.7185	597.03
22.7329	610.48
22.7473	542.81
22.7618	500.85
22.7762	581.63
22.7907	628.81
22.8051	545.50
22.8195	600.48
22.8340	530.64
22.8484	576.85
22.8629	645.50
22.8773	621.02
22.8917	580.82
22.9062	562.15
22.9206	549.24
22.9351	519.05
22.9495	524.58
22.9639	576.59
22.9784	574.89
22.9928	577.23
23.0073	512.37
23.0217	594.57
23.0361	492.36
23.0506	460.40
23.0650	550.71
23.0795	561.44
23.0939	587.73
23.1083	577.38
23.1228	626.81
23.1372	512.46
23.1517	533.29
23.1661	550.50
23.1806	523.34
23.1950	545.28
23.2094	536.51
23.2239	516.89
23.2383	506.04
23.2528	540.67
23.2672	556.73
23.2816	560.94
23.2961	559.79
23.3105	576.40
23.3250	619.35
23.3394	605.66
23.3538	562.83
23.3683	505.98
23.3827	512.00
23.3972	519.42
23.4116	519.92
23.4260	549.99
23.4405	568.52
23.4549	497.00
23.4694	547.43
23.4838	581.35
23.4982	527.53
23.5127	492.97
23.5271	561.01
23.5416	525.41
23.5560	544.14
23.5704	572.63
23.5849	605.24
23.5993	575.48
23.6138	530.85
23.6282	578.19
23.6426	592.95
23.6571	543.63
23.6715	527.91
23.6860	492.74
23.7004	511.71
23.7148	541.10
23.7293	555.13
23.7437	588.74
23.7582	591.11
23.7726	550.40
23.7870	593.33
23.8015	503.04
23.8159	607.12
23.8304	586.41
23.8448	535.19
23.8592	577.47
23.8737	532.55
23.8881	540.10
23.9026	599.35
23.9170	568.25
23.9314	535.22
23.9459	536.51
23.9603	537.82
23.9748	614.26
23.9892	557.85
24.0036	527.83
24.0181	549.50
24.0325	574.74
24.0470	576.10
24.0614	589.42
24.0758	514.23
24.0903	566.75
24.1047	575.53
24.1192	560.24
24.1336	582.51
24.1480	557.86
24.1625	566.02
24.1769	599.21
24.1914	601.51
24.2058	509.42
24.2202	560.02
24.2347	614.51
24.2491	575.22
24.2636	565.83
24.2780	595.39
24.2924	565.85
24.3069	544.64
24.3213	555.05
24.3358	562.95
24.3502	555.52
24.3646	600.57
24.3791	577.58
24.3935	567.41
24.4080	574.61
24.4224	533.63
24.4368	597.21
24.4513	540.89
24.4657	529.07
24.4802	530.09
24.4946	575.77
24.5090	553.59
24.5235	471.31
24.5379	539.39
24.5524	532.92
24.5668	585.16
24.5812	614.84
24.5957	508.15
24.6101	538.46
24.6246	575.07
24.6390	525.34
24.6534	547.21
24.6679	542.41
24.6823	487.28
24.6968	527.59
24.7112	486.09
24.7256	548.07
24.7401	553.47
24.7545	565.80
24.7690	513.27
24.7834	501.60
24.7978	478.45
24.8123	509.68
24.8267	489.28
24.8412	547.97
24.8556	563.73
24.8700	560.89
24.8845	587.35
24.8989	583.11
24.9134	561.26
24.9278	469.38
24.9422	566.07
24.9567	501.13
24.9711	499.93
24.9856	523.25
25.0000	528.19
25.0144	543.08
25.0289	546.49
25.0433	587.30
25.0578	594.68
25.0722	544.70
25.0866	578.46
25.1011	529.75
25.1155	493.24
25.1300	529.12
25.1444	564.57
25.1588	532.69
25.1733	544.10
25.1877	547.31
25.2022	562.88
25.2166	600.73
25.2310	550.80
25.2455	516.04
25.2599	518.90
25.2744	560.64
25.2888	537.45
25.3032	531.43
25.3177	561.89
25.3321	562.55
25.3466	566.88
25.3610	560.32
25.3754	537.63
25.3899	538.38
25.4043	536.61
25.4188	511.57
25.4332	517.93
25.4476	523.07
25.4621	531.16
25.4765	565.07
25.4910	552.86
25.5054	527.53
25.5198	555.59
25.5343	522.69
25.5487	549.64
25.5632	523.81
25.5776	535.15
25.5920	544.21
25.6065	546.89
25.6209	516.37
25.6354	524.29
25.6498	560.40
25.6642	520.00
25.6787	544.48
25.6931	534.66
25.7076	531.52
25.7220	516.63
25.7364	529.91
25.7509	530.01
25.7653	528.17
25.7798	529.36
25.7942	546.45
25.8086	540.02
25.8231	521.63
25.8375	580.27
25.8520	577.22
25.8664	539.60
25.8808	564.68
25.8953	571.05
25.9097	573.81
25.9242	552.99
25.9386	542.23
25.9530	525.08
25.9675	510.52
25.9819	538.99
25.9964	555.51
26.0108	540.36
26.0252	523.83
26.0397	535.51
26.0541	498.70
26.0686	518.93
26.0830	510.54
26.0974	498.69
26.1119	510.87
26.1263	487.98
26.1408	522.51
26.1552	528.53
26.1696	539.43
26.1841	517.83
26.1985	532.02
26.2130	535.68
26.2274	571.18
26.2418	528.13
26.2563	526.86
26.2707	550.56
26.2852	532.32
26.2996	521.36
26.3140	529.19
26.3285	538.72
26.3429	526.16
26.3574	535.21
26.3718	543.72
26.3862	492.28
26.4007	524.42
26.4151	513.27
26.4296	562.68
