2022.09.19 19:37:17
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	589.97
22.1264	604.68
22.1409	587.30
22.1553	618.05
22.1697	582.07
22.1842	499.96
22.1986	516.78
22.2131	580.47
22.2275	512.60
22.2419	570.90
22.2564	633.75
22.2708	605.73
22.2853	575.89
22.2997	618.82
22.3141	642.57
22.3286	618.36
22.3430	551.29
22.3575	531.42
22.3719	558.58
22.3863	518.33
22.4008	533.38
22.4152	635.65
22.4297	594.65
22.4441	598.86
22.4585	548.99
22.4730	641.08
22.4874	564.75
22.5019	552.09
22.5163	558.20
22.5307	558.32
22.5452	517.93
22.5596	543.96
22.5741	579.98
22.5885	626.28
22.6029	636.51
22.6174	521.23
22.6318	520.81
22.6463	611.78
22.6607	563.33
22.6751	568.85
22.6896	610.13
22.7040	568.76
22.7185	620.67
22.7329	598.50
22.7473	628.15
22.7618	621.27
22.7762	620.63
22.7907	570.81
22.8051	580.97
22.8195	564.40
22.8340	512.57
22.8484	623.64
22.8629	555.05
22.8773	573.61
22.8917	547.76
22.9062	534.84
22.9206	539.14
22.9351	516.38
22.9495	441.05
22.9639	554.77
22.9784	583.97
22.9928	537.77
23.0073	541.70
23.0217	601.79
23.0361	635.12
23.0506	579.15
23.0650	683.01
23.0795	592.68
23.0939	643.87
23.1083	573.77
23.1228	569.17
23.1372	525.32
23.1517	501.06
23.1661	556.38
23.1806	584.95
23.1950	536.37
23.2094	553.21
23.2239	567.82
23.2383	577.01
23.2528	548.85
23.2672	551.65
23.2816	558.78
23.2961	518.72
23.3105	601.85
23.3250	522.84
23.3394	533.87
23.3538	585.50
23.3683	662.24
23.3827	545.81
23.3972	540.39
23.4116	529.25
23.4260	581.48
23.4405	535.50
23.4549	487.07
23.4694	529.37
23.4838	503.01
23.4982	550.88
23.5127	568.48
23.5271	532.17
23.5416	549.36
23.5560	616.87
23.5704	603.44
23.5849	571.25
23.5993	474.51
23.6138	589.37
23.6282	586.22
23.6426	510.06
23.6571	524.62
23.6715	512.56
23.6860	514.49
23.7004	553.26
23.7148	550.06
23.7293	594.63
23.7437	582.74
23.7582	572.00
23.7726	548.04
23.7870	586.61
23.8015	574.54
23.8159	548.57
23.8304	562.73
23.8448	593.32
23.8592	614.63
23.8737	582.01
23.8881	547.68
23.9026	619.99
23.9170	596.16
23.9314	493.24
23.9459	552.28
23.9603	512.31
23.9748	582.08
23.9892	505.90
24.0036	568.01
24.0181	537.90
24.0325	531.15
24.0470	538.35
24.0614	543.61
24.0758	574.71
24.0903	548.45
24.1047	511.25
24.1192	573.48
24.1336	547.38
24.1480	564.83
24.1625	551.86
24.1769	536.25
24.1914	611.71
24.2058	583.63
24.2202	592.00
24.2347	626.95
24.2491	582.20
24.2636	603.73
24.2780	620.57
24.2924	562.28
24.3069	595.95
24.3213	582.62
24.3358	592.12
24.3502	510.65
24.3646	566.43
24.3791	503.57
24.3935	551.23
24.4080	499.03
24.4224	559.60
24.4368	544.88
24.4513	502.24
24.4657	558.58
24.4802	567.58
24.4946	556.31
24.5090	521.55
24.5235	546.23
24.5379	535.53
24.5524	513.82
24.5668	554.55
24.5812	591.82
24.5957	554.00
24.6101	541.60
24.6246	564.82
24.6390	571.57
24.6534	542.36
24.6679	511.91
24.6823	530.39
24.6968	536.01
24.7112	576.17
24.7256	574.65
24.7401	560.79
24.7545	525.20
24.7690	528.88
24.7834	554.75
24.7978	498.36
24.8123	555.29
24.8267	541.22
24.8412	538.68
24.8556	542.88
24.8700	521.00
24.8845	535.12
24.8989	555.06
24.9134	604.96
24.9278	521.62
24.9422	477.07
24.9567	481.49
24.9711	519.90
24.9856	512.70
25.0000	526.46
25.0144	565.79
25.0289	601.36
25.0433	551.24
25.0578	457.81
25.0722	511.32
25.0866	578.84
25.1011	541.38
25.1155	550.50
25.1300	564.75
25.1444	543.08
25.1588	565.88
25.1733	549.92
25.1877	544.56
25.2022	550.90
25.2166	537.70
25.2310	531.67
25.2455	552.64
25.2599	559.93
25.2744	546.88
25.2888	538.05
25.3032	549.12
25.3177	523.09
25.3321	515.99
25.3466	507.28
25.3610	541.57
25.3754	551.37
25.3899	522.49
25.4043	493.62
25.4188	533.41
25.4332	590.65
25.4476	552.30
25.4621	565.05
25.4765	537.87
25.4910	508.20
25.5054	545.33
25.5198	544.12
25.5343	547.48
25.5487	523.85
25.5632	497.09
25.5776	530.92
25.5920	530.93
25.6065	509.92
25.6209	522.14
25.6354	536.95
25.6498	515.24
25.6642	535.42
25.6787	529.44
25.6931	495.04
25.7076	531.89
25.7220	515.08
25.7364	529.97
25.7509	575.26
25.7653	565.69
25.7798	570.69
25.7942	577.72
25.8086	520.85
25.8231	565.43
25.8375	557.58
25.8520	557.44
25.8664	541.94
25.8808	516.35
25.8953	521.18
25.9097	514.15
25.9242	530.61
25.9386	530.89
25.9530	508.18
25.9675	518.99
25.9819	572.47
25.9964	543.80
26.0108	495.00
26.0252	510.85
26.0397	514.88
26.0541	527.68
26.0686	515.11
26.0830	539.89
26.0974	547.46
26.1119	545.39
26.1263	571.01
26.1408	515.77
26.1552	519.62
26.1696	533.15
26.1841	539.85
26.1985	518.90
26.2130	525.93
26.2274	553.18
26.2418	501.64
26.2563	504.04
26.2707	499.49
26.2852	502.31
26.2996	501.85
26.3140	510.52
26.3285	512.82
26.3429	519.69
26.3574	509.11
26.3718	495.63
26.3862	495.44
26.4007	498.06
26.4151	537.66
26.4296	554.57
