2022.09.19 19:37:16
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	511.83
22.1264	510.31
22.1409	499.98
22.1553	509.05
22.1697	554.85
22.1842	499.91
22.1986	554.00
22.2131	541.36
22.2275	494.60
22.2419	587.33
22.2564	517.62
22.2708	602.36
22.2853	616.78
22.2997	520.72
22.3141	583.12
22.3286	570.14
22.3430	588.47
22.3575	560.18
22.3719	627.30
22.3863	699.68
22.4008	638.67
22.4152	553.65
22.4297	641.05
22.4441	665.19
22.4585	576.25
22.4730	592.68
22.4874	659.09
22.5019	611.93
22.5163	578.96
22.5307	568.52
22.5452	604.19
22.5596	619.58
22.5741	612.31
22.5885	617.50
22.6029	651.06
22.6174	623.23
22.6318	574.81
22.6463	557.84
22.6607	551.82
22.6751	549.85
22.6896	581.86
22.7040	549.10
22.7185	540.59
22.7329	531.66
22.7473	528.35
22.7618	571.62
22.7762	545.80
22.7907	617.59
22.8051	537.65
22.8195	551.06
22.8340	597.82
22.8484	569.64
22.8629	613.67
22.8773	514.53
22.8917	497.67
22.9062	629.71
22.9206	511.74
22.9351	573.82
22.9495	521.68
22.9639	588.01
22.9784	609.30
22.9928	637.43
23.0073	590.23
23.0217	626.78
23.0361	492.81
23.0506	509.49
23.0650	475.48
23.0795	518.44
23.0939	544.17
23.1083	487.55
23.1228	571.69
23.1372	584.10
23.1517	588.02
23.1661	584.16
23.1806	557.08
23.1950	609.47
23.2094	531.15
23.2239	583.34
23.2383	557.03
23.2528	565.52
23.2672	577.34
23.2816	581.33
23.2961	564.32
23.3105	533.96
23.3250	650.39
23.3394	573.77
23.3538	590.63
23.3683	623.68
23.3827	541.13
23.3972	498.07
23.4116	463.92
23.4260	527.55
23.4405	580.56
23.4549	579.30
23.4694	614.59
23.4838	593.00
23.4982	591.06
23.5127	628.72
23.5271	612.75
23.5416	628.17
23.5560	579.96
23.5704	558.06
23.5849	502.97
23.5993	536.90
23.6138	548.71
23.6282	518.36
23.6426	515.07
23.6571	546.89
23.6715	531.34
23.6860	537.49
23.7004	497.84
23.7148	511.53
23.7293	590.30
23.7437	493.97
23.7582	540.28
23.7726	557.24
23.7870	532.41
23.8015	525.22
23.8159	523.99
23.8304	585.55
23.8448	605.62
23.8592	606.83
23.8737	594.24
23.8881	565.52
23.9026	628.80
23.9170	607.42
23.9314	514.38
23.9459	518.39
23.9603	526.53
23.9748	555.60
23.9892	613.78
24.0036	525.65
24.0181	631.91
24.0325	609.14
24.0470	632.82
24.0614	542.44
24.0758	546.72
24.0903	648.41
24.1047	519.84
24.1192	585.13
24.1336	547.48
24.1480	512.05
24.1625	586.82
24.1769	560.58
24.1914	586.07
24.2058	524.98
24.2202	511.46
24.2347	584.61
24.2491	573.67
24.2636	619.62
24.2780	597.76
24.2924	590.58
24.3069	566.03
24.3213	591.79
24.3358	575.35
24.3502	552.35
24.3646	552.00
24.3791	556.62
24.3935	511.06
24.4080	528.15
24.4224	608.74
24.4368	506.34
24.4513	534.62
24.4657	571.20
24.4802	578.10
24.4946	566.06
24.5090	600.33
24.5235	560.34
24.5379	511.36
24.5524	570.38
24.5668	613.44
24.5812	573.07
24.5957	566.08
24.6101	581.26
24.6246	539.18
24.6390	585.35
24.6534	482.13
24.6679	533.00
24.6823	519.76
24.6968	524.78
24.7112	554.92
24.7256	533.19
24.7401	522.04
24.7545	575.53
24.7690	566.38
24.7834	551.29
24.7978	543.32
24.8123	644.93
24.8267	591.68
24.8412	573.31
24.8556	543.32
24.8700	554.08
24.8845	547.31
24.8989	584.95
24.9134	560.02
24.9278	465.41
24.9422	526.40
24.9567	519.09
24.9711	491.75
24.9856	543.35
25.0000	516.35
25.0144	545.69
25.0289	546.38
25.0433	505.91
25.0578	562.44
25.0722	493.77
25.0866	548.02
25.1011	577.55
25.1155	539.04
25.1300	558.32
25.1444	499.94
25.1588	550.80
25.1733	540.79
25.1877	498.75
25.2022	531.76
25.2166	571.41
25.2310	560.37
25.2455	557.80
25.2599	531.04
25.2744	573.29
25.2888	540.66
25.3032	509.70
25.3177	502.42
25.3321	481.45
25.3466	514.93
25.3610	532.54
25.3754	566.80
25.3899	530.49
25.4043	515.82
25.4188	538.85
25.4332	585.01
25.4476	543.88
25.4621	522.23
25.4765	552.65
25.4910	562.63
25.5054	560.74
25.5198	532.72
25.5343	582.83
25.5487	591.61
25.5632	543.70
25.5776	560.71
25.5920	571.07
25.6065	576.08
25.6209	530.07
25.6354	509.47
25.6498	504.42
25.6642	542.49
25.6787	571.92
25.6931	537.53
25.7076	545.96
25.7220	509.89
25.7364	553.51
25.7509	557.16
25.7653	524.62
25.7798	500.03
25.7942	534.78
25.8086	529.43
25.8231	541.19
25.8375	505.33
25.8520	563.02
25.8664	581.11
25.8808	604.08
25.8953	579.13
25.9097	552.29
25.9242	503.32
25.9386	534.31
25.9530	530.14
25.9675	526.96
25.9819	518.01
25.9964	532.25
26.0108	518.81
26.0252	530.68
26.0397	533.41
26.0541	532.18
26.0686	523.71
26.0830	552.62
26.0974	535.96
26.1119	531.80
26.1263	552.70
26.1408	497.17
26.1552	458.05
26.1696	531.30
26.1841	531.84
26.1985	543.49
26.2130	530.23
26.2274	530.94
26.2418	534.02
26.2563	502.74
26.2707	514.26
26.2852	525.72
26.2996	531.43
26.3140	555.62
26.3285	543.84
26.3429	556.87
26.3574	533.25
26.3718	522.51
26.3862	514.30
26.4007	514.89
26.4151	503.08
26.4296	522.56
