2022.09.19 19:37:17
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	530.94
22.1264	547.52
22.1409	516.53
22.1553	499.43
22.1697	604.58
22.1842	627.64
22.1986	621.08
22.2131	678.23
22.2275	633.74
22.2419	585.47
22.2564	621.42
22.2708	557.93
22.2853	653.62
22.2997	584.72
22.3141	620.70
22.3286	574.63
22.3430	537.63
22.3575	643.31
22.3719	594.23
22.3863	558.24
22.4008	585.85
22.4152	604.60
22.4297	593.51
22.4441	633.37
22.4585	613.04
22.4730	639.88
22.4874	642.57
22.5019	636.82
22.5163	606.65
22.5307	515.01
22.5452	479.88
22.5596	560.70
22.5741	634.12
22.5885	648.97
22.6029	616.52
22.6174	467.01
22.6318	518.23
22.6463	495.68
22.6607	533.51
22.6751	480.09
22.6896	588.81
22.7040	624.67
22.7185	581.27
22.7329	624.28
22.7473	611.26
22.7618	515.14
22.7762	577.04
22.7907	642.91
22.8051	637.60
22.8195	520.19
22.8340	487.55
22.8484	540.89
22.8629	590.72
22.8773	514.57
22.8917	461.54
22.9062	529.10
22.9206	658.51
22.9351	619.75
22.9495	539.57
22.9639	448.10
22.9784	552.09
22.9928	528.16
23.0073	464.14
23.0217	536.47
23.0361	642.08
23.0506	567.75
23.0650	546.37
23.0795	483.75
23.0939	618.93
23.1083	570.65
23.1228	601.45
23.1372	552.17
23.1517	553.66
23.1661	585.29
23.1806	569.57
23.1950	542.29
23.2094	546.05
23.2239	544.24
23.2383	522.92
23.2528	592.16
23.2672	520.99
23.2816	510.82
23.2961	557.81
23.3105	566.95
23.3250	518.80
23.3394	585.46
23.3538	579.67
23.3683	509.35
23.3827	496.98
23.3972	513.09
23.4116	556.12
23.4260	594.32
23.4405	606.53
23.4549	510.40
23.4694	561.91
23.4838	527.09
23.4982	548.22
23.5127	538.88
23.5271	575.30
23.5416	544.17
23.5560	561.07
23.5704	599.50
23.5849	589.74
23.5993	602.44
23.6138	543.19
23.6282	518.67
23.6426	601.78
23.6571	565.49
23.6715	547.20
23.6860	563.31
23.7004	541.62
23.7148	558.09
23.7293	569.19
23.7437	646.87
23.7582	496.96
23.7726	509.50
23.7870	609.41
23.8015	571.54
23.8159	532.52
23.8304	575.17
23.8448	574.27
23.8592	587.35
23.8737	644.34
23.8881	516.42
23.9026	562.40
23.9170	549.85
23.9314	568.81
23.9459	553.17
23.9603	573.21
23.9748	582.68
23.9892	494.96
24.0036	593.59
24.0181	577.44
24.0325	650.53
24.0470	650.34
24.0614	555.87
24.0758	521.56
24.0903	492.50
24.1047	556.83
24.1192	546.76
24.1336	575.03
24.1480	579.64
24.1625	568.20
24.1769	583.38
24.1914	544.81
24.2058	554.88
24.2202	556.41
24.2347	599.17
24.2491	570.83
24.2636	570.77
24.2780	592.91
24.2924	602.05
24.3069	588.72
24.3213	605.64
24.3358	575.75
24.3502	584.19
24.3646	505.92
24.3791	561.55
24.3935	553.34
24.4080	600.20
24.4224	524.56
24.4368	529.95
24.4513	523.19
24.4657	552.34
24.4802	540.62
24.4946	582.10
24.5090	520.68
24.5235	537.61
24.5379	531.84
24.5524	625.00
24.5668	531.97
24.5812	609.85
24.5957	508.09
24.6101	515.80
24.6246	569.98
24.6390	527.71
24.6534	533.81
24.6679	559.77
24.6823	498.37
24.6968	507.00
24.7112	548.87
24.7256	566.39
24.7401	543.23
24.7545	525.17
24.7690	553.58
24.7834	536.41
24.7978	555.80
24.8123	533.07
24.8267	548.70
24.8412	599.55
24.8556	613.73
24.8700	535.26
24.8845	547.60
24.8989	602.75
24.9134	564.22
24.9278	498.70
24.9422	556.46
24.9567	542.02
24.9711	535.19
24.9856	578.70
25.0000	565.91
25.0144	555.95
25.0289	565.55
25.0433	579.20
25.0578	537.44
25.0722	565.06
25.0866	552.33
25.1011	485.29
25.1155	554.46
25.1300	578.88
25.1444	566.32
25.1588	514.27
25.1733	559.92
25.1877	493.36
25.2022	500.97
25.2166	507.00
25.2310	538.53
25.2455	528.69
25.2599	532.00
25.2744	548.78
25.2888	532.52
25.3032	559.57
25.3177	533.04
25.3321	528.61
25.3466	561.28
25.3610	566.96
25.3754	499.60
25.3899	525.57
25.4043	513.61
25.4188	561.60
25.4332	587.21
25.4476	518.88
25.4621	548.33
25.4765	511.06
25.4910	551.80
25.5054	555.27
25.5198	539.08
25.5343	585.37
25.5487	565.17
25.5632	543.85
25.5776	532.13
25.5920	564.68
25.6065	541.43
25.6209	554.92
25.6354	570.33
25.6498	573.99
25.6642	512.41
25.6787	523.81
25.6931	528.47
25.7076	587.87
25.7220	524.03
25.7364	519.46
25.7509	553.79
25.7653	550.25
25.7798	544.37
25.7942	520.67
25.8086	512.37
25.8231	533.74
25.8375	549.49
25.8520	543.61
25.8664	560.95
25.8808	550.86
25.8953	541.43
25.9097	508.64
25.9242	476.54
25.9386	520.53
25.9530	542.75
25.9675	530.32
25.9819	501.17
25.9964	525.35
26.0108	552.54
26.0252	542.07
26.0397	527.83
26.0541	562.34
26.0686	548.36
26.0830	557.67
26.0974	512.60
26.1119	522.59
26.1263	573.43
26.1408	539.21
26.1552	540.21
26.1696	521.11
26.1841	515.83
26.1985	500.64
26.2130	513.93
26.2274	535.03
26.2418	520.90
26.2563	533.11
26.2707	515.88
26.2852	542.07
26.2996	528.77
26.3140	517.60
26.3285	559.23
26.3429	523.67
26.3574	537.06
26.3718	529.93
26.3862	513.94
26.4007	526.69
26.4151	514.31
26.4296	538.84
