2022.09.19 19:37:17
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	548.87
22.1264	585.56
22.1409	551.62
22.1553	599.62
22.1697	617.61
22.1842	615.81
22.1986	519.87
22.2131	563.97
22.2275	571.64
22.2419	563.22
22.2564	591.17
22.2708	555.95
22.2853	584.26
22.2997	555.56
22.3141	543.94
22.3286	472.04
22.3430	561.31
22.3575	594.28
22.3719	578.46
22.3863	480.40
22.4008	502.65
22.4152	578.97
22.4297	669.01
22.4441	623.78
22.4585	618.41
22.4730	619.19
22.4874	614.93
22.5019	659.83
22.5163	629.65
22.5307	563.94
22.5452	583.89
22.5596	604.52
22.5741	642.91
22.5885	655.61
22.6029	641.98
22.6174	596.29
22.6318	593.21
22.6463	613.97
22.6607	542.62
22.6751	582.34
22.6896	568.62
22.7040	522.07
22.7185	552.73
22.7329	603.85
22.7473	600.88
22.7618	593.83
22.7762	602.53
22.7907	569.68
22.8051	481.14
22.8195	577.37
22.8340	503.53
22.8484	585.44
22.8629	628.07
22.8773	541.88
22.8917	504.74
22.9062	559.27
22.9206	491.66
22.9351	544.83
22.9495	560.86
22.9639	530.35
22.9784	560.87
22.9928	526.39
23.0073	525.57
23.0217	578.71
23.0361	522.58
23.0506	600.65
23.0650	614.44
23.0795	572.35
23.0939	573.16
23.1083	601.97
23.1228	561.99
23.1372	560.33
23.1517	563.28
23.1661	542.55
23.1806	511.11
23.1950	530.98
23.2094	613.35
23.2239	524.64
23.2383	554.18
23.2528	542.99
23.2672	539.60
23.2816	487.99
23.2961	601.84
23.3105	534.34
23.3250	547.46
23.3394	565.33
23.3538	577.54
23.3683	576.36
23.3827	582.92
23.3972	571.81
23.4116	544.17
23.4260	517.24
23.4405	521.88
23.4549	527.23
23.4694	546.26
23.4838	636.29
23.4982	544.46
23.5127	592.90
23.5271	540.49
23.5416	539.37
23.5560	653.25
23.5704	559.90
23.5849	610.91
23.5993	545.65
23.6138	508.00
23.6282	512.60
23.6426	554.22
23.6571	541.38
23.6715	567.38
23.6860	517.14
23.7004	535.47
23.7148	455.03
23.7293	571.05
23.7437	557.03
23.7582	574.46
23.7726	548.04
23.7870	595.79
23.8015	506.67
23.8159	534.76
23.8304	552.64
23.8448	496.13
23.8592	532.99
23.8737	536.53
23.8881	512.61
23.9026	542.55
23.9170	562.21
23.9314	556.41
23.9459	563.00
23.9603	536.20
23.9748	610.93
23.9892	538.76
24.0036	567.09
24.0181	532.55
24.0325	554.04
24.0470	561.39
24.0614	471.76
24.0758	537.73
24.0903	523.76
24.1047	544.81
24.1192	524.06
24.1336	583.34
24.1480	565.88
24.1625	574.94
24.1769	625.51
24.1914	595.09
24.2058	546.00
24.2202	616.94
24.2347	609.57
24.2491	653.43
24.2636	581.67
24.2780	582.45
24.2924	548.35
24.3069	554.70
24.3213	583.79
24.3358	574.81
24.3502	610.11
24.3646	523.46
24.3791	515.19
24.3935	548.16
24.4080	484.61
24.4224	536.00
24.4368	507.27
24.4513	460.42
24.4657	552.64
24.4802	559.77
24.4946	509.61
24.5090	536.92
24.5235	525.27
24.5379	503.82
24.5524	580.02
24.5668	578.07
24.5812	572.53
24.5957	568.01
24.6101	580.58
24.6246	539.72
24.6390	562.19
24.6534	543.19
24.6679	507.66
24.6823	531.81
24.6968	579.09
24.7112	549.31
24.7256	529.37
24.7401	500.74
24.7545	585.95
24.7690	549.44
24.7834	548.13
24.7978	503.05
24.8123	570.25
24.8267	507.47
24.8412	495.21
24.8556	511.14
24.8700	529.00
24.8845	526.59
24.8989	522.79
24.9134	517.94
24.9278	509.69
24.9422	540.01
24.9567	544.40
24.9711	531.11
24.9856	527.78
25.0000	583.07
25.0144	617.10
25.0289	554.74
25.0433	524.68
25.0578	522.21
25.0722	518.03
25.0866	538.41
25.1011	522.39
25.1155	560.33
25.1300	555.29
25.1444	538.03
25.1588	527.78
25.1733	547.23
25.1877	518.59
25.2022	544.37
25.2166	527.54
25.2310	519.78
25.2455	484.75
25.2599	526.75
25.2744	536.13
25.2888	581.56
25.3032	550.68
25.3177	552.42
25.3321	530.21
25.3466	534.92
25.3610	546.95
25.3754	513.28
25.3899	491.20
25.4043	543.07
25.4188	548.69
25.4332	519.30
25.4476	518.42
25.4621	493.98
25.4765	483.50
25.4910	509.32
25.5054	490.68
25.5198	543.28
25.5343	567.56
25.5487	528.27
25.5632	505.92
25.5776	531.76
25.5920	509.60
25.6065	530.01
25.6209	481.06
25.6354	528.68
25.6498	526.16
25.6642	540.08
25.6787	545.76
25.6931	520.81
25.7076	541.84
25.7220	556.44
25.7364	505.85
25.7509	553.90
25.7653	537.82
25.7798	528.83
25.7942	533.73
25.8086	534.14
25.8231	589.55
25.8375	538.94
25.8520	548.45
25.8664	565.56
25.8808	525.42
25.8953	543.96
25.9097	549.18
25.9242	499.84
25.9386	540.86
25.9530	533.15
25.9675	551.07
25.9819	541.75
25.9964	509.57
26.0108	557.49
26.0252	573.66
26.0397	566.87
26.0541	549.11
26.0686	573.88
26.0830	579.91
26.0974	508.78
26.1119	511.87
26.1263	530.37
26.1408	519.93
26.1552	511.67
26.1696	518.72
26.1841	520.44
26.1985	534.48
26.2130	548.07
26.2274	509.97
26.2418	547.70
26.2563	546.32
26.2707	519.42
26.2852	531.81
26.2996	553.41
26.3140	527.35
26.3285	540.16
26.3429	548.35
26.3574	531.72
26.3718	509.70
26.3862	533.13
26.4007	519.94
26.4151	527.23
26.4296	535.27
