2022.09.19 19:37:16
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	565.61
22.1264	642.73
22.1409	562.89
22.1553	521.45
22.1697	520.21
22.1842	598.05
22.1986	638.38
22.2131	564.36
22.2275	527.17
22.2419	533.71
22.2564	578.88
22.2708	539.14
22.2853	618.32
22.2997	489.57
22.3141	507.74
22.3286	621.44
22.3430	601.23
22.3575	665.17
22.3719	601.06
22.3863	480.00
22.4008	514.59
22.4152	611.11
22.4297	536.74
22.4441	548.26
22.4585	649.89
22.4730	573.87
22.4874	654.98
22.5019	500.69
22.5163	532.85
22.5307	568.99
22.5452	571.89
22.5596	623.81
22.5741	601.68
22.5885	560.56
22.6029	535.43
22.6174	496.39
22.6318	535.70
22.6463	582.07
22.6607	578.36
22.6751	570.83
22.6896	504.29
22.7040	568.89
22.7185	545.28
22.7329	587.00
22.7473	600.32
22.7618	522.82
22.7762	509.98
22.7907	624.05
22.8051	623.79
22.8195	590.77
22.8340	566.42
22.8484	560.75
22.8629	570.79
22.8773	560.62
22.8917	532.01
22.9062	582.28
22.9206	599.55
22.9351	555.17
22.9495	467.19
22.9639	503.01
22.9784	556.23
22.9928	566.89
23.0073	536.92
23.0217	617.24
23.0361	556.83
23.0506	545.28
23.0650	621.57
23.0795	594.83
23.0939	621.10
23.1083	566.95
23.1228	566.91
23.1372	528.78
23.1517	600.32
23.1661	564.39
23.1806	593.75
23.1950	518.72
23.2094	560.42
23.2239	496.15
23.2383	576.85
23.2528	526.76
23.2672	631.88
23.2816	586.92
23.2961	546.22
23.3105	554.66
23.3250	514.52
23.3394	501.34
23.3538	524.05
23.3683	563.91
23.3827	526.97
23.3972	564.16
23.4116	527.86
23.4260	559.26
23.4405	574.19
23.4549	518.31
23.4694	566.37
23.4838	549.30
23.4982	563.44
23.5127	511.45
23.5271	521.94
23.5416	583.08
23.5560	541.60
23.5704	590.00
23.5849	573.73
23.5993	559.18
23.6138	565.36
23.6282	563.47
23.6426	550.87
23.6571	532.71
23.6715	506.49
23.6860	543.73
23.7004	542.22
23.7148	472.06
23.7293	584.39
23.7437	653.00
23.7582	600.32
23.7726	583.65
23.7870	590.49
23.8015	612.26
23.8159	520.86
23.8304	481.74
23.8448	509.89
23.8592	564.18
23.8737	577.50
23.8881	514.29
23.9026	556.32
23.9170	513.54
23.9314	509.87
23.9459	485.35
23.9603	531.43
23.9748	569.87
23.9892	528.27
24.0036	553.60
24.0181	531.92
24.0325	526.68
24.0470	535.27
24.0614	557.27
24.0758	532.26
24.0903	620.26
24.1047	564.04
24.1192	596.76
24.1336	612.38
24.1480	549.64
24.1625	586.27
24.1769	556.51
24.1914	597.91
24.2058	583.28
24.2202	533.58
24.2347	607.69
24.2491	580.58
24.2636	572.43
24.2780	629.86
24.2924	602.84
24.3069	590.91
24.3213	556.32
24.3358	594.73
24.3502	590.14
24.3646	556.20
24.3791	521.63
24.3935	503.14
24.4080	499.74
24.4224	573.69
24.4368	568.41
24.4513	554.02
24.4657	566.81
24.4802	541.12
24.4946	582.07
24.5090	522.16
24.5235	554.94
24.5379	571.67
24.5524	549.11
24.5668	671.61
24.5812	543.25
24.5957	593.74
24.6101	532.00
24.6246	581.50
24.6390	570.65
24.6534	529.81
24.6679	527.79
24.6823	506.25
24.6968	571.69
24.7112	532.40
24.7256	555.18
24.7401	545.44
24.7545	571.78
24.7690	531.25
24.7834	499.15
24.7978	508.11
24.8123	557.96
24.8267	541.53
24.8412	526.95
24.8556	576.13
24.8700	530.68
24.8845	548.50
24.8989	557.07
24.9134	584.31
24.9278	528.95
24.9422	526.75
24.9567	511.45
24.9711	548.05
24.9856	534.27
25.0000	556.73
25.0144	591.08
25.0289	483.96
25.0433	523.30
25.0578	525.42
25.0722	553.14
25.0866	536.66
25.1011	583.92
25.1155	557.51
25.1300	576.78
25.1444	557.09
25.1588	507.83
25.1733	530.00
25.1877	511.44
25.2022	525.70
25.2166	576.21
25.2310	580.63
25.2455	561.74
25.2599	544.30
25.2744	531.59
25.2888	544.45
25.3032	524.44
25.3177	560.00
25.3321	513.23
25.3466	522.43
25.3610	550.42
25.3754	498.90
25.3899	534.86
25.4043	512.91
25.4188	534.55
25.4332	553.76
25.4476	540.65
25.4621	556.69
25.4765	520.61
25.4910	539.05
25.5054	564.24
25.5198	570.43
25.5343	572.44
25.5487	519.87
25.5632	492.15
25.5776	535.99
25.5920	538.80
25.6065	533.41
25.6209	565.58
25.6354	564.69
25.6498	573.80
25.6642	564.13
25.6787	561.70
25.6931	534.56
25.7076	547.29
25.7220	544.20
25.7364	516.21
25.7509	537.05
25.7653	557.15
25.7798	566.85
25.7942	521.89
25.8086	516.96
25.8231	542.88
25.8375	525.66
25.8520	530.05
25.8664	524.69
25.8808	532.15
25.8953	545.96
25.9097	496.39
25.9242	516.46
25.9386	534.83
25.9530	486.06
25.9675	510.93
25.9819	515.70
25.9964	489.03
26.0108	483.87
26.0252	553.78
26.0397	564.63
26.0541	540.12
26.0686	528.52
26.0830	564.85
26.0974	546.55
26.1119	565.08
26.1263	574.95
26.1408	515.88
26.1552	514.05
26.1696	535.45
26.1841	512.52
26.1985	514.23
26.2130	528.28
26.2274	503.09
26.2418	538.23
26.2563	548.82
26.2707	562.21
26.2852	547.28
26.2996	528.53
26.3140	534.60
26.3285	516.26
26.3429	508.32
26.3574	549.09
26.3718	558.11
26.3862	547.72
26.4007	528.94
26.4151	522.23
26.4296	525.20
