2022.09.19 19:37:17
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	541.26
22.1264	576.62
22.1409	564.06
22.1553	511.47
22.1697	546.57
22.1842	656.44
22.1986	568.19
22.2131	585.44
22.2275	567.41
22.2419	496.89
22.2564	565.55
22.2708	668.29
22.2853	694.27
22.2997	609.94
22.3141	572.82
22.3286	591.95
22.3430	565.87
22.3575	562.11
22.3719	602.65
22.3863	581.29
22.4008	633.71
22.4152	573.19
22.4297	615.35
22.4441	627.62
22.4585	642.97
22.4730	586.22
22.4874	586.17
22.5019	598.98
22.5163	524.40
22.5307	565.94
22.5452	539.06
22.5596	572.87
22.5741	652.79
22.5885	592.98
22.6029	608.68
22.6174	559.35
22.6318	557.55
22.6463	558.67
22.6607	570.50
22.6751	517.11
22.6896	647.16
22.7040	545.88
22.7185	528.24
22.7329	549.80
22.7473	524.83
22.7618	659.88
22.7762	636.41
22.7907	586.74
22.8051	603.85
22.8195	589.20
22.8340	562.41
22.8484	613.97
22.8629	603.62
22.8773	530.49
22.8917	529.13
22.9062	554.96
22.9206	524.79
22.9351	558.97
22.9495	697.34
22.9639	653.16
22.9784	569.14
22.9928	591.18
23.0073	575.92
23.0217	627.51
23.0361	545.32
23.0506	543.47
23.0650	633.78
23.0795	569.68
23.0939	633.17
23.1083	532.72
23.1228	511.94
23.1372	588.73
23.1517	532.23
23.1661	531.55
23.1806	526.13
23.1950	528.81
23.2094	570.50
23.2239	489.26
23.2383	596.04
23.2528	517.78
23.2672	468.60
23.2816	545.47
23.2961	534.91
23.3105	528.66
23.3250	600.88
23.3394	591.33
23.3538	532.19
23.3683	548.42
23.3827	595.90
23.3972	535.65
23.4116	508.80
23.4260	536.00
23.4405	569.98
23.4549	503.86
23.4694	573.03
23.4838	578.88
23.4982	550.59
23.5127	534.37
23.5271	590.96
23.5416	615.20
23.5560	573.34
23.5704	517.59
23.5849	499.44
23.5993	572.36
23.6138	574.64
23.6282	525.12
23.6426	565.96
23.6571	564.39
23.6715	501.34
23.6860	453.92
23.7004	571.39
23.7148	496.13
23.7293	600.28
23.7437	563.00
23.7582	609.00
23.7726	539.84
23.7870	560.13
23.8015	528.67
23.8159	566.32
23.8304	497.12
23.8448	501.94
23.8592	527.55
23.8737	594.89
23.8881	569.96
23.9026	606.21
23.9170	536.75
23.9314	515.34
23.9459	540.84
23.9603	578.08
23.9748	560.76
23.9892	511.03
24.0036	548.07
24.0181	551.78
24.0325	514.89
24.0470	525.20
24.0614	491.56
24.0758	564.49
24.0903	596.13
24.1047	536.19
24.1192	630.49
24.1336	590.13
24.1480	577.61
24.1625	577.66
24.1769	608.44
24.1914	584.06
24.2058	611.99
24.2202	596.24
24.2347	570.14
24.2491	637.87
24.2636	572.40
24.2780	621.03
24.2924	561.75
24.3069	563.43
24.3213	597.22
24.3358	555.28
24.3502	557.79
24.3646	544.37
24.3791	597.71
24.3935	518.48
24.4080	597.30
24.4224	544.06
24.4368	490.59
24.4513	513.59
24.4657	550.43
24.4802	471.77
24.4946	537.12
24.5090	478.58
24.5235	532.98
24.5379	526.04
24.5524	558.83
24.5668	593.24
24.5812	588.02
24.5957	600.12
24.6101	563.98
24.6246	598.82
24.6390	593.77
24.6534	517.90
24.6679	553.13
24.6823	522.57
24.6968	482.61
24.7112	511.53
24.7256	538.70
24.7401	533.84
24.7545	579.52
24.7690	506.59
24.7834	511.56
24.7978	531.83
24.8123	603.52
24.8267	544.75
24.8412	573.74
24.8556	550.81
24.8700	546.94
24.8845	523.69
24.8989	561.15
24.9134	536.97
24.9278	558.89
24.9422	575.19
24.9567	577.75
24.9711	499.60
24.9856	556.63
25.0000	533.42
25.0144	503.40
25.0289	516.16
25.0433	510.84
25.0578	522.47
25.0722	522.42
25.0866	582.10
25.1011	533.51
25.1155	527.93
25.1300	523.61
25.1444	539.46
25.1588	557.09
25.1733	533.77
25.1877	557.24
25.2022	529.97
25.2166	532.19
25.2310	534.56
25.2455	511.21
25.2599	550.82
25.2744	563.19
25.2888	568.90
25.3032	550.80
25.3177	512.32
25.3321	563.40
25.3466	547.96
25.3610	507.89
25.3754	567.76
25.3899	552.81
25.4043	539.90
25.4188	561.37
25.4332	577.31
25.4476	549.04
25.4621	542.31
25.4765	554.26
25.4910	519.83
25.5054	550.29
25.5198	586.13
25.5343	565.03
25.5487	515.19
25.5632	544.21
25.5776	548.41
25.5920	500.10
25.6065	531.17
25.6209	508.34
25.6354	528.31
25.6498	515.39
25.6642	524.60
25.6787	526.02
25.6931	542.95
25.7076	555.57
25.7220	542.96
25.7364	522.82
25.7509	538.81
25.7653	551.29
25.7798	561.06
25.7942	539.16
25.8086	538.67
25.8231	522.49
25.8375	550.47
25.8520	540.09
25.8664	538.12
25.8808	585.90
25.8953	527.59
25.9097	523.25
25.9242	538.91
25.9386	552.73
25.9530	553.02
25.9675	504.92
25.9819	515.11
25.9964	513.56
26.0108	520.79
26.0252	549.90
26.0397	521.72
26.0541	487.65
26.0686	515.28
26.0830	544.49
26.0974	516.67
26.1119	512.15
26.1263	554.26
26.1408	497.52
26.1552	498.62
26.1696	498.17
26.1841	521.67
26.1985	515.55
26.2130	514.24
26.2274	532.95
26.2418	577.63
26.2563	533.84
26.2707	521.34
26.2852	545.66
26.2996	546.26
26.3140	545.39
26.3285	554.82
26.3429	535.29
26.3574	516.16
26.3718	540.22
26.3862	539.35
26.4007	514.30
26.4151	540.37
26.4296	526.08
