2022.09.19 19:37:16
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	500.15
22.1264	527.02
22.1409	457.61
22.1553	538.70
22.1697	529.82
22.1842	571.24
22.1986	578.56
22.2131	562.05
22.2275	625.70
22.2419	636.82
22.2564	598.81
22.2708	504.55
22.2853	481.89
22.2997	480.52
22.3141	598.44
22.3286	570.54
22.3430	634.94
22.3575	643.65
22.3719	568.20
22.3863	567.01
22.4008	529.09
22.4152	555.19
22.4297	614.57
22.4441	597.71
22.4585	624.18
22.4730	570.87
22.4874	590.39
22.5019	617.32
22.5163	570.51
22.5307	573.09
22.5452	618.40
22.5596	622.29
22.5741	564.03
22.5885	502.29
22.6029	651.04
22.6174	557.84
22.6318	580.48
22.6463	627.53
22.6607	570.32
22.6751	522.58
22.6896	498.54
22.7040	558.65
22.7185	523.76
22.7329	562.30
22.7473	555.80
22.7618	501.81
22.7762	517.90
22.7907	547.67
22.8051	568.63
22.8195	659.78
22.8340	609.14
22.8484	553.92
22.8629	638.30
22.8773	597.94
22.8917	565.16
22.9062	636.91
22.9206	550.58
22.9351	615.35
22.9495	594.00
22.9639	543.27
22.9784	603.55
22.9928	620.42
23.0073	511.83
23.0217	518.81
23.0361	573.96
23.0506	659.22
23.0650	578.79
23.0795	528.57
23.0939	563.59
23.1083	529.47
23.1228	631.04
23.1372	583.16
23.1517	577.00
23.1661	506.99
23.1806	513.50
23.1950	566.85
23.2094	525.05
23.2239	583.12
23.2383	588.50
23.2528	498.44
23.2672	591.79
23.2816	513.40
23.2961	556.06
23.3105	549.40
23.3250	514.94
23.3394	518.64
23.3538	537.76
23.3683	544.08
23.3827	633.44
23.3972	519.52
23.4116	545.75
23.4260	649.50
23.4405	578.00
23.4549	532.45
23.4694	517.39
23.4838	536.01
23.4982	580.37
23.5127	570.14
23.5271	553.58
23.5416	518.27
23.5560	624.72
23.5704	578.13
23.5849	563.21
23.5993	593.69
23.6138	575.74
23.6282	581.28
23.6426	569.41
23.6571	601.47
23.6715	586.72
23.6860	573.41
23.7004	544.99
23.7148	596.24
23.7293	543.66
23.7437	614.73
23.7582	533.34
23.7726	520.76
23.7870	493.64
23.8015	504.88
23.8159	566.85
23.8304	530.51
23.8448	599.05
23.8592	562.47
23.8737	578.94
23.8881	487.49
23.9026	532.85
23.9170	563.38
23.9314	534.28
23.9459	618.45
23.9603	497.32
23.9748	538.08
23.9892	522.67
24.0036	541.33
24.0181	600.61
24.0325	535.00
24.0470	584.02
24.0614	513.40
24.0758	528.79
24.0903	612.23
24.1047	580.06
24.1192	528.82
24.1336	583.13
24.1480	504.96
24.1625	538.37
24.1769	631.44
24.1914	535.67
24.2058	619.42
24.2202	585.29
24.2347	566.87
24.2491	543.43
24.2636	570.40
24.2780	614.84
24.2924	580.97
24.3069	553.08
24.3213	527.06
24.3358	538.82
24.3502	579.38
24.3646	568.88
24.3791	592.66
24.3935	566.92
24.4080	513.48
24.4224	522.82
24.4368	574.35
24.4513	550.87
24.4657	543.25
24.4802	531.74
24.4946	556.84
24.5090	500.88
24.5235	506.48
24.5379	575.96
24.5524	577.75
24.5668	591.56
24.5812	550.81
24.5957	581.50
24.6101	633.13
24.6246	584.12
24.6390	565.55
24.6534	594.66
24.6679	511.42
24.6823	521.81
24.6968	580.98
24.7112	560.70
24.7256	529.09
24.7401	530.06
24.7545	592.30
24.7690	546.62
24.7834	625.92
24.7978	579.62
24.8123	612.67
24.8267	525.72
24.8412	485.17
24.8556	528.83
24.8700	551.29
24.8845	534.81
24.8989	519.47
24.9134	492.83
24.9278	504.58
24.9422	513.86
24.9567	561.14
24.9711	474.77
24.9856	551.45
25.0000	522.02
25.0144	501.84
25.0289	510.54
25.0433	570.72
25.0578	533.60
25.0722	472.75
25.0866	574.39
25.1011	580.83
25.1155	587.73
25.1300	551.67
25.1444	581.72
25.1588	596.93
25.1733	529.56
25.1877	525.11
25.2022	489.74
25.2166	542.73
25.2310	562.77
25.2455	570.31
25.2599	523.54
25.2744	526.97
25.2888	558.74
25.3032	556.30
25.3177	552.56
25.3321	524.17
25.3466	486.93
25.3610	561.25
25.3754	529.14
25.3899	560.18
25.4043	557.50
25.4188	550.56
25.4332	525.02
25.4476	522.41
25.4621	500.79
25.4765	498.14
25.4910	514.98
25.5054	567.82
25.5198	537.61
25.5343	580.56
25.5487	510.79
25.5632	500.99
25.5776	536.67
25.5920	514.27
25.6065	585.73
25.6209	574.69
25.6354	508.02
25.6498	506.61
25.6642	511.83
25.6787	527.19
25.6931	543.53
25.7076	531.32
25.7220	562.02
25.7364	550.84
25.7509	565.32
25.7653	556.18
25.7798	560.24
25.7942	530.58
25.8086	516.41
25.8231	505.24
25.8375	514.57
25.8520	556.82
25.8664	575.82
25.8808	547.16
25.8953	542.98
25.9097	539.41
25.9242	539.17
25.9386	523.14
25.9530	556.89
25.9675	530.88
25.9819	548.22
25.9964	575.13
26.0108	542.14
26.0252	521.47
26.0397	539.74
26.0541	571.41
26.0686	531.45
26.0830	564.47
26.0974	528.72
26.1119	507.23
26.1263	525.50
26.1408	496.80
26.1552	527.43
26.1696	495.64
26.1841	480.00
26.1985	532.15
26.2130	505.70
26.2274	544.73
26.2418	543.29
26.2563	491.71
26.2707	527.32
26.2852	567.96
26.2996	539.95
26.3140	584.75
26.3285	560.95
26.3429	529.76
26.3574	521.37
26.3718	524.39
26.3862	506.03
26.4007	496.40
26.4151	525.59
26.4296	530.24
