2022.09.19 19:37:16
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	490.67
22.1264	609.89
22.1409	484.60
22.1553	507.16
22.1697	571.60
22.1842	583.58
22.1986	494.98
22.2131	463.90
22.2275	529.09
22.2419	578.53
22.2564	555.95
22.2708	605.78
22.2853	605.33
22.2997	577.09
22.3141	653.67
22.3286	626.45
22.3430	609.60
22.3575	591.15
22.3719	551.35
22.3863	576.23
22.4008	548.23
22.4152	544.47
22.4297	660.60
22.4441	668.64
22.4585	612.66
22.4730	639.48
22.4874	673.28
22.5019	608.51
22.5163	554.79
22.5307	541.76
22.5452	538.22
22.5596	594.01
22.5741	643.67
22.5885	555.44
22.6029	576.30
22.6174	551.49
22.6318	547.77
22.6463	635.62
22.6607	608.01
22.6751	540.60
22.6896	653.33
22.7040	667.46
22.7185	574.66
22.7329	543.56
22.7473	543.18
22.7618	538.31
22.7762	612.87
22.7907	642.35
22.8051	600.91
22.8195	582.09
22.8340	547.71
22.8484	546.49
22.8629	593.91
22.8773	603.65
22.8917	530.57
22.9062	576.53
22.9206	575.16
22.9351	533.22
22.9495	603.96
22.9639	569.34
22.9784	580.64
22.9928	595.65
23.0073	560.07
23.0217	627.18
23.0361	572.88
23.0506	532.61
23.0650	562.24
23.0795	492.51
23.0939	610.73
23.1083	561.38
23.1228	496.46
23.1372	595.57
23.1517	565.47
23.1661	600.70
23.1806	605.21
23.1950	582.30
23.2094	523.97
23.2239	568.03
23.2383	512.32
23.2528	574.72
23.2672	482.30
23.2816	522.80
23.2961	541.34
23.3105	579.05
23.3250	559.32
23.3394	579.23
23.3538	596.23
23.3683	511.68
23.3827	550.67
23.3972	495.59
23.4116	496.38
23.4260	568.09
23.4405	515.89
23.4549	566.98
23.4694	527.41
23.4838	547.68
23.4982	530.62
23.5127	477.70
23.5271	546.86
23.5416	582.20
23.5560	593.09
23.5704	579.93
23.5849	579.50
23.5993	600.37
23.6138	556.41
23.6282	500.08
23.6426	529.22
23.6571	528.45
23.6715	537.17
23.6860	553.04
23.7004	560.79
23.7148	561.21
23.7293	474.51
23.7437	547.52
23.7582	607.00
23.7726	591.37
23.7870	583.94
23.8015	526.64
23.8159	511.69
23.8304	592.30
23.8448	549.51
23.8592	565.34
23.8737	583.07
23.8881	567.95
23.9026	602.18
23.9170	549.65
23.9314	551.65
23.9459	504.69
23.9603	577.64
23.9748	579.56
23.9892	559.91
24.0036	497.80
24.0181	588.13
24.0325	566.22
24.0470	539.61
24.0614	554.05
24.0758	498.31
24.0903	578.28
24.1047	556.71
24.1192	540.60
24.1336	586.91
24.1480	534.82
24.1625	568.57
24.1769	629.94
24.1914	633.14
24.2058	519.64
24.2202	597.57
24.2347	621.22
24.2491	565.12
24.2636	549.36
24.2780	573.11
24.2924	636.61
24.3069	575.12
24.3213	534.60
24.3358	559.07
24.3502	566.86
24.3646	502.56
24.3791	531.84
24.3935	518.26
24.4080	569.89
24.4224	572.53
24.4368	564.91
24.4513	560.69
24.4657	553.52
24.4802	520.32
24.4946	533.77
24.5090	561.89
24.5235	526.19
24.5379	541.59
24.5524	564.88
24.5668	584.31
24.5812	568.77
24.5957	593.56
24.6101	576.58
24.6246	511.74
24.6390	586.43
24.6534	569.31
24.6679	582.91
24.6823	520.33
24.6968	503.09
24.7112	545.02
24.7256	554.10
24.7401	573.60
24.7545	537.47
24.7690	574.73
24.7834	517.97
24.7978	618.75
24.8123	618.82
24.8267	539.65
24.8412	499.64
24.8556	556.36
24.8700	590.37
24.8845	532.41
24.8989	564.06
24.9134	541.38
24.9278	520.94
24.9422	585.24
24.9567	590.44
24.9711	547.42
24.9856	542.92
25.0000	529.86
25.0144	509.93
25.0289	459.59
25.0433	560.65
25.0578	561.39
25.0722	554.98
25.0866	532.47
25.1011	559.28
25.1155	591.15
25.1300	567.51
25.1444	554.22
25.1588	593.23
25.1733	527.64
25.1877	512.29
25.2022	553.16
25.2166	521.42
25.2310	497.99
25.2455	518.75
25.2599	536.17
25.2744	563.39
25.2888	557.80
25.3032	545.84
25.3177	554.34
25.3321	518.33
25.3466	561.43
25.3610	576.55
25.3754	506.92
25.3899	528.87
25.4043	524.54
25.4188	523.92
25.4332	501.51
25.4476	506.71
25.4621	536.18
25.4765	524.16
25.4910	554.32
25.5054	515.38
25.5198	515.43
25.5343	556.71
25.5487	552.47
25.5632	591.99
25.5776	562.80
25.5920	559.87
25.6065	554.13
25.6209	553.57
25.6354	568.16
25.6498	533.83
25.6642	565.57
25.6787	543.00
25.6931	547.11
25.7076	566.98
25.7220	582.49
25.7364	493.75
25.7509	502.27
25.7653	547.94
25.7798	578.70
25.7942	561.53
25.8086	525.68
25.8231	552.64
25.8375	533.75
25.8520	561.59
25.8664	605.68
25.8808	549.76
25.8953	558.75
25.9097	549.15
25.9242	528.96
25.9386	527.11
25.9530	524.21
25.9675	511.62
25.9819	514.92
25.9964	491.19
26.0108	542.20
26.0252	552.31
26.0397	526.62
26.0541	534.41
26.0686	546.88
26.0830	520.21
26.0974	559.30
26.1119	545.74
26.1263	541.45
26.1408	532.15
26.1552	517.06
26.1696	538.32
26.1841	542.43
26.1985	527.08
26.2130	542.94
26.2274	541.86
26.2418	510.83
26.2563	518.86
26.2707	538.76
26.2852	525.61
26.2996	531.55
26.3140	559.76
26.3285	545.98
26.3429	530.67
26.3574	547.02
26.3718	514.43
26.3862	509.56
26.4007	541.85
26.4151	514.78
26.4296	497.89
