2022.09.19 19:37:16
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	602.33
22.1264	579.81
22.1409	518.41
22.1553	504.10
22.1697	552.45
22.1842	560.16
22.1986	517.98
22.2131	491.51
22.2275	555.54
22.2419	570.10
22.2564	572.84
22.2708	639.85
22.2853	593.14
22.2997	616.09
22.3141	585.06
22.3286	579.31
22.3430	575.09
22.3575	596.62
22.3719	672.51
22.3863	686.60
22.4008	591.95
22.4152	584.31
22.4297	608.06
22.4441	602.31
22.4585	584.30
22.4730	537.15
22.4874	525.60
22.5019	555.95
22.5163	537.89
22.5307	552.44
22.5452	552.59
22.5596	559.32
22.5741	669.39
22.5885	600.00
22.6029	650.12
22.6174	537.83
22.6318	608.74
22.6463	562.36
22.6607	558.55
22.6751	510.33
22.6896	497.09
22.7040	510.44
22.7185	589.78
22.7329	501.82
22.7473	516.47
22.7618	540.42
22.7762	561.74
22.7907	658.13
22.8051	621.23
22.8195	616.38
22.8340	559.39
22.8484	583.76
22.8629	579.28
22.8773	562.30
22.8917	590.78
22.9062	498.90
22.9206	533.44
22.9351	493.15
22.9495	521.56
22.9639	582.81
22.9784	477.13
22.9928	509.02
23.0073	538.18
23.0217	609.53
23.0361	493.64
23.0506	575.30
23.0650	541.29
23.0795	497.07
23.0939	506.93
23.1083	542.94
23.1228	626.31
23.1372	587.00
23.1517	539.27
23.1661	577.85
23.1806	561.03
23.1950	596.14
23.2094	535.36
23.2239	534.71
23.2383	510.92
23.2528	621.63
23.2672	508.81
23.2816	625.83
23.2961	520.71
23.3105	618.16
23.3250	546.61
23.3394	571.26
23.3538	533.45
23.3683	522.06
23.3827	451.09
23.3972	506.04
23.4116	550.35
23.4260	550.88
23.4405	509.93
23.4549	576.53
23.4694	618.54
23.4838	504.58
23.4982	559.95
23.5127	488.95
23.5271	579.23
23.5416	555.98
23.5560	620.26
23.5704	609.62
23.5849	500.13
23.5993	588.48
23.6138	550.69
23.6282	583.59
23.6426	562.16
23.6571	573.73
23.6715	577.68
23.6860	579.80
23.7004	614.76
23.7148	540.95
23.7293	510.38
23.7437	525.06
23.7582	565.61
23.7726	522.64
23.7870	568.61
23.8015	612.96
23.8159	602.90
23.8304	575.72
23.8448	561.93
23.8592	617.83
23.8737	575.88
23.8881	582.50
23.9026	549.48
23.9170	578.08
23.9314	498.63
23.9459	619.24
23.9603	518.09
23.9748	526.95
23.9892	573.31
24.0036	504.48
24.0181	512.87
24.0325	583.79
24.0470	579.37
24.0614	569.87
24.0758	610.64
24.0903	638.68
24.1047	516.55
24.1192	548.86
24.1336	570.01
24.1480	573.50
24.1625	574.32
24.1769	529.15
24.1914	564.68
24.2058	537.96
24.2202	592.57
24.2347	571.96
24.2491	637.72
24.2636	615.36
24.2780	626.53
24.2924	602.69
24.3069	596.26
24.3213	583.34
24.3358	589.46
24.3502	514.07
24.3646	514.17
24.3791	508.41
24.3935	541.60
24.4080	514.85
24.4224	563.94
24.4368	538.03
24.4513	516.46
24.4657	586.21
24.4802	567.19
24.4946	522.43
24.5090	561.53
24.5235	576.75
24.5379	532.60
24.5524	561.25
24.5668	611.85
24.5812	571.20
24.5957	550.36
24.6101	541.85
24.6246	517.48
24.6390	576.31
24.6534	568.71
24.6679	549.75
24.6823	570.87
24.6968	572.97
24.7112	584.80
24.7256	604.59
24.7401	539.63
24.7545	574.48
24.7690	516.34
24.7834	543.02
24.7978	541.40
24.8123	529.81
24.8267	533.70
24.8412	551.61
24.8556	577.99
24.8700	592.69
24.8845	521.85
24.8989	487.25
24.9134	478.47
24.9278	506.57
24.9422	521.39
24.9567	535.75
24.9711	551.61
24.9856	518.19
25.0000	508.24
25.0144	548.10
25.0289	633.39
25.0433	531.53
25.0578	550.04
25.0722	497.19
25.0866	586.13
25.1011	537.33
25.1155	572.15
25.1300	535.73
25.1444	503.83
25.1588	470.31
25.1733	508.53
25.1877	551.42
25.2022	550.02
25.2166	548.82
25.2310	580.14
25.2455	544.88
25.2599	561.38
25.2744	520.38
25.2888	509.41
25.3032	525.40
25.3177	534.52
25.3321	571.38
25.3466	521.91
25.3610	535.87
25.3754	559.99
25.3899	531.63
25.4043	541.39
25.4188	549.46
25.4332	540.77
25.4476	535.78
25.4621	547.83
25.4765	543.90
25.4910	529.04
25.5054	580.92
25.5198	545.14
25.5343	592.54
25.5487	590.49
25.5632	544.79
25.5776	542.25
25.5920	544.53
25.6065	580.71
25.6209	551.89
25.6354	548.09
25.6498	525.32
25.6642	586.44
25.6787	567.03
25.6931	558.88
25.7076	564.47
25.7220	564.80
25.7364	536.34
25.7509	531.06
25.7653	547.10
25.7798	540.24
25.7942	580.91
25.8086	548.78
25.8231	517.26
25.8375	497.58
25.8520	548.51
25.8664	529.35
25.8808	500.48
25.8953	521.07
25.9097	517.20
25.9242	571.43
25.9386	575.79
25.9530	542.24
25.9675	540.02
25.9819	571.76
25.9964	556.85
26.0108	513.58
26.0252	553.10
26.0397	518.71
26.0541	537.34
26.0686	525.68
26.0830	557.87
26.0974	534.74
26.1119	541.93
26.1263	535.09
26.1408	527.30
26.1552	514.26
26.1696	541.54
26.1841	544.03
26.1985	529.22
26.2130	503.43
26.2274	515.56
26.2418	511.46
26.2563	533.95
26.2707	497.67
26.2852	511.35
26.2996	544.95
26.3140	554.76
26.3285	543.46
26.3429	536.46
26.3574	524.48
26.3718	512.48
26.3862	531.80
26.4007	530.13
26.4151	559.67
26.4296	549.74
