2022.09.19 19:37:16
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	549.88
22.1264	625.13
22.1409	561.95
22.1553	624.16
22.1697	623.43
22.1842	587.38
22.1986	540.99
22.2131	491.51
22.2275	492.28
22.2419	534.47
22.2564	576.24
22.2708	580.49
22.2853	599.18
22.2997	520.26
22.3141	519.52
22.3286	600.56
22.3430	732.58
22.3575	622.58
22.3719	577.43
22.3863	598.45
22.4008	565.91
22.4152	597.71
22.4297	596.19
22.4441	638.35
22.4585	619.96
22.4730	573.94
22.4874	600.36
22.5019	615.43
22.5163	562.78
22.5307	574.05
22.5452	549.23
22.5596	631.75
22.5741	644.65
22.5885	578.38
22.6029	530.91
22.6174	549.07
22.6318	530.02
22.6463	547.04
22.6607	636.50
22.6751	513.08
22.6896	498.83
22.7040	539.42
22.7185	625.35
22.7329	495.67
22.7473	495.51
22.7618	586.77
22.7762	603.85
22.7907	593.54
22.8051	587.10
22.8195	652.68
22.8340	649.95
22.8484	674.39
22.8629	668.27
22.8773	572.12
22.8917	537.74
22.9062	573.66
22.9206	568.02
22.9351	481.50
22.9495	540.65
22.9639	550.28
22.9784	617.06
22.9928	590.45
23.0073	626.17
23.0217	508.31
23.0361	467.29
23.0506	573.17
23.0650	527.68
23.0795	628.48
23.0939	586.64
23.1083	526.18
23.1228	612.70
23.1372	532.10
23.1517	567.66
23.1661	542.79
23.1806	551.32
23.1950	590.67
23.2094	600.49
23.2239	557.72
23.2383	554.00
23.2528	557.33
23.2672	555.07
23.2816	566.87
23.2961	547.32
23.3105	603.08
23.3250	602.18
23.3394	501.37
23.3538	475.41
23.3683	534.25
23.3827	568.31
23.3972	568.68
23.4116	503.03
23.4260	634.60
23.4405	536.56
23.4549	611.95
23.4694	557.23
23.4838	542.67
23.4982	526.79
23.5127	565.33
23.5271	586.11
23.5416	556.02
23.5560	569.90
23.5704	576.02
23.5849	579.77
23.5993	556.19
23.6138	541.84
23.6282	538.45
23.6426	567.24
23.6571	542.71
23.6715	563.55
23.6860	548.26
23.7004	545.16
23.7148	551.66
23.7293	489.59
23.7437	523.95
23.7582	600.31
23.7726	564.99
23.7870	567.82
23.8015	550.69
23.8159	546.76
23.8304	577.52
23.8448	529.06
23.8592	566.00
23.8737	547.19
23.8881	516.65
23.9026	581.71
23.9170	543.55
23.9314	563.13
23.9459	570.87
23.9603	508.29
23.9748	570.18
23.9892	557.36
24.0036	614.45
24.0181	633.24
24.0325	647.30
24.0470	556.85
24.0614	578.34
24.0758	579.19
24.0903	580.36
24.1047	577.44
24.1192	585.83
24.1336	610.82
24.1480	544.11
24.1625	600.45
24.1769	568.18
24.1914	570.37
24.2058	628.54
24.2202	555.85
24.2347	622.71
24.2491	658.40
24.2636	609.44
24.2780	576.32
24.2924	577.73
24.3069	544.16
24.3213	540.30
24.3358	556.32
24.3502	560.25
24.3646	566.78
24.3791	578.54
24.3935	490.51
24.4080	541.85
24.4224	563.47
24.4368	546.84
24.4513	533.93
24.4657	487.15
24.4802	510.16
24.4946	524.60
24.5090	573.47
24.5235	589.80
24.5379	591.50
24.5524	530.42
24.5668	631.55
24.5812	593.00
24.5957	627.15
24.6101	571.13
24.6246	560.18
24.6390	548.41
24.6534	532.83
24.6679	555.64
24.6823	561.16
24.6968	543.62
24.7112	556.96
24.7256	533.99
24.7401	543.06
24.7545	541.09
24.7690	493.87
24.7834	541.07
24.7978	556.33
24.8123	543.50
24.8267	593.70
24.8412	581.69
24.8556	574.96
24.8700	533.09
24.8845	542.75
24.8989	555.89
24.9134	554.89
24.9278	509.17
24.9422	542.29
24.9567	500.90
24.9711	529.98
24.9856	558.98
25.0000	519.72
25.0144	608.58
25.0289	542.31
25.0433	528.29
25.0578	602.72
25.0722	489.05
25.0866	551.41
25.1011	515.48
25.1155	571.22
25.1300	558.08
25.1444	494.84
25.1588	533.53
25.1733	548.08
25.1877	559.14
25.2022	524.46
25.2166	522.02
25.2310	560.54
25.2455	544.25
25.2599	524.06
25.2744	553.67
25.2888	581.45
25.3032	536.32
25.3177	526.06
25.3321	568.11
25.3466	564.55
25.3610	547.20
25.3754	548.57
25.3899	575.11
25.4043	547.20
25.4188	557.98
25.4332	537.64
25.4476	555.64
25.4621	556.80
25.4765	521.76
25.4910	517.45
25.5054	500.72
25.5198	528.10
25.5343	567.83
25.5487	549.83
25.5632	525.52
25.5776	551.79
25.5920	542.20
25.6065	572.03
25.6209	545.15
25.6354	528.44
25.6498	552.94
25.6642	551.35
25.6787	544.70
25.6931	509.01
25.7076	514.58
25.7220	547.40
25.7364	557.63
25.7509	560.74
25.7653	547.03
25.7798	565.50
25.7942	558.75
25.8086	567.04
25.8231	574.68
25.8375	508.67
25.8520	540.26
25.8664	559.48
25.8808	542.78
25.8953	540.57
25.9097	551.23
25.9242	539.07
25.9386	547.33
25.9530	547.84
25.9675	540.95
25.9819	528.43
25.9964	518.33
26.0108	531.15
26.0252	565.61
26.0397	583.79
26.0541	589.80
26.0686	546.70
26.0830	568.88
26.0974	549.03
26.1119	549.27
26.1263	531.23
26.1408	518.06
26.1552	514.76
26.1696	534.51
26.1841	511.10
26.1985	507.63
26.2130	493.10
26.2274	556.13
26.2418	556.47
26.2563	547.99
26.2707	522.06
26.2852	519.84
26.2996	510.19
26.3140	528.74
26.3285	517.90
26.3429	528.35
26.3574	520.35
26.3718	531.57
26.3862	538.58
26.4007	526.78
26.4151	553.98
26.4296	555.57
