2022.09.19 19:37:16
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	542.09
22.1264	664.21
22.1409	572.51
22.1553	563.41
22.1697	651.88
22.1842	540.22
22.1986	532.53
22.2131	548.64
22.2275	561.69
22.2419	630.26
22.2564	509.12
22.2708	477.37
22.2853	525.22
22.2997	513.83
22.3141	575.03
22.3286	536.44
22.3430	623.84
22.3575	634.02
22.3719	533.35
22.3863	557.00
22.4008	490.80
22.4152	590.45
22.4297	624.93
22.4441	597.71
22.4585	550.19
22.4730	517.89
22.4874	659.83
22.5019	634.21
22.5163	572.04
22.5307	577.32
22.5452	622.97
22.5596	645.63
22.5741	666.56
22.5885	693.40
22.6029	623.21
22.6174	561.19
22.6318	489.48
22.6463	477.48
22.6607	529.98
22.6751	449.09
22.6896	615.29
22.7040	714.61
22.7185	690.53
22.7329	603.65
22.7473	604.41
22.7618	634.88
22.7762	606.11
22.7907	679.66
22.8051	634.07
22.8195	628.10
22.8340	590.79
22.8484	562.06
22.8629	530.42
22.8773	535.07
22.8917	613.82
22.9062	546.34
22.9206	552.13
22.9351	523.30
22.9495	530.62
22.9639	521.60
22.9784	585.18
22.9928	570.99
23.0073	568.63
23.0217	626.28
23.0361	559.87
23.0506	612.04
23.0650	523.57
23.0795	541.78
23.0939	654.24
23.1083	567.38
23.1228	542.89
23.1372	561.09
23.1517	562.64
23.1661	566.85
23.1806	565.28
23.1950	525.88
23.2094	479.47
23.2239	550.36
23.2383	492.34
23.2528	516.71
23.2672	520.84
23.2816	627.42
23.2961	553.29
23.3105	557.74
23.3250	485.67
23.3394	531.18
23.3538	529.05
23.3683	580.02
23.3827	557.42
23.3972	557.64
23.4116	541.37
23.4260	616.91
23.4405	486.90
23.4549	510.73
23.4694	476.39
23.4838	535.97
23.4982	551.22
23.5127	581.03
23.5271	498.09
23.5416	517.17
23.5560	524.63
23.5704	569.01
23.5849	545.62
23.5993	485.15
23.6138	539.47
23.6282	579.56
23.6426	591.17
23.6571	549.13
23.6715	521.26
23.6860	525.32
23.7004	587.65
23.7148	623.95
23.7293	539.50
23.7437	544.00
23.7582	558.58
23.7726	591.39
23.7870	588.85
23.8015	552.54
23.8159	535.31
23.8304	517.09
23.8448	483.92
23.8592	545.75
23.8737	529.81
23.8881	545.41
23.9026	564.71
23.9170	533.41
23.9314	528.74
23.9459	548.99
23.9603	531.32
23.9748	539.10
23.9892	596.98
24.0036	482.14
24.0181	515.53
24.0325	551.98
24.0470	509.02
24.0614	544.31
24.0758	539.21
24.0903	570.57
24.1047	607.72
24.1192	559.94
24.1336	585.05
24.1480	589.10
24.1625	616.13
24.1769	555.57
24.1914	591.33
24.2058	561.66
24.2202	540.94
24.2347	609.08
24.2491	570.30
24.2636	579.37
24.2780	529.55
24.2924	595.54
24.3069	605.02
24.3213	512.71
24.3358	587.18
24.3502	585.84
24.3646	532.76
24.3791	522.85
24.3935	556.81
24.4080	571.02
24.4224	534.65
24.4368	512.61
24.4513	569.23
24.4657	575.08
24.4802	576.62
24.4946	535.75
24.5090	578.77
24.5235	499.16
24.5379	533.42
24.5524	576.86
24.5668	582.89
24.5812	584.75
24.5957	542.85
24.6101	563.59
24.6246	548.89
24.6390	544.86
24.6534	488.94
24.6679	558.56
24.6823	528.83
24.6968	541.59
24.7112	583.74
24.7256	584.27
24.7401	544.63
24.7545	498.50
24.7690	534.22
24.7834	527.51
24.7978	515.02
24.8123	538.47
24.8267	519.99
24.8412	534.17
24.8556	559.67
24.8700	558.39
24.8845	526.08
24.8989	542.03
24.9134	580.58
24.9278	522.20
24.9422	545.10
24.9567	518.65
24.9711	548.20
24.9856	546.01
25.0000	543.35
25.0144	545.17
25.0289	550.36
25.0433	572.03
25.0578	576.98
25.0722	538.13
25.0866	613.30
25.1011	565.39
25.1155	517.86
25.1300	575.78
25.1444	547.18
25.1588	521.19
25.1733	558.45
25.1877	580.04
25.2022	514.98
25.2166	555.50
25.2310	578.90
25.2455	544.72
25.2599	560.70
25.2744	540.43
25.2888	556.05
25.3032	543.43
25.3177	530.50
25.3321	604.73
25.3466	535.52
25.3610	570.40
25.3754	538.21
25.3899	508.14
25.4043	546.04
25.4188	497.71
25.4332	516.12
25.4476	513.17
25.4621	505.92
25.4765	565.94
25.4910	549.32
25.5054	549.57
25.5198	530.62
25.5343	566.47
25.5487	533.34
25.5632	529.33
25.5776	596.30
25.5920	592.05
25.6065	540.43
25.6209	503.88
25.6354	546.10
25.6498	549.24
25.6642	570.39
25.6787	528.38
25.6931	511.83
25.7076	507.33
25.7220	510.08
25.7364	593.20
25.7509	616.09
25.7653	568.44
25.7798	572.40
25.7942	553.60
25.8086	558.81
25.8231	554.79
25.8375	530.83
25.8520	530.39
25.8664	541.30
25.8808	530.82
25.8953	576.80
25.9097	537.52
25.9242	555.88
25.9386	545.45
25.9530	538.89
25.9675	514.40
25.9819	485.42
25.9964	498.78
26.0108	515.37
26.0252	531.36
26.0397	555.81
26.0541	554.98
26.0686	523.30
26.0830	538.45
26.0974	497.02
26.1119	528.54
26.1263	548.60
26.1408	530.62
26.1552	553.77
26.1696	585.63
26.1841	536.82
26.1985	537.95
26.2130	555.32
26.2274	521.48
26.2418	555.48
26.2563	512.33
26.2707	521.62
26.2852	515.10
26.2996	524.32
26.3140	554.52
26.3285	548.86
26.3429	532.59
26.3574	508.31
26.3718	512.57
26.3862	496.36
26.4007	492.00
26.4151	503.24
26.4296	513.11
