2022.09.19 19:37:17
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	628.89
22.1264	571.36
22.1409	519.93
22.1553	511.38
22.1697	563.96
22.1842	583.90
22.1986	561.71
22.2131	507.99
22.2275	586.21
22.2419	572.41
22.2564	570.09
22.2708	574.39
22.2853	624.07
22.2997	524.53
22.3141	570.48
22.3286	560.92
22.3430	569.34
22.3575	563.19
22.3719	544.80
22.3863	548.27
22.4008	547.84
22.4152	514.93
22.4297	600.41
22.4441	635.29
22.4585	608.46
22.4730	550.18
22.4874	522.97
22.5019	559.58
22.5163	661.56
22.5307	550.09
22.5452	564.93
22.5596	507.08
22.5741	569.99
22.5885	619.02
22.6029	626.52
22.6174	541.18
22.6318	560.00
22.6463	537.17
22.6607	605.88
22.6751	617.09
22.6896	561.56
22.7040	597.19
22.7185	552.95
22.7329	591.34
22.7473	514.99
22.7618	516.90
22.7762	484.02
22.7907	582.18
22.8051	562.00
22.8195	558.17
22.8340	608.14
22.8484	579.09
22.8629	514.79
22.8773	531.90
22.8917	532.05
22.9062	598.09
22.9206	556.42
22.9351	560.55
22.9495	602.77
22.9639	504.51
22.9784	560.27
22.9928	617.24
23.0073	563.30
23.0217	599.49
23.0361	581.60
23.0506	521.53
23.0650	574.15
23.0795	631.75
23.0939	573.21
23.1083	586.45
23.1228	583.21
23.1372	613.44
23.1517	544.05
23.1661	533.19
23.1806	541.45
23.1950	490.20
23.2094	488.90
23.2239	558.88
23.2383	541.63
23.2528	556.55
23.2672	565.04
23.2816	570.04
23.2961	535.17
23.3105	530.55
23.3250	537.31
23.3394	593.82
23.3538	604.71
23.3683	566.50
23.3827	517.80
23.3972	494.84
23.4116	481.86
23.4260	556.19
23.4405	490.20
23.4549	541.60
23.4694	576.94
23.4838	673.43
23.4982	562.28
23.5127	541.19
23.5271	590.80
23.5416	480.28
23.5560	611.35
23.5704	622.80
23.5849	562.83
23.5993	622.78
23.6138	600.30
23.6282	562.05
23.6426	520.54
23.6571	542.65
23.6715	531.66
23.6860	543.30
23.7004	550.71
23.7148	564.62
23.7293	566.08
23.7437	590.26
23.7582	490.99
23.7726	529.84
23.7870	579.37
23.8015	566.89
23.8159	549.72
23.8304	575.07
23.8448	540.07
23.8592	565.33
23.8737	573.06
23.8881	524.09
23.9026	604.84
23.9170	532.96
23.9314	463.90
23.9459	503.74
23.9603	643.79
23.9748	603.34
23.9892	563.41
24.0036	545.20
24.0181	582.77
24.0325	511.35
24.0470	543.64
24.0614	503.62
24.0758	527.67
24.0903	624.88
24.1047	472.33
24.1192	577.64
24.1336	534.00
24.1480	544.48
24.1625	531.71
24.1769	560.71
24.1914	586.27
24.2058	563.95
24.2202	607.47
24.2347	636.18
24.2491	567.20
24.2636	613.73
24.2780	606.87
24.2924	589.97
24.3069	587.13
24.3213	591.75
24.3358	579.27
24.3502	536.14
24.3646	569.09
24.3791	556.04
24.3935	536.19
24.4080	554.44
24.4224	562.54
24.4368	556.14
24.4513	509.17
24.4657	557.27
24.4802	550.70
24.4946	562.16
24.5090	551.57
24.5235	527.30
24.5379	526.66
24.5524	541.13
24.5668	534.25
24.5812	538.20
24.5957	533.73
24.6101	531.05
24.6246	553.60
24.6390	523.36
24.6534	566.88
24.6679	532.21
24.6823	570.49
24.6968	540.92
24.7112	581.12
24.7256	545.46
24.7401	543.51
24.7545	525.24
24.7690	523.52
24.7834	561.44
24.7978	532.16
24.8123	553.91
24.8267	543.04
24.8412	527.32
24.8556	508.56
24.8700	591.37
24.8845	633.74
24.8989	523.57
24.9134	553.27
24.9278	474.63
24.9422	545.25
24.9567	452.52
24.9711	529.26
24.9856	541.02
25.0000	509.22
25.0144	505.29
25.0289	585.66
25.0433	555.78
25.0578	553.84
25.0722	535.90
25.0866	581.92
25.1011	532.35
25.1155	537.07
25.1300	583.71
25.1444	556.60
25.1588	540.88
25.1733	598.15
25.1877	596.93
25.2022	535.86
25.2166	515.87
25.2310	542.36
25.2455	551.31
25.2599	551.52
25.2744	501.69
25.2888	538.83
25.3032	536.37
25.3177	530.61
25.3321	525.31
25.3466	517.64
25.3610	528.64
25.3754	509.05
25.3899	505.01
25.4043	535.28
25.4188	511.69
25.4332	541.84
25.4476	539.21
25.4621	511.02
25.4765	571.95
25.4910	550.65
25.5054	558.33
25.5198	542.69
25.5343	536.58
25.5487	524.23
25.5632	510.53
25.5776	509.94
25.5920	533.87
25.6065	539.73
25.6209	521.17
25.6354	540.27
25.6498	512.07
25.6642	554.76
25.6787	535.48
25.6931	521.04
25.7076	528.74
25.7220	574.58
25.7364	585.05
25.7509	538.06
25.7653	542.48
25.7798	534.65
25.7942	587.22
25.8086	540.16
25.8231	517.68
25.8375	557.32
25.8520	553.11
25.8664	577.31
25.8808	544.33
25.8953	566.45
25.9097	546.42
25.9242	500.19
25.9386	498.84
25.9530	518.09
25.9675	521.24
25.9819	557.02
25.9964	557.68
26.0108	565.37
26.0252	536.57
26.0397	529.06
26.0541	507.03
26.0686	503.76
26.0830	527.59
26.0974	538.93
26.1119	516.50
26.1263	526.37
26.1408	514.28
26.1552	548.31
26.1696	543.63
26.1841	531.56
26.1985	540.99
26.2130	572.29
26.2274	544.55
26.2418	561.50
26.2563	534.98
26.2707	553.67
26.2852	556.48
26.2996	531.77
26.3140	477.28
26.3285	515.60
26.3429	534.48
26.3574	524.83
26.3718	533.98
26.3862	503.15
26.4007	514.69
26.4151	535.41
26.4296	519.69
