2022.09.19 19:37:16
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	591.83
22.1264	620.07
22.1409	564.76
22.1553	556.67
22.1697	578.52
22.1842	588.54
22.1986	564.72
22.2131	621.48
22.2275	609.20
22.2419	558.25
22.2564	603.03
22.2708	559.86
22.2853	688.92
22.2997	604.53
22.3141	531.82
22.3286	580.44
22.3430	580.51
22.3575	602.25
22.3719	577.88
22.3863	646.69
22.4008	519.51
22.4152	551.34
22.4297	585.45
22.4441	567.42
22.4585	513.73
22.4730	588.91
22.4874	568.18
22.5019	597.66
22.5163	650.21
22.5307	667.11
22.5452	654.92
22.5596	587.63
22.5741	483.95
22.5885	480.11
22.6029	547.55
22.6174	543.91
22.6318	567.83
22.6463	569.62
22.6607	583.59
22.6751	573.59
22.6896	563.35
22.7040	555.31
22.7185	570.40
22.7329	531.66
22.7473	510.53
22.7618	561.83
22.7762	634.46
22.7907	532.17
22.8051	551.96
22.8195	524.58
22.8340	510.65
22.8484	556.38
22.8629	549.19
22.8773	527.56
22.8917	509.03
22.9062	566.47
22.9206	572.17
22.9351	593.93
22.9495	509.16
22.9639	478.35
22.9784	573.58
22.9928	566.89
23.0073	518.70
23.0217	569.01
23.0361	591.33
23.0506	539.63
23.0650	523.77
23.0795	574.75
23.0939	523.57
23.1083	605.70
23.1228	593.62
23.1372	542.10
23.1517	451.51
23.1661	586.66
23.1806	502.49
23.1950	560.74
23.2094	538.63
23.2239	576.80
23.2383	676.19
23.2528	598.75
23.2672	557.40
23.2816	668.11
23.2961	546.80
23.3105	569.53
23.3250	586.23
23.3394	549.65
23.3538	608.12
23.3683	555.05
23.3827	584.65
23.3972	495.38
23.4116	518.78
23.4260	603.84
23.4405	566.44
23.4549	571.05
23.4694	573.57
23.4838	514.45
23.4982	584.35
23.5127	524.35
23.5271	557.54
23.5416	574.71
23.5560	544.01
23.5704	580.78
23.5849	602.75
23.5993	617.67
23.6138	586.51
23.6282	584.86
23.6426	566.10
23.6571	501.92
23.6715	475.22
23.6860	505.86
23.7004	575.80
23.7148	566.72
23.7293	619.05
23.7437	583.89
23.7582	497.76
23.7726	552.91
23.7870	519.64
23.8015	548.28
23.8159	561.71
23.8304	539.34
23.8448	539.48
23.8592	594.88
23.8737	597.17
23.8881	519.76
23.9026	624.25
23.9170	584.04
23.9314	563.22
23.9459	581.44
23.9603	531.63
23.9748	557.58
23.9892	535.65
24.0036	546.14
24.0181	554.26
24.0325	657.29
24.0470	526.31
24.0614	553.92
24.0758	653.88
24.0903	550.09
24.1047	562.37
24.1192	587.25
24.1336	534.50
24.1480	522.64
24.1625	638.02
24.1769	543.34
24.1914	563.03
24.2058	536.47
24.2202	567.96
24.2347	558.27
24.2491	605.45
24.2636	600.80
24.2780	625.89
24.2924	593.71
24.3069	605.03
24.3213	593.50
24.3358	594.11
24.3502	523.61
24.3646	578.86
24.3791	573.20
24.3935	579.11
24.4080	544.26
24.4224	530.00
24.4368	517.54
24.4513	524.76
24.4657	585.38
24.4802	588.33
24.4946	531.52
24.5090	570.73
24.5235	558.78
24.5379	560.12
24.5524	574.87
24.5668	625.23
24.5812	562.76
24.5957	558.69
24.6101	545.69
24.6246	513.33
24.6390	500.31
24.6534	586.09
24.6679	553.23
24.6823	539.44
24.6968	593.07
24.7112	540.10
24.7256	557.24
24.7401	553.11
24.7545	569.22
24.7690	541.96
24.7834	580.58
24.7978	556.22
24.8123	566.11
24.8267	541.58
24.8412	577.67
24.8556	575.95
24.8700	615.26
24.8845	559.17
24.8989	587.35
24.9134	576.96
24.9278	558.53
24.9422	552.75
24.9567	534.69
24.9711	551.02
24.9856	595.81
25.0000	515.87
25.0144	571.33
25.0289	540.66
25.0433	567.94
25.0578	563.46
25.0722	504.41
25.0866	501.38
25.1011	503.64
25.1155	528.24
25.1300	577.03
25.1444	508.52
25.1588	525.81
25.1733	516.69
25.1877	522.47
25.2022	555.85
25.2166	547.97
25.2310	547.14
25.2455	509.95
25.2599	537.87
25.2744	532.28
25.2888	562.00
25.3032	559.48
25.3177	547.19
25.3321	531.68
25.3466	526.34
25.3610	504.11
25.3754	514.62
25.3899	499.26
25.4043	548.66
25.4188	529.44
25.4332	497.27
25.4476	547.19
25.4621	568.57
25.4765	528.79
25.4910	537.66
25.5054	501.47
25.5198	496.95
25.5343	540.73
25.5487	559.92
25.5632	550.18
25.5776	529.84
25.5920	528.41
25.6065	548.44
25.6209	525.73
25.6354	505.81
25.6498	544.41
25.6642	585.85
25.6787	523.62
25.6931	547.56
25.7076	596.71
25.7220	589.92
25.7364	499.64
25.7509	510.98
25.7653	505.58
25.7798	565.29
25.7942	568.91
25.8086	573.06
25.8231	560.21
25.8375	538.25
25.8520	524.96
25.8664	529.52
25.8808	561.15
25.8953	564.41
25.9097	572.17
25.9242	529.75
25.9386	556.98
25.9530	560.17
25.9675	522.54
25.9819	519.57
25.9964	502.15
26.0108	542.63
26.0252	556.14
26.0397	520.90
26.0541	517.36
26.0686	531.66
26.0830	524.82
26.0974	528.32
26.1119	536.92
26.1263	566.17
26.1408	515.43
26.1552	545.46
26.1696	556.19
26.1841	564.66
26.1985	527.96
26.2130	536.73
26.2274	531.84
26.2418	529.59
26.2563	531.48
26.2707	509.92
26.2852	548.58
26.2996	532.76
26.3140	526.49
26.3285	477.02
26.3429	509.08
26.3574	556.34
26.3718	541.85
26.3862	503.34
26.4007	510.04
26.4151	549.93
26.4296	585.83
