2022.09.19 19:37:17
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	600.98
22.1264	519.94
22.1409	494.58
22.1553	506.80
22.1697	532.94
22.1842	531.73
22.1986	562.08
22.2131	525.24
22.2275	606.53
22.2419	573.53
22.2564	498.40
22.2708	520.35
22.2853	629.13
22.2997	590.01
22.3141	550.55
22.3286	560.18
22.3430	579.64
22.3575	567.52
22.3719	642.12
22.3863	563.99
22.4008	590.06
22.4152	639.92
22.4297	699.69
22.4441	637.20
22.4585	557.05
22.4730	655.98
22.4874	645.32
22.5019	601.44
22.5163	673.32
22.5307	603.98
22.5452	542.11
22.5596	532.65
22.5741	553.82
22.5885	661.23
22.6029	538.19
22.6174	619.91
22.6318	532.47
22.6463	522.53
22.6607	612.26
22.6751	533.10
22.6896	623.08
22.7040	646.41
22.7185	581.48
22.7329	557.76
22.7473	666.92
22.7618	626.16
22.7762	554.89
22.7907	587.58
22.8051	683.86
22.8195	565.54
22.8340	432.96
22.8484	509.44
22.8629	606.58
22.8773	537.54
22.8917	486.05
22.9062	549.21
22.9206	521.85
22.9351	572.20
22.9495	590.81
22.9639	601.25
22.9784	532.11
22.9928	513.12
23.0073	562.87
23.0217	616.34
23.0361	549.38
23.0506	657.41
23.0650	608.92
23.0795	554.84
23.0939	563.59
23.1083	544.93
23.1228	588.85
23.1372	641.79
23.1517	574.45
23.1661	570.83
23.1806	563.19
23.1950	536.54
23.2094	634.06
23.2239	566.42
23.2383	577.33
23.2528	552.96
23.2672	555.42
23.2816	603.66
23.2961	558.18
23.3105	552.96
23.3250	550.56
23.3394	554.20
23.3538	542.03
23.3683	500.74
23.3827	574.81
23.3972	462.26
23.4116	567.38
23.4260	586.98
23.4405	562.70
23.4549	500.73
23.4694	548.68
23.4838	553.98
23.4982	541.44
23.5127	576.94
23.5271	603.26
23.5416	559.05
23.5560	551.81
23.5704	550.50
23.5849	546.05
23.5993	579.16
23.6138	563.00
23.6282	549.74
23.6426	529.32
23.6571	559.37
23.6715	537.74
23.6860	460.62
23.7004	500.47
23.7148	500.14
23.7293	513.09
23.7437	597.36
23.7582	567.15
23.7726	595.85
23.7870	622.75
23.8015	563.58
23.8159	564.89
23.8304	504.08
23.8448	539.28
23.8592	637.51
23.8737	596.83
23.8881	487.05
23.9026	568.57
23.9170	501.10
23.9314	509.96
23.9459	527.80
23.9603	534.34
23.9748	559.62
23.9892	525.87
24.0036	474.87
24.0181	547.25
24.0325	488.80
24.0470	562.57
24.0614	578.14
24.0758	578.58
24.0903	513.19
24.1047	561.45
24.1192	562.36
24.1336	566.60
24.1480	547.30
24.1625	589.12
24.1769	580.27
24.1914	552.88
24.2058	534.45
24.2202	557.70
24.2347	619.81
24.2491	616.30
24.2636	567.72
24.2780	592.21
24.2924	573.84
24.3069	554.87
24.3213	570.54
24.3358	556.08
24.3502	535.93
24.3646	556.01
24.3791	563.21
24.3935	510.21
24.4080	565.49
24.4224	596.56
24.4368	560.77
24.4513	543.12
24.4657	574.17
24.4802	612.29
24.4946	562.13
24.5090	539.65
24.5235	570.28
24.5379	517.69
24.5524	562.79
24.5668	555.42
24.5812	519.55
24.5957	571.67
24.6101	555.18
24.6246	542.81
24.6390	549.60
24.6534	615.56
24.6679	545.76
24.6823	524.90
24.6968	528.62
24.7112	524.73
24.7256	507.42
24.7401	517.03
24.7545	545.37
24.7690	515.96
24.7834	495.53
24.7978	560.33
24.8123	503.52
24.8267	547.10
24.8412	546.69
24.8556	552.25
24.8700	535.56
24.8845	552.70
24.8989	558.97
24.9134	560.91
24.9278	579.72
24.9422	598.80
24.9567	555.26
24.9711	567.19
24.9856	556.88
25.0000	557.96
25.0144	558.67
25.0289	547.12
25.0433	574.67
25.0578	533.33
25.0722	523.20
25.0866	571.78
25.1011	565.86
25.1155	548.83
25.1300	545.72
25.1444	498.70
25.1588	549.84
25.1733	586.53
25.1877	533.42
25.2022	522.10
25.2166	505.94
25.2310	539.09
25.2455	517.68
25.2599	519.03
25.2744	525.65
25.2888	590.72
25.3032	552.37
25.3177	538.55
25.3321	494.67
25.3466	524.78
25.3610	524.92
25.3754	516.49
25.3899	543.03
25.4043	563.51
25.4188	550.83
25.4332	532.64
25.4476	576.38
25.4621	533.60
25.4765	549.57
25.4910	501.20
25.5054	529.97
25.5198	535.17
25.5343	547.44
25.5487	536.68
25.5632	537.51
25.5776	530.79
25.5920	558.97
25.6065	533.59
25.6209	578.56
25.6354	532.54
25.6498	536.26
25.6642	527.95
25.6787	525.64
25.6931	536.71
25.7076	520.44
25.7220	490.88
25.7364	550.25
25.7509	573.72
25.7653	579.16
25.7798	581.42
25.7942	585.01
25.8086	557.55
25.8231	559.30
25.8375	545.48
25.8520	529.55
25.8664	549.06
25.8808	552.90
25.8953	563.65
25.9097	562.18
25.9242	550.01
25.9386	542.11
25.9530	527.18
25.9675	502.86
25.9819	513.50
25.9964	502.73
26.0108	492.66
26.0252	541.49
26.0397	549.95
26.0541	512.14
26.0686	540.16
26.0830	542.52
26.0974	551.02
26.1119	539.11
26.1263	564.28
26.1408	546.60
26.1552	546.06
26.1696	544.18
26.1841	554.06
26.1985	522.46
26.2130	545.98
26.2274	529.88
26.2418	524.94
26.2563	513.50
26.2707	509.47
26.2852	530.75
26.2996	496.80
26.3140	513.41
26.3285	516.49
26.3429	513.93
26.3574	516.23
26.3718	497.56
26.3862	508.99
26.4007	525.78
26.4151	558.63
26.4296	579.14
