2022.09.19 19:37:17
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	509.28
22.1264	585.91
22.1409	558.19
22.1553	564.40
22.1697	544.01
22.1842	543.32
22.1986	512.94
22.2131	603.85
22.2275	534.45
22.2419	560.57
22.2564	666.32
22.2708	637.21
22.2853	634.48
22.2997	607.72
22.3141	612.95
22.3286	514.91
22.3430	524.87
22.3575	561.37
22.3719	640.63
22.3863	592.30
22.4008	553.66
22.4152	624.17
22.4297	614.19
22.4441	586.59
22.4585	666.71
22.4730	685.55
22.4874	598.89
22.5019	552.53
22.5163	528.98
22.5307	584.72
22.5452	583.39
22.5596	594.24
22.5741	521.71
22.5885	661.36
22.6029	629.55
22.6174	537.56
22.6318	517.01
22.6463	519.24
22.6607	628.62
22.6751	595.82
22.6896	481.76
22.7040	590.85
22.7185	589.58
22.7329	575.78
22.7473	511.83
22.7618	501.47
22.7762	476.01
22.7907	487.36
22.8051	518.34
22.8195	602.06
22.8340	544.88
22.8484	539.13
22.8629	546.45
22.8773	588.08
22.8917	603.83
22.9062	569.34
22.9206	498.95
22.9351	474.24
22.9495	573.61
22.9639	568.16
22.9784	535.85
22.9928	618.04
23.0073	620.27
23.0217	565.89
23.0361	607.38
23.0506	561.57
23.0650	564.09
23.0795	448.65
23.0939	507.78
23.1083	471.75
23.1228	541.32
23.1372	619.20
23.1517	583.21
23.1661	562.58
23.1806	535.17
23.1950	553.87
23.2094	545.63
23.2239	551.27
23.2383	525.64
23.2528	540.69
23.2672	496.99
23.2816	546.15
23.2961	519.70
23.3105	568.85
23.3250	503.48
23.3394	565.71
23.3538	637.97
23.3683	543.61
23.3827	547.48
23.3972	549.63
23.4116	519.45
23.4260	670.00
23.4405	533.58
23.4549	445.17
23.4694	511.34
23.4838	557.91
23.4982	547.90
23.5127	606.62
23.5271	551.54
23.5416	564.88
23.5560	613.63
23.5704	580.50
23.5849	652.31
23.5993	588.02
23.6138	505.82
23.6282	494.43
23.6426	504.44
23.6571	548.40
23.6715	518.14
23.6860	520.64
23.7004	563.68
23.7148	580.50
23.7293	538.95
23.7437	553.41
23.7582	591.81
23.7726	583.02
23.7870	622.25
23.8015	554.18
23.8159	609.44
23.8304	542.46
23.8448	525.09
23.8592	620.42
23.8737	512.09
23.8881	472.31
23.9026	574.71
23.9170	480.53
23.9314	594.48
23.9459	465.00
23.9603	465.24
23.9748	528.23
23.9892	569.07
24.0036	576.46
24.0181	594.64
24.0325	600.80
24.0470	544.79
24.0614	520.09
24.0758	502.09
24.0903	563.16
24.1047	467.61
24.1192	575.50
24.1336	567.26
24.1480	513.67
24.1625	531.93
24.1769	600.13
24.1914	594.98
24.2058	585.13
24.2202	578.76
24.2347	656.02
24.2491	626.26
24.2636	649.64
24.2780	592.94
24.2924	584.45
24.3069	546.40
24.3213	580.27
24.3358	587.07
24.3502	581.67
24.3646	551.89
24.3791	577.05
24.3935	522.60
24.4080	498.60
24.4224	508.91
24.4368	523.80
24.4513	553.92
24.4657	539.35
24.4802	508.74
24.4946	555.71
24.5090	539.35
24.5235	552.45
24.5379	536.58
24.5524	516.64
24.5668	586.62
24.5812	574.06
24.5957	533.03
24.6101	555.67
24.6246	552.79
24.6390	539.30
24.6534	565.35
24.6679	550.98
24.6823	550.24
24.6968	554.49
24.7112	593.16
24.7256	534.91
24.7401	552.21
24.7545	560.22
24.7690	501.37
24.7834	534.87
24.7978	496.40
24.8123	575.84
24.8267	575.85
24.8412	595.95
24.8556	566.54
24.8700	486.74
24.8845	516.85
24.8989	587.41
24.9134	514.39
24.9278	501.10
24.9422	529.85
24.9567	499.84
24.9711	567.71
24.9856	528.40
25.0000	514.39
25.0144	498.09
25.0289	524.06
25.0433	557.87
25.0578	549.90
25.0722	586.30
25.0866	639.92
25.1011	615.60
25.1155	606.90
25.1300	551.38
25.1444	518.75
25.1588	521.23
25.1733	537.95
25.1877	555.33
25.2022	529.17
25.2166	533.19
25.2310	569.98
25.2455	523.98
25.2599	550.05
25.2744	563.62
25.2888	555.62
25.3032	542.92
25.3177	484.19
25.3321	536.32
25.3466	565.26
25.3610	563.94
25.3754	547.82
25.3899	562.65
25.4043	512.71
25.4188	562.01
25.4332	549.47
25.4476	502.85
25.4621	525.33
25.4765	582.24
25.4910	527.20
25.5054	559.79
25.5198	502.01
25.5343	525.70
25.5487	516.38
25.5632	505.59
25.5776	515.64
25.5920	515.03
25.6065	530.88
25.6209	542.00
25.6354	539.03
25.6498	528.88
25.6642	490.82
25.6787	553.86
25.6931	521.27
25.7076	558.87
25.7220	551.06
25.7364	516.22
25.7509	547.34
25.7653	520.04
25.7798	544.77
25.7942	524.34
25.8086	550.66
25.8231	512.00
25.8375	479.22
25.8520	545.91
25.8664	572.39
25.8808	527.86
25.8953	531.22
25.9097	527.72
25.9242	547.53
25.9386	561.93
25.9530	523.67
25.9675	522.45
25.9819	536.72
25.9964	511.29
26.0108	537.35
26.0252	548.97
26.0397	510.81
26.0541	518.13
26.0686	516.86
26.0830	552.45
26.0974	551.31
26.1119	527.83
26.1263	537.61
26.1408	548.69
26.1552	557.32
26.1696	562.88
26.1841	529.63
26.1985	502.65
26.2130	531.95
26.2274	530.69
26.2418	566.17
26.2563	573.71
26.2707	520.88
26.2852	528.08
26.2996	535.43
26.3140	530.65
26.3285	519.83
26.3429	547.68
26.3574	525.06
26.3718	539.96
26.3862	505.94
26.4007	502.71
26.4151	526.72
26.4296	539.26
