2022.09.19 19:37:16
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	557.84
22.1264	565.46
22.1409	591.17
22.1553	587.04
22.1697	537.53
22.1842	542.86
22.1986	574.72
22.2131	608.43
22.2275	720.00
22.2419	679.41
22.2564	710.33
22.2708	544.45
22.2853	585.06
22.2997	605.44
22.3141	655.94
22.3286	611.14
22.3430	607.66
22.3575	605.04
22.3719	627.94
22.3863	547.48
22.4008	577.85
22.4152	639.05
22.4297	530.65
22.4441	626.08
22.4585	556.67
22.4730	629.54
22.4874	624.16
22.5019	598.98
22.5163	528.98
22.5307	580.15
22.5452	535.68
22.5596	539.55
22.5741	625.01
22.5885	612.95
22.6029	638.35
22.6174	626.26
22.6318	571.21
22.6463	498.27
22.6607	478.12
22.6751	536.59
22.6896	545.86
22.7040	520.80
22.7185	567.22
22.7329	611.97
22.7473	561.92
22.7618	558.36
22.7762	596.31
22.7907	554.89
22.8051	533.12
22.8195	518.02
22.8340	582.21
22.8484	592.65
22.8629	643.93
22.8773	559.05
22.8917	499.03
22.9062	605.28
22.9206	557.89
22.9351	510.37
22.9495	509.10
22.9639	497.02
22.9784	581.04
22.9928	546.34
23.0073	547.74
23.0217	577.22
23.0361	662.56
23.0506	649.74
23.0650	517.14
23.0795	477.15
23.0939	581.13
23.1083	616.01
23.1228	564.43
23.1372	570.70
23.1517	539.86
23.1661	617.85
23.1806	573.49
23.1950	515.67
23.2094	482.78
23.2239	570.32
23.2383	525.03
23.2528	591.16
23.2672	562.83
23.2816	569.24
23.2961	497.12
23.3105	498.52
23.3250	517.48
23.3394	572.52
23.3538	533.83
23.3683	584.46
23.3827	590.45
23.3972	538.29
23.4116	543.29
23.4260	567.08
23.4405	446.91
23.4549	489.48
23.4694	570.78
23.4838	644.91
23.4982	493.85
23.5127	525.04
23.5271	554.25
23.5416	536.92
23.5560	587.59
23.5704	595.74
23.5849	622.34
23.5993	570.29
23.6138	580.23
23.6282	592.00
23.6426	560.60
23.6571	556.74
23.6715	584.15
23.6860	553.23
23.7004	558.86
23.7148	548.26
23.7293	547.89
23.7437	578.84
23.7582	575.52
23.7726	616.85
23.7870	545.37
23.8015	542.15
23.8159	564.38
23.8304	534.94
23.8448	577.88
23.8592	533.70
23.8737	540.72
23.8881	535.58
23.9026	567.27
23.9170	539.26
23.9314	534.09
23.9459	554.19
23.9603	568.82
23.9748	608.75
23.9892	536.28
24.0036	516.44
24.0181	568.98
24.0325	566.18
24.0470	559.84
24.0614	587.12
24.0758	542.12
24.0903	605.47
24.1047	564.82
24.1192	542.41
24.1336	589.87
24.1480	504.33
24.1625	533.13
24.1769	545.15
24.1914	616.36
24.2058	586.48
24.2202	624.02
24.2347	533.28
24.2491	623.51
24.2636	586.91
24.2780	619.10
24.2924	511.30
24.3069	578.97
24.3213	590.60
24.3358	603.78
24.3502	536.30
24.3646	560.65
24.3791	574.04
24.3935	529.44
24.4080	544.52
24.4224	541.79
24.4368	506.64
24.4513	550.76
24.4657	594.22
24.4802	574.66
24.4946	507.93
24.5090	548.70
24.5235	541.68
24.5379	567.60
24.5524	531.97
24.5668	557.98
24.5812	542.52
24.5957	590.31
24.6101	549.21
24.6246	562.79
24.6390	551.59
24.6534	567.99
24.6679	518.41
24.6823	567.07
24.6968	498.56
24.7112	576.31
24.7256	576.22
24.7401	584.88
24.7545	570.60
24.7690	554.27
24.7834	549.00
24.7978	600.28
24.8123	591.85
24.8267	514.08
24.8412	563.92
24.8556	643.79
24.8700	591.03
24.8845	537.56
24.8989	534.75
24.9134	510.23
24.9278	545.84
24.9422	529.96
24.9567	573.15
24.9711	552.13
24.9856	539.62
25.0000	546.25
25.0144	524.45
25.0289	581.21
25.0433	563.13
25.0578	532.96
25.0722	510.87
25.0866	549.56
25.1011	560.99
25.1155	570.19
25.1300	577.80
25.1444	549.47
25.1588	524.44
25.1733	560.59
25.1877	548.07
25.2022	516.04
25.2166	506.86
25.2310	538.15
25.2455	536.23
25.2599	534.93
25.2744	545.79
25.2888	561.13
25.3032	538.79
25.3177	537.38
25.3321	568.79
25.3466	502.34
25.3610	500.07
25.3754	546.15
25.3899	518.55
25.4043	491.07
25.4188	531.26
25.4332	512.82
25.4476	524.72
25.4621	536.79
25.4765	542.47
25.4910	563.86
25.5054	554.22
25.5198	537.29
25.5343	557.58
25.5487	552.10
25.5632	586.33
25.5776	551.02
25.5920	526.04
25.6065	541.68
25.6209	529.23
25.6354	521.06
25.6498	529.27
25.6642	522.60
25.6787	504.54
25.6931	543.27
25.7076	547.95
25.7220	531.96
25.7364	532.38
25.7509	515.58
25.7653	545.82
25.7798	572.58
25.7942	558.07
25.8086	540.44
25.8231	542.22
25.8375	518.60
25.8520	560.42
25.8664	583.13
25.8808	547.09
25.8953	557.07
25.9097	507.56
25.9242	520.02
25.9386	513.71
25.9530	543.40
25.9675	542.77
25.9819	513.39
25.9964	539.23
26.0108	552.83
26.0252	533.29
26.0397	541.06
26.0541	530.41
26.0686	497.38
26.0830	575.63
26.0974	549.08
26.1119	564.15
26.1263	549.17
26.1408	491.25
26.1552	486.95
26.1696	533.17
26.1841	531.02
26.1985	541.97
26.2130	534.33
26.2274	557.11
26.2418	537.07
26.2563	533.28
26.2707	551.65
26.2852	553.56
26.2996	538.64
26.3140	534.50
26.3285	539.19
26.3429	509.46
26.3574	536.53
26.3718	557.76
26.3862	546.69
26.4007	548.53
26.4151	516.17
26.4296	517.31
