2022.09.19 19:37:16
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	605.86
22.1264	679.94
22.1409	573.33
22.1553	504.10
22.1697	546.34
22.1842	572.36
22.1986	639.51
22.2131	611.52
22.2275	567.81
22.2419	568.20
22.2564	563.95
22.2708	548.31
22.2853	654.12
22.2997	691.59
22.3141	629.53
22.3286	625.71
22.3430	632.20
22.3575	623.04
22.3719	631.81
22.3863	575.05
22.4008	524.12
22.4152	591.62
22.4297	685.90
22.4441	671.71
22.4585	625.70
22.4730	638.35
22.4874	618.46
22.5019	571.23
22.5163	592.35
22.5307	554.22
22.5452	466.85
22.5596	544.96
22.5741	598.31
22.5885	530.29
22.6029	513.04
22.6174	538.13
22.6318	609.39
22.6463	537.45
22.6607	611.10
22.6751	609.35
22.6896	595.34
22.7040	605.34
22.7185	611.09
22.7329	585.59
22.7473	503.30
22.7618	517.76
22.7762	524.50
22.7907	515.20
22.8051	573.62
22.8195	594.25
22.8340	648.12
22.8484	595.26
22.8629	606.75
22.8773	600.87
22.8917	567.94
22.9062	603.85
22.9206	602.47
22.9351	570.62
22.9495	611.37
22.9639	527.43
22.9784	563.79
22.9928	533.31
23.0073	567.37
23.0217	621.43
23.0361	585.20
23.0506	558.69
23.0650	519.17
23.0795	623.59
23.0939	606.11
23.1083	497.01
23.1228	594.13
23.1372	564.89
23.1517	543.95
23.1661	611.91
23.1806	601.63
23.1950	535.12
23.2094	608.41
23.2239	615.70
23.2383	619.42
23.2528	604.70
23.2672	571.61
23.2816	532.61
23.2961	547.41
23.3105	565.40
23.3250	602.59
23.3394	550.49
23.3538	508.57
23.3683	487.56
23.3827	564.72
23.3972	505.29
23.4116	560.86
23.4260	558.77
23.4405	506.39
23.4549	583.44
23.4694	578.77
23.4838	574.51
23.4982	540.34
23.5127	571.87
23.5271	564.99
23.5416	560.46
23.5560	609.85
23.5704	517.98
23.5849	565.49
23.5993	563.51
23.6138	575.59
23.6282	555.61
23.6426	527.75
23.6571	586.91
23.6715	526.95
23.6860	551.47
23.7004	567.61
23.7148	525.54
23.7293	565.22
23.7437	531.50
23.7582	525.81
23.7726	545.60
23.7870	590.15
23.8015	536.32
23.8159	543.05
23.8304	521.74
23.8448	555.66
23.8592	535.93
23.8737	593.13
23.8881	618.09
23.9026	573.13
23.9170	633.15
23.9314	594.58
23.9459	550.39
23.9603	522.26
23.9748	567.68
23.9892	517.03
24.0036	591.46
24.0181	631.57
24.0325	536.24
24.0470	538.57
24.0614	585.48
24.0758	574.68
24.0903	546.26
24.1047	610.49
24.1192	561.66
24.1336	577.84
24.1480	535.67
24.1625	596.98
24.1769	629.93
24.1914	540.44
24.2058	569.72
24.2202	622.98
24.2347	565.55
24.2491	621.39
24.2636	594.92
24.2780	601.27
24.2924	627.51
24.3069	588.14
24.3213	592.54
24.3358	584.68
24.3502	602.88
24.3646	594.10
24.3791	553.49
24.3935	513.54
24.4080	565.36
24.4224	546.18
24.4368	618.30
24.4513	582.48
24.4657	632.88
24.4802	543.19
24.4946	551.21
24.5090	555.20
24.5235	546.63
24.5379	526.41
24.5524	601.67
24.5668	581.62
24.5812	557.51
24.5957	566.16
24.6101	568.34
24.6246	516.84
24.6390	541.19
24.6534	562.19
24.6679	568.25
24.6823	497.43
24.6968	529.17
24.7112	538.81
24.7256	581.73
24.7401	591.48
24.7545	545.74
24.7690	575.10
24.7834	608.95
24.7978	498.60
24.8123	542.69
24.8267	549.30
24.8412	521.44
24.8556	580.77
24.8700	547.63
24.8845	538.21
24.8989	569.16
24.9134	543.96
24.9278	500.14
24.9422	550.76
24.9567	528.17
24.9711	567.35
24.9856	535.41
25.0000	504.84
25.0144	522.92
25.0289	506.92
25.0433	558.18
25.0578	549.15
25.0722	538.71
25.0866	526.07
25.1011	515.23
25.1155	509.54
25.1300	512.30
25.1444	506.25
25.1588	566.60
25.1733	535.35
25.1877	496.72
25.2022	522.08
25.2166	522.63
25.2310	565.94
25.2455	553.76
25.2599	543.50
25.2744	592.80
25.2888	558.84
25.3032	543.11
25.3177	565.44
25.3321	535.99
25.3466	538.41
25.3610	515.62
25.3754	579.50
25.3899	548.21
25.4043	502.85
25.4188	568.21
25.4332	576.47
25.4476	560.91
25.4621	531.28
25.4765	536.60
25.4910	536.58
25.5054	570.74
25.5198	554.34
25.5343	566.00
25.5487	578.13
25.5632	578.36
25.5776	516.81
25.5920	523.95
25.6065	545.14
25.6209	551.59
25.6354	553.02
25.6498	513.99
25.6642	563.45
25.6787	526.95
25.6931	536.45
25.7076	569.08
25.7220	570.35
25.7364	556.51
25.7509	539.43
25.7653	535.95
25.7798	570.44
25.7942	526.00
25.8086	541.50
25.8231	569.07
25.8375	568.37
25.8520	554.36
25.8664	554.38
25.8808	552.21
25.8953	585.96
25.9097	546.09
25.9242	528.58
25.9386	525.57
25.9530	548.85
25.9675	532.47
25.9819	546.72
25.9964	540.26
26.0108	538.11
26.0252	529.28
26.0397	522.99
26.0541	547.76
26.0686	557.87
26.0830	555.92
26.0974	542.69
26.1119	532.09
26.1263	519.53
26.1408	514.59
26.1552	541.41
26.1696	552.00
26.1841	537.82
26.1985	520.72
26.2130	538.08
26.2274	522.65
26.2418	518.46
26.2563	497.34
26.2707	532.70
26.2852	551.63
26.2996	553.81
26.3140	519.07
26.3285	543.58
26.3429	557.72
26.3574	533.87
26.3718	528.25
26.3862	531.41
26.4007	522.51
26.4151	550.20
26.4296	566.31
