2022.09.19 19:37:16
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	555.13
22.1264	594.07
22.1409	600.80
22.1553	431.14
22.1697	553.25
22.1842	572.73
22.1986	639.91
22.2131	577.78
22.2275	572.41
22.2419	588.52
22.2564	601.92
22.2708	565.48
22.2853	524.87
22.2997	547.53
22.3141	593.48
22.3286	570.08
22.3430	563.65
22.3575	620.70
22.3719	603.85
22.3863	580.80
22.4008	508.37
22.4152	544.49
22.4297	711.58
22.4441	693.56
22.4585	663.27
22.4730	664.45
22.4874	624.90
22.5019	654.88
22.5163	596.67
22.5307	530.61
22.5452	553.11
22.5596	609.93
22.5741	642.04
22.5885	655.54
22.6029	579.64
22.6174	602.93
22.6318	655.24
22.6463	687.23
22.6607	586.07
22.6751	558.09
22.6896	567.60
22.7040	555.31
22.7185	564.44
22.7329	505.68
22.7473	499.78
22.7618	574.92
22.7762	581.47
22.7907	639.54
22.8051	599.31
22.8195	557.62
22.8340	505.81
22.8484	482.00
22.8629	543.26
22.8773	506.24
22.8917	569.32
22.9062	570.78
22.9206	589.59
22.9351	504.46
22.9495	566.67
22.9639	517.43
22.9784	560.57
22.9928	572.52
23.0073	534.69
23.0217	556.28
23.0361	551.26
23.0506	518.12
23.0650	595.10
23.0795	587.37
23.0939	544.41
23.1083	592.71
23.1228	617.02
23.1372	580.67
23.1517	582.54
23.1661	579.78
23.1806	586.57
23.1950	626.39
23.2094	559.86
23.2239	564.94
23.2383	523.33
23.2528	584.46
23.2672	546.19
23.2816	602.65
23.2961	512.67
23.3105	554.14
23.3250	568.76
23.3394	586.02
23.3538	525.98
23.3683	515.94
23.3827	550.81
23.3972	541.72
23.4116	554.46
23.4260	596.76
23.4405	543.96
23.4549	579.79
23.4694	579.89
23.4838	545.08
23.4982	580.52
23.5127	583.30
23.5271	574.58
23.5416	514.48
23.5560	551.78
23.5704	612.89
23.5849	579.98
23.5993	546.70
23.6138	533.40
23.6282	521.49
23.6426	501.55
23.6571	580.82
23.6715	577.78
23.6860	560.23
23.7004	600.24
23.7148	522.98
23.7293	556.96
23.7437	557.60
23.7582	573.93
23.7726	550.62
23.7870	535.33
23.8015	537.63
23.8159	670.50
23.8304	566.08
23.8448	536.84
23.8592	571.56
23.8737	603.85
23.8881	612.04
23.9026	550.13
23.9170	508.62
23.9314	516.04
23.9459	479.86
23.9603	557.44
23.9748	566.39
23.9892	569.19
24.0036	604.90
24.0181	576.11
24.0325	521.81
24.0470	588.97
24.0614	560.23
24.0758	553.69
24.0903	573.80
24.1047	608.54
24.1192	632.02
24.1336	567.93
24.1480	584.69
24.1625	592.84
24.1769	629.13
24.1914	599.00
24.2058	603.27
24.2202	607.82
24.2347	601.86
24.2491	582.89
24.2636	613.13
24.2780	619.29
24.2924	571.58
24.3069	528.78
24.3213	549.49
24.3358	605.64
24.3502	582.63
24.3646	520.57
24.3791	585.25
24.3935	563.51
24.4080	581.41
24.4224	537.73
24.4368	514.72
24.4513	577.85
24.4657	531.08
24.4802	564.60
24.4946	553.17
24.5090	545.81
24.5235	550.29
24.5379	608.36
24.5524	573.83
24.5668	587.56
24.5812	541.59
24.5957	564.21
24.6101	582.08
24.6246	541.38
24.6390	545.40
24.6534	527.30
24.6679	551.58
24.6823	521.06
24.6968	544.52
24.7112	533.74
24.7256	557.56
24.7401	538.19
24.7545	518.05
24.7690	578.11
24.7834	532.72
24.7978	516.80
24.8123	582.37
24.8267	583.15
24.8412	509.07
24.8556	624.59
24.8700	586.36
24.8845	521.07
24.8989	541.18
24.9134	573.24
24.9278	589.09
24.9422	514.08
24.9567	531.92
24.9711	540.05
24.9856	549.00
25.0000	571.52
25.0144	572.74
25.0289	514.87
25.0433	564.80
25.0578	555.53
25.0722	583.76
25.0866	570.31
25.1011	523.50
25.1155	526.11
25.1300	597.10
25.1444	526.51
25.1588	530.55
25.1733	561.20
25.1877	491.23
25.2022	480.42
25.2166	494.42
25.2310	551.49
25.2455	481.69
25.2599	548.25
25.2744	587.77
25.2888	550.57
25.3032	536.86
25.3177	551.58
25.3321	513.38
25.3466	507.86
25.3610	567.37
25.3754	556.95
25.3899	550.61
25.4043	526.44
25.4188	548.09
25.4332	538.25
25.4476	512.76
25.4621	556.90
25.4765	563.72
25.4910	563.19
25.5054	533.75
25.5198	534.17
25.5343	601.37
25.5487	520.49
25.5632	515.04
25.5776	594.47
25.5920	567.20
25.6065	558.40
25.6209	561.49
25.6354	539.44
25.6498	571.45
25.6642	543.13
25.6787	502.82
25.6931	508.32
25.7076	542.25
25.7220	554.07
25.7364	533.85
25.7509	565.29
25.7653	551.78
25.7798	598.05
25.7942	558.49
25.8086	573.40
25.8231	550.97
25.8375	517.05
25.8520	541.35
25.8664	532.10
25.8808	529.03
25.8953	561.42
25.9097	494.25
25.9242	511.69
25.9386	552.83
25.9530	569.17
25.9675	563.66
25.9819	508.01
25.9964	512.05
26.0108	504.28
26.0252	523.56
26.0397	559.40
26.0541	539.44
26.0686	546.91
26.0830	533.16
26.0974	543.30
26.1119	524.53
26.1263	537.96
26.1408	530.44
26.1552	519.14
26.1696	503.65
26.1841	500.16
26.1985	466.98
26.2130	544.06
26.2274	529.88
26.2418	521.37
26.2563	542.63
26.2707	537.52
26.2852	524.25
26.2996	506.64
26.3140	486.60
26.3285	518.84
26.3429	539.58
26.3574	520.26
26.3718	511.76
26.3862	524.57
26.4007	505.90
26.4151	509.89
26.4296	525.01
