2022.09.19 19:37:16
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	658.83
22.1264	585.56
22.1409	547.04
22.1553	597.65
22.1697	619.64
22.1842	562.80
22.1986	581.62
22.2131	550.56
22.2275	563.21
22.2419	612.67
22.2564	616.49
22.2708	570.04
22.2853	486.55
22.2997	545.66
22.3141	618.36
22.3286	574.35
22.3430	593.08
22.3575	543.60
22.3719	498.05
22.3863	537.16
22.4008	581.24
22.4152	639.55
22.4297	707.33
22.4441	609.98
22.4585	680.92
22.4730	664.79
22.4874	683.99
22.5019	694.62
22.5163	697.34
22.5307	514.41
22.5452	572.39
22.5596	597.58
22.5741	639.55
22.5885	620.78
22.6029	637.17
22.6174	700.13
22.6318	610.82
22.6463	616.18
22.6607	650.57
22.6751	582.83
22.6896	541.31
22.7040	590.85
22.7185	565.72
22.7329	517.98
22.7473	555.06
22.7618	544.34
22.7762	503.60
22.7907	544.87
22.8051	533.24
22.8195	529.41
22.8340	561.85
22.8484	522.10
22.8629	573.70
22.8773	595.28
22.8917	590.80
22.9062	506.08
22.9206	529.07
22.9351	552.05
22.9495	560.80
22.9639	551.85
22.9784	591.13
22.9928	549.27
23.0073	582.64
23.0217	676.81
23.0361	560.81
23.0506	565.94
23.0650	591.67
23.0795	532.09
23.0939	546.57
23.1083	533.77
23.1228	572.54
23.1372	610.68
23.1517	563.29
23.1661	597.20
23.1806	580.28
23.1950	579.42
23.2094	489.05
23.2239	514.20
23.2383	610.91
23.2528	585.15
23.2672	553.47
23.2816	599.96
23.2961	569.59
23.3105	555.11
23.3250	537.43
23.3394	532.98
23.3538	581.87
23.3683	518.80
23.3827	559.09
23.3972	594.21
23.4116	522.40
23.4260	541.02
23.4405	570.97
23.4549	526.60
23.4694	552.77
23.4838	491.63
23.4982	560.33
23.5127	566.68
23.5271	589.31
23.5416	505.28
23.5560	520.75
23.5704	570.91
23.5849	574.12
23.5993	582.09
23.6138	541.60
23.6282	514.06
23.6426	540.81
23.6571	600.19
23.6715	565.63
23.6860	506.44
23.7004	555.93
23.7148	460.12
23.7293	531.19
23.7437	491.70
23.7582	607.48
23.7726	518.46
23.7870	598.57
23.8015	589.38
23.8159	523.36
23.8304	572.23
23.8448	493.51
23.8592	516.78
23.8737	527.91
23.8881	554.35
23.9026	573.93
23.9170	504.20
23.9314	581.39
23.9459	604.42
23.9603	559.24
23.9748	571.51
23.9892	602.12
24.0036	572.87
24.0181	502.51
24.0325	573.93
24.0470	475.19
24.0614	601.13
24.0758	629.88
24.0903	589.59
24.1047	618.43
24.1192	588.67
24.1336	590.22
24.1480	598.61
24.1625	570.34
24.1769	549.17
24.1914	573.26
24.2058	599.99
24.2202	595.59
24.2347	577.98
24.2491	596.55
24.2636	545.21
24.2780	597.49
24.2924	563.72
24.3069	562.59
24.3213	553.87
24.3358	553.35
24.3502	577.06
24.3646	568.41
24.3791	580.32
24.3935	546.10
24.4080	558.57
24.4224	488.04
24.4368	533.87
24.4513	596.32
24.4657	524.19
24.4802	533.43
24.4946	499.78
24.5090	516.89
24.5235	525.03
24.5379	570.42
24.5524	530.99
24.5668	566.29
24.5812	499.43
24.5957	569.95
24.6101	544.57
24.6246	552.37
24.6390	545.42
24.6534	520.88
24.6679	523.97
24.6823	526.31
24.6968	494.35
24.7112	536.69
24.7256	528.98
24.7401	582.13
24.7545	524.60
24.7690	498.43
24.7834	567.56
24.7978	540.25
24.8123	557.31
24.8267	543.35
24.8412	509.19
24.8556	507.67
24.8700	572.36
24.8845	541.89
24.8989	569.45
24.9134	494.95
24.9278	535.38
24.9422	536.51
24.9567	536.89
24.9711	521.03
24.9856	547.59
25.0000	527.97
25.0144	525.09
25.0289	602.98
25.0433	562.45
25.0578	548.28
25.0722	547.22
25.0866	560.94
25.1011	555.73
25.1155	572.34
25.1300	560.07
25.1444	518.46
25.1588	567.36
25.1733	583.67
25.1877	546.68
25.2022	526.92
25.2166	538.80
25.2310	553.20
25.2455	543.58
25.2599	510.08
25.2744	528.13
25.2888	526.77
25.3032	529.28
25.3177	503.50
25.3321	561.10
25.3466	551.07
25.3610	557.93
25.3754	590.20
25.3899	542.70
25.4043	508.04
25.4188	520.89
25.4332	554.32
25.4476	568.20
25.4621	581.22
25.4765	573.22
25.4910	581.74
25.5054	579.58
25.5198	534.62
25.5343	550.77
25.5487	543.30
25.5632	572.52
25.5776	557.70
25.5920	547.07
25.6065	539.24
25.6209	531.52
25.6354	533.20
25.6498	536.09
25.6642	553.95
25.6787	543.54
25.6931	541.77
25.7076	583.11
25.7220	544.16
25.7364	519.01
25.7509	507.70
25.7653	516.20
25.7798	550.13
25.7942	586.80
25.8086	521.42
25.8231	534.84
25.8375	556.37
25.8520	524.68
25.8664	574.37
25.8808	540.93
25.8953	590.12
25.9097	533.08
25.9242	507.88
25.9386	533.32
25.9530	533.41
25.9675	522.74
25.9819	559.60
25.9964	570.90
26.0108	542.94
26.0252	547.89
26.0397	518.82
26.0541	536.50
26.0686	506.49
26.0830	522.51
26.0974	521.20
26.1119	545.25
26.1263	573.48
26.1408	543.94
26.1552	536.51
26.1696	532.17
26.1841	516.49
26.1985	507.21
26.2130	577.15
26.2274	557.86
26.2418	508.37
26.2563	552.98
26.2707	554.39
26.2852	535.71
26.2996	515.78
26.3140	513.92
26.3285	531.22
26.3429	523.32
26.3574	539.99
26.3718	542.29
26.3862	529.95
26.4007	516.01
26.4151	530.09
26.4296	546.12
