2022.09.19 19:37:17
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	624.16
22.1264	525.40
22.1409	629.90
22.1553	621.55
22.1697	601.09
22.1842	645.31
22.1986	572.41
22.2131	571.64
22.2275	547.87
22.2419	584.33
22.2564	665.18
22.2708	680.98
22.2853	726.79
22.2997	587.39
22.3141	602.65
22.3286	559.78
22.3430	579.31
22.3575	545.88
22.3719	484.27
22.3863	533.30
22.4008	532.16
22.4152	574.37
22.4297	660.97
22.4441	634.90
22.4585	585.08
22.4730	548.21
22.4874	641.78
22.5019	653.35
22.5163	629.09
22.5307	644.23
22.5452	553.43
22.5596	498.62
22.5741	557.84
22.5885	563.91
22.6029	583.87
22.6174	572.69
22.6318	520.60
22.6463	553.19
22.6607	586.51
22.6751	502.34
22.6896	537.59
22.7040	535.06
22.7185	541.65
22.7329	534.15
22.7473	574.35
22.7618	488.31
22.7762	500.58
22.7907	663.74
22.8051	573.00
22.8195	491.87
22.8340	543.88
22.8484	589.06
22.8629	520.72
22.8773	577.83
22.8917	526.24
22.9062	544.90
22.9206	519.03
22.9351	514.65
22.9495	522.09
22.9639	492.77
22.9784	551.08
22.9928	484.36
23.0073	522.90
23.0217	541.58
23.0361	456.54
23.0506	498.20
23.0650	481.20
23.0795	614.24
23.0939	571.84
23.1083	532.30
23.1228	554.78
23.1372	572.67
23.1517	484.49
23.1661	625.01
23.1806	597.01
23.1950	541.88
23.2094	522.80
23.2239	574.61
23.2383	491.44
23.2528	541.06
23.2672	536.24
23.2816	522.77
23.2961	467.05
23.3105	521.41
23.3250	508.69
23.3394	570.09
23.3538	602.96
23.3683	584.02
23.3827	563.43
23.3972	508.12
23.4116	533.86
23.4260	546.69
23.4405	551.91
23.4549	466.96
23.4694	575.63
23.4838	551.70
23.4982	514.50
23.5127	579.17
23.5271	592.45
23.5416	566.47
23.5560	635.52
23.5704	589.84
23.5849	524.00
23.5993	576.15
23.6138	565.18
23.6282	558.45
23.6426	556.11
23.6571	563.76
23.6715	538.04
23.6860	568.37
23.7004	557.11
23.7148	520.98
23.7293	501.77
23.7437	549.33
23.7582	560.70
23.7726	549.46
23.7870	508.93
23.8015	510.74
23.8159	620.92
23.8304	560.27
23.8448	549.44
23.8592	568.20
23.8737	577.95
23.8881	513.98
23.9026	628.11
23.9170	534.02
23.9314	499.80
23.9459	538.32
23.9603	585.95
23.9748	572.08
23.9892	546.46
24.0036	520.96
24.0181	510.45
24.0325	549.21
24.0470	502.21
24.0614	596.23
24.0758	534.84
24.0903	567.46
24.1047	519.08
24.1192	536.87
24.1336	598.59
24.1480	563.98
24.1625	611.19
24.1769	574.66
24.1914	557.53
24.2058	499.17
24.2202	559.03
24.2347	662.07
24.2491	645.31
24.2636	587.63
24.2780	609.59
24.2924	593.71
24.3069	596.92
24.3213	554.03
24.3358	588.16
24.3502	607.20
24.3646	551.90
24.3791	550.26
24.3935	529.60
24.4080	554.20
24.4224	567.81
24.4368	612.14
24.4513	544.54
24.4657	542.71
24.4802	616.41
24.4946	540.26
24.5090	565.64
24.5235	553.53
24.5379	524.00
24.5524	528.26
24.5668	546.31
24.5812	527.53
24.5957	558.75
24.6101	555.97
24.6246	593.62
24.6390	561.42
24.6534	542.16
24.6679	555.31
24.6823	543.75
24.6968	574.80
24.7112	541.13
24.7256	531.72
24.7401	481.79
24.7545	506.47
24.7690	583.44
24.7834	501.29
24.7978	543.95
24.8123	486.16
24.8267	581.29
24.8412	549.12
24.8556	543.45
24.8700	563.49
24.8845	536.24
24.8989	519.16
24.9134	534.39
24.9278	490.93
24.9422	457.97
24.9567	513.71
24.9711	514.47
24.9856	604.12
25.0000	525.49
25.0144	513.62
25.0289	518.03
25.0433	554.31
25.0578	581.21
25.0722	507.45
25.0866	514.44
25.1011	476.40
25.1155	541.29
25.1300	573.98
25.1444	512.09
25.1588	573.67
25.1733	576.66
25.1877	514.86
25.2022	523.73
25.2166	584.15
25.2310	544.18
25.2455	539.31
25.2599	569.35
25.2744	510.79
25.2888	552.75
25.3032	555.90
25.3177	516.81
25.3321	559.11
25.3466	563.66
25.3610	525.90
25.3754	518.37
25.3899	538.03
25.4043	528.31
25.4188	535.89
25.4332	517.22
25.4476	503.14
25.4621	522.82
25.4765	554.57
25.4910	557.76
25.5054	561.39
25.5198	523.89
25.5343	501.41
25.5487	510.99
25.5632	549.22
25.5776	564.73
25.5920	535.78
25.6065	542.93
25.6209	498.99
25.6354	525.17
25.6498	546.26
25.6642	512.70
25.6787	484.38
25.6931	503.91
25.7076	523.18
25.7220	553.88
25.7364	561.63
25.7509	572.87
25.7653	540.08
25.7798	518.03
25.7942	517.06
25.8086	534.32
25.8231	540.92
25.8375	524.48
25.8520	503.24
25.8664	590.51
25.8808	577.83
25.8953	525.40
25.9097	524.46
25.9242	544.17
25.9386	586.64
25.9530	584.97
25.9675	530.77
25.9819	550.26
25.9964	540.24
26.0108	521.76
26.0252	518.21
26.0397	572.43
26.0541	516.35
26.0686	543.77
26.0830	527.14
26.0974	538.77
26.1119	504.98
26.1263	561.00
26.1408	523.56
26.1552	500.87
26.1696	529.18
26.1841	520.93
26.1985	539.18
26.2130	517.22
26.2274	556.78
26.2418	534.49
26.2563	500.24
26.2707	519.57
26.2852	573.74
26.2996	564.23
26.3140	563.45
26.3285	531.02
26.3429	527.31
26.3574	510.63
26.3718	517.01
26.3862	518.15
26.4007	503.05
26.4151	534.33
26.4296	522.64
