2022.09.19 19:37:16
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	557.84
22.1264	550.22
22.1409	550.45
22.1553	580.58
22.1697	509.51
22.1842	528.71
22.1986	511.83
22.2131	530.23
22.2275	591.58
22.2419	604.21
22.2564	553.23
22.2708	571.32
22.2853	611.03
22.2997	499.59
22.3141	533.70
22.3286	549.41
22.3430	556.30
22.3575	559.78
22.3719	585.46
22.3863	585.80
22.4008	573.59
22.4152	624.93
22.4297	622.26
22.4441	655.99
22.4585	598.87
22.4730	573.94
22.4874	575.89
22.5019	553.98
22.5163	578.15
22.5307	574.39
22.5452	580.19
22.5596	671.86
22.5741	602.87
22.5885	574.84
22.6029	617.15
22.6174	560.86
22.6318	564.81
22.6463	592.77
22.6607	693.83
22.6751	619.58
22.6896	532.56
22.7040	575.09
22.7185	590.01
22.7329	607.31
22.7473	551.16
22.7618	608.46
22.7762	620.63
22.7907	559.03
22.8051	523.21
22.8195	532.45
22.8340	596.45
22.8484	582.60
22.8629	654.15
22.8773	612.22
22.8917	529.19
22.9062	609.60
22.9206	615.28
22.9351	670.08
22.9495	616.89
22.9639	580.92
22.9784	560.77
22.9928	567.57
23.0073	602.73
23.0217	576.16
23.0361	602.83
23.0506	538.66
23.0650	486.28
23.0795	578.95
23.0939	591.83
23.1083	531.98
23.1228	568.02
23.1372	534.60
23.1517	550.03
23.1661	580.60
23.1806	521.53
23.1950	540.58
23.2094	517.13
23.2239	557.36
23.2383	563.00
23.2528	492.22
23.2672	645.76
23.2816	641.90
23.2961	604.10
23.3105	564.15
23.3250	572.58
23.3394	589.82
23.3538	581.63
23.3683	571.16
23.3827	607.35
23.3972	631.90
23.4116	511.28
23.4260	550.37
23.4405	555.64
23.4549	609.01
23.4694	566.25
23.4838	525.05
23.4982	583.93
23.5127	566.42
23.5271	611.97
23.5416	569.45
23.5560	609.51
23.5704	572.49
23.5849	555.66
23.5993	538.28
23.6138	554.84
23.6282	536.40
23.6426	606.70
23.6571	596.00
23.6715	552.00
23.6860	557.55
23.7004	583.26
23.7148	567.99
23.7293	549.18
23.7437	531.70
23.7582	548.74
23.7726	557.82
23.7870	635.23
23.8015	571.69
23.8159	565.94
23.8304	591.95
23.8448	558.32
23.8592	518.89
23.8737	563.00
23.8881	542.28
23.9026	538.06
23.9170	510.95
23.9314	525.56
23.9459	516.80
23.9603	540.57
23.9748	531.93
23.9892	552.19
24.0036	581.97
24.0181	605.40
24.0325	618.03
24.0470	524.31
24.0614	547.90
24.0758	497.63
24.0903	570.10
24.1047	559.15
24.1192	564.74
24.1336	583.28
24.1480	545.04
24.1625	604.54
24.1769	648.68
24.1914	549.05
24.2058	581.97
24.2202	572.30
24.2347	556.44
24.2491	570.11
24.2636	578.64
24.2780	591.39
24.2924	574.90
24.3069	587.78
24.3213	543.25
24.3358	554.72
24.3502	589.32
24.3646	499.63
24.3791	521.16
24.3935	564.13
24.4080	606.38
24.4224	579.66
24.4368	548.96
24.4513	544.63
24.4657	617.45
24.4802	584.20
24.4946	574.98
24.5090	578.83
24.5235	555.69
24.5379	567.25
24.5524	563.01
24.5668	583.65
24.5812	586.99
24.5957	588.79
24.6101	595.83
24.6246	549.82
24.6390	567.54
24.6534	620.12
24.6679	555.41
24.6823	518.64
24.6968	569.96
24.7112	528.01
24.7256	544.63
24.7401	497.56
24.7545	562.23
24.7690	505.67
24.7834	526.04
24.7978	516.18
24.8123	538.82
24.8267	526.23
24.8412	534.36
24.8556	540.07
24.8700	559.60
24.8845	540.61
24.8989	586.63
24.9134	517.16
24.9278	540.30
24.9422	513.21
24.9567	528.67
24.9711	510.15
24.9856	533.13
25.0000	587.39
25.0144	552.43
25.0289	578.04
25.0433	546.60
25.0578	522.43
25.0722	542.19
25.0866	570.72
25.1011	513.08
25.1155	596.09
25.1300	522.74
25.1444	556.92
25.1588	533.30
25.1733	528.87
25.1877	528.72
25.2022	532.81
25.2166	572.94
25.2310	564.93
25.2455	550.96
25.2599	545.88
25.2744	544.45
25.2888	562.82
25.3032	508.96
25.3177	529.39
25.3321	558.96
25.3466	553.08
25.3610	552.04
25.3754	550.85
25.3899	499.68
25.4043	522.78
25.4188	510.62
25.4332	531.74
25.4476	537.00
25.4621	551.99
25.4765	538.73
25.4910	590.84
25.5054	552.75
25.5198	493.60
25.5343	556.03
25.5487	530.77
25.5632	472.66
25.5776	537.12
25.5920	554.46
25.6065	530.70
25.6209	508.45
25.6354	533.18
25.6498	548.30
25.6642	573.92
25.6787	524.08
25.6931	548.37
25.7076	543.27
25.7220	539.05
25.7364	576.30
25.7509	542.74
25.7653	538.22
25.7798	521.69
25.7942	560.13
25.8086	563.85
25.8231	563.45
25.8375	539.97
25.8520	528.54
25.8664	557.66
25.8808	556.52
25.8953	518.56
25.9097	505.38
25.9242	522.25
25.9386	555.68
25.9530	558.16
25.9675	535.84
25.9819	506.16
25.9964	561.91
26.0108	544.53
26.0252	538.78
26.0397	505.41
26.0541	542.92
26.0686	544.87
26.0830	517.46
26.0974	519.50
26.1119	520.85
26.1263	517.18
26.1408	489.84
26.1552	541.34
26.1696	557.72
26.1841	556.93
26.1985	557.41
26.2130	564.76
26.2274	522.68
26.2418	512.35
26.2563	514.06
26.2707	500.18
26.2852	518.69
26.2996	544.39
26.3140	539.39
26.3285	598.08
26.3429	523.94
26.3574	523.52
26.3718	560.75
26.3862	523.16
26.4007	514.42
26.4151	517.25
26.4296	528.69
