2022.09.19 19:37:16
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	566.81
22.1264	551.45
22.1409	624.74
22.1553	529.44
22.1697	540.22
22.1842	532.52
22.1986	525.67
22.2131	470.80
22.2275	555.92
22.2419	547.12
22.2564	580.84
22.2708	596.21
22.2853	603.00
22.2997	527.61
22.3141	605.05
22.3286	615.63
22.3430	530.68
22.3575	584.26
22.3719	558.64
22.3863	576.98
22.4008	574.78
22.4152	690.50
22.4297	656.72
22.4441	503.78
22.4585	510.27
22.4730	614.23
22.4874	574.30
22.5019	587.04
22.5163	542.11
22.5307	560.06
22.5452	566.11
22.5596	497.10
22.5741	579.43
22.5885	625.27
22.6029	548.16
22.6174	590.51
22.6318	625.70
22.6463	586.47
22.6607	667.11
22.6751	635.59
22.6896	565.81
22.7040	612.13
22.7185	595.54
22.7329	615.15
22.7473	584.74
22.7618	534.49
22.7762	513.62
22.7907	584.50
22.8051	672.73
22.8195	640.96
22.8340	589.33
22.8484	538.83
22.8629	494.87
22.8773	586.63
22.8917	600.96
22.9062	575.09
22.9206	527.63
22.9351	569.15
22.9495	665.57
22.9639	684.52
22.9784	637.14
22.9928	582.62
23.0073	548.86
23.0217	579.78
23.0361	533.63
23.0506	522.91
23.0650	542.67
23.0795	505.56
23.0939	566.56
23.1083	623.84
23.1228	566.89
23.1372	577.63
23.1517	552.03
23.1661	526.52
23.1806	607.59
23.1950	511.94
23.2094	540.69
23.2239	569.56
23.2383	589.92
23.2528	530.64
23.2672	614.67
23.2816	534.71
23.2961	450.96
23.3105	618.83
23.3250	605.47
23.3394	574.69
23.3538	586.94
23.3683	558.33
23.3827	614.45
23.3972	529.03
23.4116	495.63
23.4260	564.91
23.4405	501.19
23.4549	568.85
23.4694	582.98
23.4838	543.92
23.4982	576.71
23.5127	577.85
23.5271	578.31
23.5416	503.06
23.5560	506.66
23.5704	563.13
23.5849	595.43
23.5993	582.33
23.6138	552.02
23.6282	544.78
23.6426	539.95
23.6571	512.90
23.6715	624.91
23.6860	517.54
23.7004	469.07
23.7148	538.50
23.7293	582.82
23.7437	502.70
23.7582	551.20
23.7726	558.83
23.7870	562.95
23.8015	536.28
23.8159	567.06
23.8304	538.69
23.8448	565.29
23.8592	573.43
23.8737	528.63
23.8881	555.83
23.9026	564.29
23.9170	528.24
23.9314	555.15
23.9459	582.72
23.9603	524.49
23.9748	553.98
23.9892	561.41
24.0036	558.82
24.0181	535.60
24.0325	538.84
24.0470	572.17
24.0614	488.51
24.0758	451.16
24.0903	564.27
24.1047	583.07
24.1192	579.63
24.1336	585.59
24.1480	533.51
24.1625	543.42
24.1769	555.59
24.1914	558.96
24.2058	555.52
24.2202	618.59
24.2347	605.62
24.2491	579.03
24.2636	594.85
24.2780	567.36
24.2924	631.66
24.3069	558.36
24.3213	580.48
24.3358	602.88
24.3502	565.16
24.3646	562.86
24.3791	570.70
24.3935	478.45
24.4080	539.37
24.4224	516.59
24.4368	526.31
24.4513	452.57
24.4657	567.67
24.4802	531.48
24.4946	507.07
24.5090	552.40
24.5235	586.42
24.5379	557.68
24.5524	645.16
24.5668	543.61
24.5812	538.71
24.5957	558.64
24.6101	570.25
24.6246	564.38
24.6390	546.42
24.6534	527.68
24.6679	526.20
24.6823	503.52
24.6968	497.03
24.7112	526.88
24.7256	572.65
24.7401	549.94
24.7545	568.32
24.7690	493.32
24.7834	613.93
24.7978	502.16
24.8123	547.95
24.8267	566.48
24.8412	603.13
24.8556	562.91
24.8700	559.07
24.8845	504.26
24.8989	578.86
24.9134	555.59
24.9278	550.07
24.9422	544.44
24.9567	489.43
24.9711	574.97
24.9856	559.78
25.0000	494.94
25.0144	492.56
25.0289	583.20
25.0433	563.08
25.0578	488.33
25.0722	542.18
25.0866	550.54
25.1011	552.55
25.1155	588.18
25.1300	570.39
25.1444	512.80
25.1588	530.84
25.1733	543.04
25.1877	517.22
25.2022	508.98
25.2166	549.19
25.2310	560.56
25.2455	551.77
25.2599	538.80
25.2744	497.77
25.2888	582.95
25.3032	557.32
25.3177	572.55
25.3321	532.75
25.3466	468.03
25.3610	524.75
25.3754	537.96
25.3899	537.70
25.4043	545.83
25.4188	553.69
25.4332	522.23
25.4476	527.64
25.4621	521.16
25.4765	572.75
25.4910	552.37
25.5054	509.41
25.5198	549.86
25.5343	562.74
25.5487	601.15
25.5632	534.53
25.5776	535.87
25.5920	544.80
25.6065	539.99
25.6209	572.73
25.6354	559.91
25.6498	594.54
25.6642	569.05
25.6787	537.66
25.6931	539.65
25.7076	530.03
25.7220	549.26
25.7364	531.12
25.7509	529.66
25.7653	489.17
25.7798	555.35
25.7942	528.45
25.8086	548.88
25.8231	516.06
25.8375	531.67
25.8520	536.06
25.8664	541.22
25.8808	537.86
25.8953	546.60
25.9097	536.43
25.9242	519.53
25.9386	557.95
25.9530	565.30
25.9675	537.49
25.9819	541.79
25.9964	532.84
26.0108	532.83
26.0252	547.16
26.0397	532.50
26.0541	558.38
26.0686	539.96
26.0830	529.04
26.0974	540.24
26.1119	557.97
26.1263	539.96
26.1408	520.33
26.1552	544.84
26.1696	537.31
26.1841	542.99
26.1985	517.95
26.2130	534.00
26.2274	541.52
26.2418	548.15
26.2563	532.10
26.2707	522.60
26.2852	517.36
26.2996	516.13
26.3140	531.43
26.3285	546.87
26.3429	494.01
26.3574	530.62
26.3718	529.10
26.3862	517.64
26.4007	514.50
26.4151	538.79
26.4296	527.70
