2022.09.19 19:37:17
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	622.11
22.1264	666.76
22.1409	617.81
22.1553	530.61
22.1697	550.13
22.1842	583.16
22.1986	550.18
22.2131	536.75
22.2275	553.24
22.2419	571.29
22.2564	641.78
22.2708	617.68
22.2853	618.72
22.2997	549.87
22.3141	633.74
22.3286	613.41
22.3430	627.71
22.3575	649.28
22.3719	479.71
22.3863	603.89
22.4008	651.75
22.4152	632.63
22.4297	686.65
22.4441	649.09
22.4585	619.95
22.4730	647.91
22.4874	641.16
22.5019	524.42
22.5163	578.15
22.5307	609.47
22.5452	668.29
22.5596	644.96
22.5741	613.83
22.5885	612.63
22.6029	621.10
22.6174	584.81
22.6318	501.19
22.6463	600.30
22.6607	733.11
22.6751	687.09
22.6896	561.37
22.7040	512.06
22.7185	544.00
22.7329	607.43
22.7473	640.39
22.7618	575.44
22.7762	624.37
22.7907	649.43
22.8051	587.81
22.8195	559.31
22.8340	569.43
22.8484	582.23
22.8629	551.92
22.8773	490.20
22.8917	512.02
22.9062	635.47
22.9206	531.99
22.9351	513.22
22.9495	536.26
22.9639	539.17
22.9784	553.20
22.9928	592.71
23.0073	568.63
23.0217	627.68
23.0361	575.35
23.0506	649.74
23.0650	558.51
23.0795	620.84
23.0939	630.15
23.1083	527.74
23.1228	488.74
23.1372	597.05
23.1517	503.42
23.1661	636.14
23.1806	537.90
23.1950	558.35
23.2094	563.04
23.2239	609.81
23.2383	615.17
23.2528	574.43
23.2672	626.85
23.2816	558.26
23.2961	497.05
23.3105	567.86
23.3250	526.30
23.3394	535.39
23.3538	544.24
23.3683	583.90
23.3827	553.18
23.3972	505.26
23.4116	473.30
23.4260	622.25
23.4405	582.85
23.4549	580.10
23.4694	652.35
23.4838	615.92
23.4982	502.10
23.5127	535.38
23.5271	620.14
23.5416	512.59
23.5560	525.47
23.5704	577.98
23.5849	551.22
23.5993	471.21
23.6138	653.03
23.6282	516.90
23.6426	523.61
23.6571	493.14
23.6715	516.19
23.6860	542.64
23.7004	641.99
23.7148	456.28
23.7293	522.05
23.7437	537.03
23.7582	560.61
23.7726	536.05
23.7870	576.92
23.8015	556.24
23.8159	552.10
23.8304	580.02
23.8448	549.89
23.8592	675.20
23.8737	597.46
23.8881	636.50
23.9026	530.31
23.9170	594.82
23.9314	553.90
23.9459	603.54
23.9603	568.40
23.9748	513.91
23.9892	621.23
24.0036	558.36
24.0181	519.79
24.0325	591.11
24.0470	553.03
24.0614	573.85
24.0758	575.37
24.0903	567.09
24.1047	544.66
24.1192	573.59
24.1336	579.16
24.1480	572.03
24.1625	551.17
24.1769	592.66
24.1914	586.79
24.2058	537.89
24.2202	565.63
24.2347	539.80
24.2491	543.77
24.2636	533.34
24.2780	583.23
24.2924	608.20
24.3069	606.57
24.3213	589.04
24.3358	525.92
24.3502	606.79
24.3646	516.55
24.3791	530.85
24.3935	564.71
24.4080	566.00
24.4224	568.31
24.4368	552.47
24.4513	534.07
24.4657	559.28
24.4802	558.23
24.4946	524.38
24.5090	481.82
24.5235	524.88
24.5379	569.39
24.5524	587.38
24.5668	577.98
24.5812	588.70
24.5957	586.40
24.6101	570.69
24.6246	581.53
24.6390	539.02
24.6534	553.46
24.6679	528.66
24.6823	490.03
24.6968	541.90
24.7112	482.20
24.7256	489.66
24.7401	566.07
24.7545	557.63
24.7690	520.46
24.7834	544.57
24.7978	501.97
24.8123	556.18
24.8267	546.59
24.8412	597.56
24.8556	517.98
24.8700	612.42
24.8845	608.53
24.8989	574.63
24.9134	571.87
24.9278	585.46
24.9422	562.20
24.9567	573.09
24.9711	579.23
24.9856	556.06
25.0000	596.00
25.0144	570.05
25.0289	574.56
25.0433	493.71
25.0578	561.69
25.0722	559.31
25.0866	610.89
25.1011	555.17
25.1155	560.42
25.1300	556.41
25.1444	524.48
25.1588	545.99
25.1733	545.37
25.1877	554.26
25.2022	562.36
25.2166	552.02
25.2310	537.52
25.2455	533.77
25.2599	520.33
25.2744	549.95
25.2888	532.04
25.3032	520.30
25.3177	545.73
25.3321	586.33
25.3466	538.21
25.3610	560.79
25.3754	559.61
25.3899	518.47
25.4043	562.76
25.4188	559.35
25.4332	548.10
25.4476	509.14
25.4621	547.03
25.4765	516.39
25.4910	521.37
25.5054	525.33
25.5198	568.32
25.5343	545.72
25.5487	536.98
25.5632	520.79
25.5776	488.77
25.5920	547.52
25.6065	546.66
25.6209	539.76
25.6354	542.86
25.6498	578.93
25.6642	515.27
25.6787	508.61
25.6931	516.86
25.7076	551.70
25.7220	539.93
25.7364	541.97
25.7509	558.70
25.7653	517.69
25.7798	564.91
25.7942	567.69
25.8086	545.27
25.8231	537.68
25.8375	535.80
25.8520	556.68
25.8664	561.33
25.8808	538.95
25.8953	561.10
25.9097	530.85
25.9242	543.13
25.9386	545.41
25.9530	538.11
25.9675	552.14
25.9819	557.13
25.9964	532.98
26.0108	512.98
26.0252	529.27
26.0397	520.43
26.0541	541.64
26.0686	552.69
26.0830	539.79
26.0974	513.65
26.1119	536.20
26.1263	530.87
26.1408	513.02
26.1552	506.16
26.1696	517.75
26.1841	519.42
26.1985	559.07
26.2130	557.68
26.2274	551.04
26.2418	520.55
26.2563	518.31
26.2707	532.94
26.2852	513.28
26.2996	500.50
26.3140	522.32
26.3285	528.71
26.3429	561.34
26.3574	543.27
26.3718	550.23
26.3862	546.35
26.4007	503.89
26.4151	544.62
26.4296	581.42
