2022.09.19 19:37:17
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	533.99
22.1264	563.59
22.1409	537.65
22.1553	490.27
22.1697	553.25
22.1842	514.57
22.1986	448.95
22.2131	496.49
22.2275	571.64
22.2419	541.73
22.2564	538.30
22.2708	577.42
22.2853	596.91
22.2997	544.80
22.3141	554.43
22.3286	592.35
22.3430	578.51
22.3575	534.44
22.3719	549.86
22.3863	593.79
22.4008	516.12
22.4152	644.49
22.4297	650.61
22.4441	605.76
22.4585	558.99
22.4730	592.28
22.4874	676.03
22.5019	574.65
22.5163	590.56
22.5307	516.76
22.5452	552.43
22.5596	575.43
22.5741	580.19
22.5885	561.51
22.6029	585.67
22.6174	534.84
22.6318	537.86
22.6463	532.78
22.6607	536.69
22.6751	598.57
22.6896	495.49
22.7040	635.95
22.7185	536.75
22.7329	477.93
22.7473	526.12
22.7618	501.30
22.7762	508.97
22.7907	671.53
22.8051	647.63
22.8195	543.52
22.8340	547.71
22.8484	590.18
22.8629	728.69
22.8773	632.45
22.8917	578.02
22.9062	608.16
22.9206	529.21
22.9351	456.88
22.9495	593.88
22.9639	562.17
22.9784	577.62
22.9928	610.21
23.0073	521.93
23.0217	520.38
23.0361	544.38
23.0506	602.04
23.0650	599.51
23.0795	506.94
23.0939	536.77
23.1083	539.64
23.1228	553.70
23.1372	577.92
23.1517	508.73
23.1661	587.72
23.1806	603.30
23.1950	575.22
23.2094	555.23
23.2239	608.43
23.2383	588.95
23.2528	595.85
23.2672	560.37
23.2816	576.30
23.2961	583.14
23.3105	583.81
23.3250	534.03
23.3394	535.55
23.3538	614.00
23.3683	489.49
23.3827	548.40
23.3972	572.74
23.4116	570.07
23.4260	542.10
23.4405	561.20
23.4549	533.64
23.4694	630.80
23.4838	587.78
23.4982	562.67
23.5127	567.17
23.5271	511.88
23.5416	535.07
23.5560	531.59
23.5704	555.22
23.5849	629.87
23.5993	595.51
23.6138	572.36
23.6282	519.99
23.6426	540.12
23.6571	586.65
23.6715	586.51
23.6860	496.92
23.7004	580.58
23.7148	477.86
23.7293	555.66
23.7437	623.10
23.7582	562.96
23.7726	530.41
23.7870	506.90
23.8015	481.94
23.8159	584.95
23.8304	489.51
23.8448	524.08
23.8592	585.57
23.8737	591.88
23.8881	551.82
23.9026	593.16
23.9170	553.08
23.9314	573.92
23.9459	604.75
23.9603	538.76
23.9748	597.36
23.9892	586.54
24.0036	528.46
24.0181	545.43
24.0325	581.75
24.0470	594.51
24.0614	521.49
24.0758	522.50
24.0903	594.52
24.1047	567.07
24.1192	559.11
24.1336	571.36
24.1480	542.32
24.1625	550.33
24.1769	532.17
24.1914	547.55
24.2058	613.12
24.2202	567.94
24.2347	539.22
24.2491	599.43
24.2636	602.34
24.2780	605.34
24.2924	599.38
24.3069	607.85
24.3213	555.48
24.3358	532.99
24.3502	548.53
24.3646	510.90
24.3791	528.57
24.3935	516.03
24.4080	553.88
24.4224	633.60
24.4368	474.89
24.4513	545.12
24.4657	553.69
24.4802	560.32
24.4946	565.79
24.5090	528.63
24.5235	562.06
24.5379	524.98
24.5524	582.38
24.5668	535.84
24.5812	541.65
24.5957	580.20
24.6101	507.14
24.6246	537.49
24.6390	571.38
24.6534	554.11
24.6679	566.12
24.6823	512.52
24.6968	565.42
24.7112	544.97
24.7256	510.10
24.7401	492.73
24.7545	551.55
24.7690	530.40
24.7834	580.50
24.7978	523.84
24.8123	562.87
24.8267	530.52
24.8412	510.51
24.8556	530.52
24.8700	539.23
24.8845	512.81
24.8989	552.78
24.9134	556.64
24.9278	593.18
24.9422	516.40
24.9567	502.15
24.9711	541.45
24.9856	523.91
25.0000	535.46
25.0144	567.27
25.0289	528.63
25.0433	585.80
25.0578	566.07
25.0722	527.90
25.0866	507.10
25.1011	546.66
25.1155	531.75
25.1300	559.44
25.1444	511.02
25.1588	522.35
25.1733	503.42
25.1877	498.15
25.2022	508.39
25.2166	517.74
25.2310	539.06
25.2455	570.53
25.2599	517.10
25.2744	558.19
25.2888	555.43
25.3032	554.28
25.3177	563.69
25.3321	545.03
25.3466	532.89
25.3610	521.68
25.3754	552.72
25.3899	563.41
25.4043	559.70
25.4188	566.32
25.4332	508.36
25.4476	515.97
25.4621	524.17
25.4765	551.80
25.4910	527.05
25.5054	499.29
25.5198	493.85
25.5343	548.53
25.5487	508.48
25.5632	539.43
25.5776	587.84
25.5920	540.16
25.6065	487.57
25.6209	522.20
25.6354	562.76
25.6498	510.53
25.6642	535.57
25.6787	537.72
25.6931	526.81
25.7076	534.00
25.7220	539.60
25.7364	555.53
25.7509	556.65
25.7653	541.31
25.7798	553.93
25.7942	541.20
25.8086	552.40
25.8231	528.11
25.8375	534.65
25.8520	544.54
25.8664	550.33
25.8808	532.29
25.8953	539.24
25.9097	605.72
25.9242	553.34
25.9386	515.13
25.9530	537.11
25.9675	502.37
25.9819	537.78
25.9964	544.93
26.0108	521.95
26.0252	537.43
26.0397	517.45
26.0541	523.26
26.0686	532.05
26.0830	512.25
26.0974	535.66
26.1119	563.13
26.1263	528.21
26.1408	487.21
26.1552	520.28
26.1696	526.17
26.1841	522.97
26.1985	517.97
26.2130	528.07
26.2274	531.41
26.2418	536.24
26.2563	527.54
26.2707	506.88
26.2852	529.69
26.2996	555.44
26.3140	532.20
26.3285	516.15
26.3429	541.53
26.3574	504.95
26.3718	518.81
26.3862	540.85
26.4007	517.52
26.4151	486.12
26.4296	542.58
