2022.09.19 19:37:16
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	572.72
22.1264	592.00
22.1409	555.26
22.1553	517.13
22.1697	588.06
22.1842	663.26
22.1986	669.04
22.2131	619.19
22.2275	578.15
22.2419	524.87
22.2564	539.84
22.2708	580.10
22.2853	597.30
22.2997	594.34
22.3141	634.02
22.3286	527.21
22.3430	560.12
22.3575	537.91
22.3719	537.12
22.3863	530.27
22.4008	594.67
22.4152	658.70
22.4297	730.37
22.4441	698.16
22.4585	612.66
22.4730	631.82
22.4874	623.11
22.5019	529.81
22.5163	572.75
22.5307	592.00
22.5452	576.62
22.5596	594.53
22.5741	612.85
22.5885	568.46
22.6029	599.61
22.6174	581.17
22.6318	535.70
22.6463	603.17
22.6607	636.32
22.6751	590.59
22.6896	560.35
22.7040	552.77
22.7185	594.90
22.7329	542.56
22.7473	483.64
22.7618	558.53
22.7762	610.60
22.7907	563.59
22.8051	569.47
22.8195	589.52
22.8340	568.88
22.8484	515.12
22.8629	606.69
22.8773	602.44
22.8917	612.46
22.9062	577.96
22.9206	508.93
22.9351	527.69
22.9495	520.31
22.9639	580.61
22.9784	607.17
22.9928	540.34
23.0073	610.14
23.0217	678.37
23.0361	540.96
23.0506	547.63
23.0650	651.03
23.0795	556.73
23.0939	526.63
23.1083	570.25
23.1228	564.17
23.1372	538.67
23.1517	541.02
23.1661	608.03
23.1806	619.47
23.1950	556.05
23.2094	498.10
23.2239	579.50
23.2383	596.21
23.2528	635.61
23.2672	524.19
23.2816	558.55
23.2961	589.77
23.3105	585.69
23.3250	535.51
23.3394	599.65
23.3538	584.30
23.3683	520.07
23.3827	502.36
23.3972	519.46
23.4116	535.62
23.4260	579.84
23.4405	517.85
23.4549	559.50
23.4694	559.63
23.4838	575.64
23.4982	490.79
23.5127	499.97
23.5271	556.18
23.5416	608.17
23.5560	528.72
23.5704	519.01
23.5849	553.45
23.5993	560.89
23.6138	532.99
23.6282	577.60
23.6426	500.44
23.6571	589.36
23.6715	569.96
23.6860	525.50
23.7004	548.19
23.7148	571.04
23.7293	510.69
23.7437	531.62
23.7582	504.77
23.7726	599.91
23.7870	561.62
23.8015	537.31
23.8159	574.21
23.8304	612.89
23.8448	622.02
23.8592	561.45
23.8737	609.91
23.8881	564.53
23.9026	625.80
23.9170	522.17
23.9314	568.10
23.9459	599.67
23.9603	553.15
23.9748	561.48
23.9892	563.62
24.0036	527.25
24.0181	567.71
24.0325	553.53
24.0470	571.52
24.0614	529.79
24.0758	559.80
24.0903	585.97
24.1047	548.16
24.1192	582.76
24.1336	613.78
24.1480	544.08
24.1625	551.48
24.1769	599.80
24.1914	600.79
24.2058	579.30
24.2202	570.58
24.2347	630.15
24.2491	580.82
24.2636	586.29
24.2780	615.41
24.2924	584.33
24.3069	591.22
24.3213	583.30
24.3358	580.03
24.3502	586.62
24.3646	548.46
24.3791	524.55
24.3935	553.21
24.4080	553.12
24.4224	580.18
24.4368	562.62
24.4513	555.79
24.4657	522.83
24.4802	545.66
24.4946	531.28
24.5090	558.92
24.5235	556.88
24.5379	555.56
24.5524	594.82
24.5668	536.22
24.5812	542.03
24.5957	512.08
24.6101	559.00
24.6246	583.07
24.6390	527.92
24.6534	544.86
24.6679	509.60
24.6823	554.51
24.6968	542.04
24.7112	548.29
24.7256	537.39
24.7401	529.34
24.7545	557.09
24.7690	605.02
24.7834	576.42
24.7978	579.91
24.8123	502.03
24.8267	539.49
24.8412	565.95
24.8556	566.62
24.8700	556.73
24.8845	514.91
24.8989	572.07
24.9134	558.53
24.9278	569.37
24.9422	515.26
24.9567	522.23
24.9711	484.14
24.9856	524.40
25.0000	523.95
25.0144	567.85
25.0289	526.21
25.0433	546.83
25.0578	600.76
25.0722	516.45
25.0866	565.37
25.1011	508.46
25.1155	592.01
25.1300	542.80
25.1444	527.74
25.1588	574.34
25.1733	560.79
25.1877	567.18
25.2022	562.19
25.2166	537.57
25.2310	547.56
25.2455	560.13
25.2599	572.51
25.2744	514.44
25.2888	539.76
25.3032	504.28
25.3177	529.66
25.3321	561.93
25.3466	553.88
25.3610	509.59
25.3754	532.23
25.3899	524.96
25.4043	542.07
25.4188	540.27
25.4332	512.99
25.4476	578.06
25.4621	538.25
25.4765	568.37
25.4910	570.04
25.5054	540.76
25.5198	531.53
25.5343	523.12
25.5487	584.40
25.5632	595.23
25.5776	565.08
25.5920	537.99
25.6065	547.73
25.6209	522.00
25.6354	536.54
25.6498	561.34
25.6642	526.50
25.6787	448.19
25.6931	500.79
25.7076	543.37
25.7220	547.72
25.7364	552.23
25.7509	573.94
25.7653	557.50
25.7798	533.47
25.7942	565.70
25.8086	529.14
25.8231	541.25
25.8375	556.35
25.8520	537.72
25.8664	543.34
25.8808	514.65
25.8953	531.82
25.9097	565.51
25.9242	549.67
25.9386	529.95
25.9530	519.48
25.9675	483.41
25.9819	506.54
25.9964	555.38
26.0108	572.28
26.0252	556.08
26.0397	515.96
26.0541	540.76
26.0686	551.88
26.0830	530.98
26.0974	501.74
26.1119	550.47
26.1263	591.13
26.1408	547.53
26.1552	507.96
26.1696	533.25
26.1841	534.65
26.1985	506.19
26.2130	524.67
26.2274	583.01
26.2418	535.99
26.2563	538.10
26.2707	528.48
26.2852	560.04
26.2996	523.57
26.3140	555.28
26.3285	541.62
26.3429	555.63
26.3574	557.51
26.3718	526.66
26.3862	532.96
26.4007	504.02
26.4151	532.92
26.4296	565.16
