2022.09.19 19:37:17
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	638.02
22.1264	592.15
22.1409	514.88
22.1553	520.28
22.1697	528.65
22.1842	559.79
22.1986	531.37
22.2131	570.88
22.2275	559.75
22.2419	532.93
22.2564	550.52
22.2708	504.59
22.2853	582.04
22.2997	618.77
22.3141	603.91
22.3286	660.96
22.3430	617.96
22.3575	538.65
22.3719	531.42
22.3863	553.97
22.4008	524.12
22.4152	544.02
22.4297	530.63
22.4441	601.16
22.4585	588.14
22.4730	547.46
22.4874	611.87
22.5019	614.70
22.5163	549.65
22.5307	607.85
22.5452	497.44
22.5596	466.64
22.5741	561.10
22.5885	547.04
22.6029	667.41
22.6174	640.51
22.6318	508.53
22.6463	511.71
22.6607	557.76
22.6751	467.58
22.6896	535.26
22.7040	646.18
22.7185	564.22
22.7329	509.26
22.7473	527.41
22.7618	506.08
22.7762	526.76
22.7907	549.77
22.8051	475.14
22.8195	557.62
22.8340	537.94
22.8484	583.76
22.8629	573.47
22.8773	530.61
22.8917	603.97
22.9062	661.35
22.9206	490.37
22.9351	448.19
22.9495	601.18
22.9639	546.26
22.9784	549.46
22.9928	514.53
23.0073	530.77
23.0217	501.73
23.0361	492.18
23.0506	469.35
23.0650	555.52
23.0795	604.62
23.0939	582.16
23.1083	652.77
23.1228	524.78
23.1372	531.13
23.1517	569.96
23.1661	593.36
23.1806	531.64
23.1950	495.00
23.2094	534.81
23.2239	554.59
23.2383	569.68
23.2528	512.45
23.2672	549.20
23.2816	529.03
23.2961	612.35
23.3105	556.17
23.3250	488.33
23.3394	598.00
23.3538	579.93
23.3683	583.86
23.3827	553.34
23.3972	563.36
23.4116	554.31
23.4260	541.57
23.4405	536.28
23.4549	576.62
23.4694	593.64
23.4838	587.24
23.4982	619.15
23.5127	533.68
23.5271	517.29
23.5416	592.87
23.5560	614.65
23.5704	563.90
23.5849	557.56
23.5993	607.85
23.6138	578.14
23.6282	528.68
23.6426	546.76
23.6571	466.97
23.6715	488.98
23.6860	566.10
23.7004	554.22
23.7148	470.87
23.7293	570.66
23.7437	512.86
23.7582	513.35
23.7726	529.65
23.7870	535.28
23.8015	517.87
23.8159	486.10
23.8304	574.91
23.8448	586.72
23.8592	609.87
23.8737	636.31
23.8881	531.71
23.9026	542.79
23.9170	533.76
23.9314	478.54
23.9459	590.99
23.9603	548.74
23.9748	565.70
23.9892	583.09
24.0036	553.22
24.0181	562.85
24.0325	500.59
24.0470	560.88
24.0614	547.97
24.0758	531.95
24.0903	501.00
24.1047	484.68
24.1192	495.37
24.1336	549.67
24.1480	575.51
24.1625	631.59
24.1769	565.87
24.1914	594.08
24.2058	568.03
24.2202	581.45
24.2347	648.24
24.2491	604.23
24.2636	575.91
24.2780	583.18
24.2924	580.23
24.3069	580.17
24.3213	536.64
24.3358	590.14
24.3502	555.86
24.3646	529.67
24.3791	562.21
24.3935	604.80
24.4080	525.64
24.4224	639.84
24.4368	556.94
24.4513	558.82
24.4657	525.29
24.4802	536.69
24.4946	530.62
24.5090	494.28
24.5235	489.04
24.5379	537.10
24.5524	549.98
24.5668	540.18
24.5812	547.47
24.5957	526.01
24.6101	505.99
24.6246	552.15
24.6390	547.24
24.6534	542.94
24.6679	590.29
24.6823	501.46
24.6968	562.22
24.7112	603.49
24.7256	543.81
24.7401	549.08
24.7545	527.23
24.7690	535.15
24.7834	518.25
24.7978	527.19
24.8123	540.98
24.8267	555.39
24.8412	497.16
24.8556	576.63
24.8700	535.11
24.8845	545.89
24.8989	558.56
24.9134	520.55
24.9278	528.72
24.9422	522.82
24.9567	474.55
24.9711	524.66
24.9856	592.50
25.0000	555.56
25.0144	582.98
25.0289	480.52
25.0433	509.03
25.0578	568.84
25.0722	549.14
25.0866	625.32
25.1011	531.29
25.1155	608.12
25.1300	561.01
25.1444	514.82
25.1588	542.45
25.1733	541.98
25.1877	522.66
25.2022	562.80
25.2166	562.53
25.2310	555.23
25.2455	538.30
25.2599	550.33
25.2744	541.37
25.2888	524.81
25.3032	524.57
25.3177	542.15
25.3321	541.91
25.3466	547.57
25.3610	551.41
25.3754	509.71
25.3899	518.92
25.4043	502.58
25.4188	546.54
25.4332	555.55
25.4476	534.27
25.4621	511.45
25.4765	529.28
25.4910	579.96
25.5054	574.08
25.5198	558.00
25.5343	580.00
25.5487	558.23
25.5632	507.90
25.5776	502.74
25.5920	494.24
25.6065	528.95
25.6209	554.92
25.6354	548.87
25.6498	544.21
25.6642	535.30
25.6787	521.39
25.6931	506.30
25.7076	521.59
25.7220	551.85
25.7364	565.21
25.7509	544.51
25.7653	527.49
25.7798	506.95
25.7942	513.63
25.8086	559.73
25.8231	555.94
25.8375	521.01
25.8520	556.61
25.8664	579.71
25.8808	561.03
25.8953	540.55
25.9097	591.49
25.9242	543.59
25.9386	539.44
25.9530	494.98
25.9675	531.72
25.9819	549.45
25.9964	544.82
26.0108	530.15
26.0252	558.18
26.0397	524.68
26.0541	496.49
26.0686	506.84
26.0830	539.90
26.0974	543.64
26.1119	551.64
26.1263	588.75
26.1408	536.07
26.1552	503.32
26.1696	503.27
26.1841	526.25
26.1985	528.19
26.2130	542.89
26.2274	524.20
26.2418	520.41
26.2563	540.98
26.2707	539.37
26.2852	501.16
26.2996	546.84
26.3140	518.35
26.3285	518.85
26.3429	524.52
26.3574	531.28
26.3718	518.38
26.3862	515.36
26.4007	489.32
26.4151	518.49
26.4296	526.09
