2022.09.19 19:37:17
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	582.70
22.1264	608.42
22.1409	608.89
22.1553	593.42
22.1697	644.10
22.1842	599.72
22.1986	475.80
22.2131	462.38
22.2275	470.82
22.2419	569.73
22.2564	577.38
22.2708	558.24
22.2853	575.09
22.2997	595.08
22.3141	634.48
22.3286	578.51
22.3430	557.50
22.3575	593.09
22.3719	549.76
22.3863	534.88
22.4008	607.31
22.4152	614.18
22.4297	566.66
22.4441	579.69
22.4585	581.62
22.4730	596.50
22.4874	702.04
22.5019	651.02
22.5163	639.88
22.5307	645.63
22.5452	620.91
22.5596	531.46
22.5741	525.83
22.5885	611.18
22.6029	682.23
22.6174	622.94
22.6318	592.27
22.6463	630.67
22.6607	498.30
22.6751	512.61
22.6896	658.36
22.7040	639.39
22.7185	594.69
22.7329	555.06
22.7473	560.62
22.7618	541.72
22.7762	545.80
22.7907	610.22
22.8051	523.59
22.8195	578.35
22.8340	620.82
22.8484	594.10
22.8629	667.11
22.8773	655.53
22.8917	628.31
22.9062	638.35
22.9206	599.55
22.9351	579.45
22.9495	550.72
22.9639	537.59
22.9784	569.24
22.9928	583.78
23.0073	576.49
23.0217	575.26
23.0361	557.84
23.0506	585.54
23.0650	652.17
23.0795	578.36
23.0939	538.42
23.1083	584.79
23.1228	565.70
23.1372	626.51
23.1517	560.48
23.1661	556.15
23.1806	457.49
23.1950	529.75
23.2094	570.59
23.2239	631.48
23.2383	644.14
23.2528	566.70
23.2672	498.57
23.2816	543.36
23.2961	544.30
23.3105	582.26
23.3250	539.87
23.3394	550.84
23.3538	545.96
23.3683	503.61
23.3827	526.31
23.3972	530.93
23.4116	574.39
23.4260	534.37
23.4405	566.23
23.4549	500.85
23.4694	508.47
23.4838	531.77
23.4982	545.75
23.5127	514.93
23.5271	567.35
23.5416	537.79
23.5560	532.69
23.5704	553.83
23.5849	544.22
23.5993	589.24
23.6138	540.09
23.6282	559.58
23.6426	625.58
23.6571	575.18
23.6715	486.98
23.6860	535.83
23.7004	595.95
23.7148	542.26
23.7293	512.76
23.7437	522.38
23.7582	575.96
23.7726	566.62
23.7870	587.85
23.8015	532.91
23.8159	511.75
23.8304	524.34
23.8448	585.09
23.8592	572.66
23.8737	564.70
23.8881	551.08
23.9026	568.18
23.9170	538.68
23.9314	467.23
23.9459	552.02
23.9603	533.00
23.9748	554.80
23.9892	562.10
24.0036	536.60
24.0181	611.32
24.0325	549.85
24.0470	558.97
24.0614	660.66
24.0758	543.10
24.0903	658.05
24.1047	554.97
24.1192	578.85
24.1336	537.08
24.1480	512.72
24.1625	558.95
24.1769	598.14
24.1914	549.13
24.2058	558.76
24.2202	585.20
24.2347	625.96
24.2491	601.07
24.2636	596.38
24.2780	594.13
24.2924	575.30
24.3069	568.23
24.3213	523.14
24.3358	518.30
24.3502	514.11
24.3646	543.14
24.3791	539.21
24.3935	516.31
24.4080	514.30
24.4224	600.09
24.4368	549.91
24.4513	594.48
24.4657	555.81
24.4802	602.18
24.4946	589.27
24.5090	520.67
24.5235	537.05
24.5379	516.72
24.5524	596.61
24.5668	548.27
24.5812	639.50
24.5957	558.07
24.6101	539.73
24.6246	605.85
24.6390	579.41
24.6534	530.20
24.6679	522.52
24.6823	497.74
24.6968	530.14
24.7112	523.29
24.7256	546.62
24.7401	542.91
24.7545	552.73
24.7690	538.08
24.7834	562.34
24.7978	514.10
24.8123	535.89
24.8267	518.71
24.8412	527.45
24.8556	562.00
24.8700	581.16
24.8845	528.70
24.8989	507.59
24.9134	495.04
24.9278	507.15
24.9422	481.58
24.9567	562.20
24.9711	544.42
24.9856	599.95
25.0000	585.04
25.0144	519.43
25.0289	575.02
25.0433	574.88
25.0578	588.24
25.0722	584.16
25.0866	571.36
25.1011	531.60
25.1155	548.78
25.1300	563.26
25.1444	548.69
25.1588	544.84
25.1733	556.90
25.1877	559.52
25.2022	551.04
25.2166	573.21
25.2310	535.44
25.2455	513.45
25.2599	528.85
25.2744	568.77
25.2888	515.83
25.3032	527.75
25.3177	566.53
25.3321	530.98
25.3466	576.63
25.3610	528.34
25.3754	499.77
25.3899	517.55
25.4043	517.29
25.4188	519.39
25.4332	515.50
25.4476	537.99
25.4621	548.38
25.4765	545.68
25.4910	533.52
25.5054	498.18
25.5198	533.24
25.5343	590.96
25.5487	556.14
25.5632	561.54
25.5776	549.99
25.5920	554.93
25.6065	516.36
25.6209	527.58
25.6354	531.58
25.6498	563.29
25.6642	548.22
25.6787	552.04
25.6931	538.44
25.7076	562.51
25.7220	555.31
25.7364	479.94
25.7509	500.62
25.7653	504.06
25.7798	579.89
25.7942	573.59
25.8086	539.70
25.8231	545.20
25.8375	520.09
25.8520	537.95
25.8664	563.91
25.8808	573.90
25.8953	591.80
25.9097	593.70
25.9242	559.85
25.9386	555.26
25.9530	513.15
25.9675	521.07
25.9819	576.93
25.9964	567.26
26.0108	553.07
26.0252	608.37
26.0397	572.90
26.0541	528.26
26.0686	526.81
26.0830	540.44
26.0974	526.87
26.1119	522.70
26.1263	518.20
26.1408	499.62
26.1552	519.49
26.1696	525.48
26.1841	525.33
26.1985	546.73
26.2130	553.96
26.2274	553.26
26.2418	524.56
26.2563	529.38
26.2707	518.12
26.2852	527.33
26.2996	502.01
26.3140	533.30
26.3285	536.17
26.3429	537.40
26.3574	540.34
26.3718	524.67
26.3862	515.60
26.4007	543.00
26.4151	571.84
26.4296	537.30
