2022.09.19 19:37:17
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	588.63
22.1264	544.81
22.1409	546.69
22.1553	578.87
22.1697	618.04
22.1842	574.39
22.1986	503.37
22.2131	576.63
22.2275	574.71
22.2419	568.59
22.2564	587.35
22.2708	556.30
22.2853	567.46
22.2997	609.60
22.3141	626.51
22.3286	666.71
22.3430	622.18
22.3575	563.25
22.3719	592.69
22.3863	550.95
22.4008	571.27
22.4152	593.88
22.4297	610.37
22.4441	627.23
22.4585	585.44
22.4730	625.66
22.4874	683.25
22.5019	614.26
22.5163	542.22
22.5307	475.45
22.5452	518.30
22.5596	644.14
22.5741	507.93
22.5885	550.32
22.6029	611.11
22.6174	607.79
22.6318	580.56
22.6463	577.15
22.6607	577.75
22.6751	477.58
22.6896	508.06
22.7040	538.87
22.7185	516.09
22.7329	528.20
22.7473	566.19
22.7618	573.16
22.7762	661.20
22.7907	635.27
22.8051	611.07
22.8195	612.42
22.8340	589.24
22.8484	585.66
22.8629	674.02
22.8773	576.42
22.8917	517.54
22.9062	510.40
22.9206	609.54
22.9351	614.22
22.9495	495.77
22.9639	573.60
22.9784	614.85
22.9928	663.61
23.0073	557.55
23.0217	575.59
23.0361	533.07
23.0506	546.97
23.0650	500.10
23.0795	538.18
23.0939	601.11
23.1083	545.40
23.1228	617.03
23.1372	602.97
23.1517	591.36
23.1661	581.52
23.1806	525.25
23.1950	554.84
23.2094	535.66
23.2239	590.15
23.2383	579.09
23.2528	576.60
23.2672	651.55
23.2816	577.21
23.2961	581.97
23.3105	554.84
23.3250	545.75
23.3394	579.43
23.3538	525.30
23.3683	570.20
23.3827	548.13
23.3972	521.02
23.4116	535.85
23.4260	587.44
23.4405	514.50
23.4549	509.38
23.4694	501.97
23.4838	586.66
23.4982	583.40
23.5127	585.52
23.5271	577.68
23.5416	570.10
23.5560	542.92
23.5704	560.25
23.5849	533.41
23.5993	547.48
23.6138	582.26
23.6282	579.90
23.6426	509.45
23.6571	581.32
23.6715	566.52
23.6860	541.82
23.7004	556.73
23.7148	465.56
23.7293	550.86
23.7437	559.28
23.7582	503.22
23.7726	519.08
23.7870	597.30
23.8015	518.05
23.8159	545.88
23.8304	559.36
23.8448	525.10
23.8592	594.35
23.8737	629.33
23.8881	560.58
23.9026	602.92
23.9170	585.82
23.9314	567.54
23.9459	527.72
23.9603	522.32
23.9748	569.46
23.9892	584.30
24.0036	572.20
24.0181	554.89
24.0325	558.05
24.0470	536.82
24.0614	597.43
24.0758	565.21
24.0903	578.18
24.1047	582.40
24.1192	590.25
24.1336	581.85
24.1480	591.41
24.1625	575.57
24.1769	618.53
24.1914	581.55
24.2058	561.80
24.2202	577.37
24.2347	625.45
24.2491	718.81
24.2636	512.18
24.2780	589.78
24.2924	595.12
24.3069	565.43
24.3213	601.63
24.3358	591.69
24.3502	580.31
24.3646	536.96
24.3791	531.88
24.3935	552.42
24.4080	555.08
24.4224	588.43
24.4368	554.47
24.4513	549.68
24.4657	594.17
24.4802	538.45
24.4946	510.38
24.5090	515.81
24.5235	523.88
24.5379	562.43
24.5524	500.37
24.5668	540.46
24.5812	580.95
24.5957	548.24
24.6101	602.24
24.6246	573.30
24.6390	530.58
24.6534	515.07
24.6679	583.51
24.6823	568.62
24.6968	598.80
24.7112	534.43
24.7256	535.99
24.7401	531.99
24.7545	584.64
24.7690	572.43
24.7834	563.03
24.7978	544.82
24.8123	544.98
24.8267	510.53
24.8412	540.27
24.8556	537.67
24.8700	555.77
24.8845	542.42
24.8989	508.43
24.9134	526.64
24.9278	567.57
24.9422	563.09
24.9567	505.50
24.9711	554.61
24.9856	548.47
25.0000	545.76
25.0144	557.65
25.0289	480.41
25.0433	558.10
25.0578	582.78
25.0722	553.52
25.0866	577.59
25.1011	513.91
25.1155	584.11
25.1300	568.83
25.1444	509.96
25.1588	549.20
25.1733	531.15
25.1877	500.06
25.2022	562.29
25.2166	548.00
25.2310	537.32
25.2455	558.55
25.2599	570.87
25.2744	558.20
25.2888	541.23
25.3032	539.98
25.3177	505.39
25.3321	542.72
25.3466	544.75
25.3610	532.30
25.3754	560.60
25.3899	516.10
25.4043	521.08
25.4188	533.43
25.4332	535.90
25.4476	530.01
25.4621	514.67
25.4765	529.93
25.4910	548.96
25.5054	532.42
25.5198	533.21
25.5343	568.74
25.5487	555.20
25.5632	535.55
25.5776	546.32
25.5920	538.79
25.6065	533.42
25.6209	537.75
25.6354	513.27
25.6498	531.21
25.6642	481.73
25.6787	510.68
25.6931	518.27
25.7076	554.40
25.7220	550.82
25.7364	539.14
25.7509	552.96
25.7653	563.69
25.7798	540.41
25.7942	523.87
25.8086	530.65
25.8231	558.23
25.8375	555.97
25.8520	556.23
25.8664	522.88
25.8808	522.36
25.8953	544.35
25.9097	516.20
25.9242	505.91
25.9386	555.01
25.9530	518.83
25.9675	481.14
25.9819	531.79
25.9964	516.40
26.0108	542.47
26.0252	570.34
26.0397	567.38
26.0541	500.85
26.0686	501.57
26.0830	502.00
26.0974	498.43
26.1119	503.40
26.1263	529.61
26.1408	509.06
26.1552	506.75
26.1696	546.07
26.1841	528.84
26.1985	517.56
26.2130	513.28
26.2274	522.18
26.2418	529.43
26.2563	526.94
26.2707	547.93
26.2852	548.19
26.2996	542.71
26.3140	542.22
26.3285	519.77
26.3429	507.79
26.3574	524.53
26.3718	538.85
26.3862	525.47
26.4007	528.67
26.4151	511.82
26.4296	509.67
