2022.09.19 19:37:17
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	503.87
22.1264	617.22
22.1409	601.74
22.1553	524.77
22.1697	595.40
22.1842	582.42
22.1986	535.59
22.2131	581.61
22.2275	604.61
22.2419	605.80
22.2564	671.68
22.2708	591.91
22.2853	541.04
22.2997	633.40
22.3141	634.82
22.3286	524.81
22.3430	496.58
22.3575	579.31
22.3719	598.15
22.3863	613.72
22.4008	503.05
22.4152	579.34
22.4297	658.30
22.4441	660.97
22.4585	528.31
22.4730	576.21
22.4874	605.43
22.5019	563.15
22.5163	626.39
22.5307	651.51
22.5452	601.48
22.5596	604.03
22.5741	542.11
22.5885	540.27
22.6029	544.54
22.6174	587.22
22.6318	545.12
22.6463	598.52
22.6607	696.57
22.6751	598.82
22.6896	499.26
22.7040	619.38
22.7185	605.55
22.7329	632.80
22.7473	602.36
22.7618	499.88
22.7762	593.67
22.7907	582.32
22.8051	592.47
22.8195	590.55
22.8340	530.45
22.8484	533.60
22.8629	569.23
22.8773	555.10
22.8917	626.89
22.9062	619.65
22.9206	513.21
22.9351	559.34
22.9495	523.39
22.9639	501.83
22.9784	490.24
22.9928	495.99
23.0073	504.54
23.0217	549.70
23.0361	645.68
23.0506	627.06
23.0650	594.43
23.0795	535.35
23.0939	520.84
23.1083	574.15
23.1228	557.25
23.1372	503.15
23.1517	577.84
23.1661	586.01
23.1806	557.71
23.1950	534.84
23.2094	587.13
23.2239	516.32
23.2383	607.94
23.2528	499.30
23.2672	520.51
23.2816	638.51
23.2961	539.15
23.3105	589.74
23.3250	593.43
23.3394	549.06
23.3538	521.88
23.3683	583.57
23.3827	558.73
23.3972	515.91
23.4116	518.09
23.4260	552.99
23.4405	574.38
23.4549	523.84
23.4694	529.04
23.4838	542.83
23.4982	573.74
23.5127	544.45
23.5271	594.09
23.5416	555.87
23.5560	521.78
23.5704	547.84
23.5849	551.12
23.5993	521.34
23.6138	501.68
23.6282	459.59
23.6426	511.99
23.6571	525.07
23.6715	542.40
23.6860	557.33
23.7004	580.73
23.7148	511.46
23.7293	501.65
23.7437	471.51
23.7582	545.62
23.7726	567.64
23.7870	598.16
23.8015	507.69
23.8159	572.60
23.8304	498.94
23.8448	568.33
23.8592	631.57
23.8737	633.31
23.8881	535.94
23.9026	528.00
23.9170	568.16
23.9314	544.54
23.9459	549.24
23.9603	481.40
23.9748	558.13
23.9892	559.95
24.0036	543.85
24.0181	588.44
24.0325	572.23
24.0470	617.01
24.0614	570.63
24.0758	545.41
24.0903	582.17
24.1047	581.65
24.1192	541.05
24.1336	546.37
24.1480	504.25
24.1625	547.66
24.1769	572.66
24.1914	524.92
24.2058	498.37
24.2202	535.53
24.2347	580.55
24.2491	586.60
24.2636	571.03
24.2780	558.81
24.2924	587.21
24.3069	599.47
24.3213	580.92
24.3358	576.03
24.3502	586.65
24.3646	514.00
24.3791	507.92
24.3935	560.25
24.4080	580.13
24.4224	522.15
24.4368	564.28
24.4513	548.73
24.4657	558.93
24.4802	544.87
24.4946	577.36
24.5090	547.41
24.5235	581.83
24.5379	546.07
24.5524	547.75
24.5668	520.85
24.5812	523.43
24.5957	575.72
24.6101	522.76
24.6246	510.81
24.6390	542.58
24.6534	558.55
24.6679	542.37
24.6823	493.84
24.6968	537.73
24.7112	561.06
24.7256	558.71
24.7401	574.48
24.7545	511.91
24.7690	552.48
24.7834	476.50
24.7978	532.49
24.8123	563.40
24.8267	506.41
24.8412	533.79
24.8556	536.97
24.8700	534.15
24.8845	519.22
24.8989	541.29
24.9134	584.88
24.9278	497.29
24.9422	506.61
24.9567	559.66
24.9711	505.61
24.9856	559.32
25.0000	529.58
25.0144	565.35
25.0289	479.66
25.0433	528.52
25.0578	511.35
25.0722	547.96
25.0866	534.84
25.1011	517.81
25.1155	513.37
25.1300	529.39
25.1444	537.48
25.1588	513.78
25.1733	549.38
25.1877	532.60
25.2022	552.97
25.2166	515.97
25.2310	566.93
25.2455	551.49
25.2599	524.75
25.2744	502.71
25.2888	511.40
25.3032	495.11
25.3177	562.50
25.3321	555.92
25.3466	528.00
25.3610	499.77
25.3754	518.74
25.3899	535.09
25.4043	533.52
25.4188	543.10
25.4332	551.67
25.4476	511.10
25.4621	520.32
25.4765	513.52
25.4910	549.79
25.5054	555.30
25.5198	523.19
25.5343	536.65
25.5487	515.32
25.5632	516.64
25.5776	505.84
25.5920	579.19
25.6065	566.43
25.6209	519.28
25.6354	529.14
25.6498	565.96
25.6642	540.73
25.6787	549.08
25.6931	511.07
25.7076	562.20
25.7220	540.03
25.7364	518.43
25.7509	576.97
25.7653	560.35
25.7798	564.28
25.7942	552.19
25.8086	544.32
25.8231	531.44
25.8375	560.04
25.8520	566.53
25.8664	538.28
25.8808	549.75
25.8953	549.80
25.9097	558.19
25.9242	557.38
25.9386	546.19
25.9530	514.27
25.9675	500.01
25.9819	517.50
25.9964	574.30
26.0108	570.59
26.0252	538.81
26.0397	528.44
26.0541	555.93
26.0686	581.00
26.0830	559.52
26.0974	543.44
26.1119	513.91
26.1263	542.15
26.1408	544.87
26.1552	518.07
26.1696	537.92
26.1841	548.43
26.1985	518.29
26.2130	504.33
26.2274	502.82
26.2418	515.00
26.2563	531.90
26.2707	512.46
26.2852	519.26
26.2996	518.14
26.3140	522.74
26.3285	509.95
26.3429	528.52
26.3574	520.22
26.3718	515.60
26.3862	502.02
26.4007	496.31
26.4151	482.06
26.4296	522.12
